Score	Method	Counts
0	braker-mikado-both38	591
1	braker-mikado-both38	23
2	braker-mikado-both38	22
3	braker-mikado-both38	21
4	braker-mikado-both38	24
5	braker-mikado-both38	20
6	braker-mikado-both38	18
7	braker-mikado-both38	18
8	braker-mikado-both38	22
9	braker-mikado-both38	21
10	braker-mikado-both38	17
11	braker-mikado-both38	15
12	braker-mikado-both38	18
13	braker-mikado-both38	25
14	braker-mikado-both38	23
15	braker-mikado-both38	16
16	braker-mikado-both38	22
17	braker-mikado-both38	30
18	braker-mikado-both38	24
19	braker-mikado-both38	35
20	braker-mikado-both38	38
21	braker-mikado-both38	39
22	braker-mikado-both38	21
23	braker-mikado-both38	31
24	braker-mikado-both38	32
25	braker-mikado-both38	26
26	braker-mikado-both38	23
27	braker-mikado-both38	33
28	braker-mikado-both38	47
29	braker-mikado-both38	31
30	braker-mikado-both38	44
31	braker-mikado-both38	38
32	braker-mikado-both38	40
33	braker-mikado-both38	37
34	braker-mikado-both38	40
35	braker-mikado-both38	35
36	braker-mikado-both38	41
37	braker-mikado-both38	54
38	braker-mikado-both38	51
39	braker-mikado-both38	59
40	braker-mikado-both38	56
41	braker-mikado-both38	57
42	braker-mikado-both38	58
43	braker-mikado-both38	48
44	braker-mikado-both38	48
45	braker-mikado-both38	73
46	braker-mikado-both38	62
47	braker-mikado-both38	82
48	braker-mikado-both38	75
49	braker-mikado-both38	72
50	braker-mikado-both38	60
51	braker-mikado-both38	88
52	braker-mikado-both38	66
53	braker-mikado-both38	101
54	braker-mikado-both38	70
55	braker-mikado-both38	98
56	braker-mikado-both38	97
57	braker-mikado-both38	103
58	braker-mikado-both38	94
59	braker-mikado-both38	106
60	braker-mikado-both38	118
61	braker-mikado-both38	125
62	braker-mikado-both38	130
63	braker-mikado-both38	134
64	braker-mikado-both38	128
65	braker-mikado-both38	133
66	braker-mikado-both38	151
67	braker-mikado-both38	140
68	braker-mikado-both38	142
69	braker-mikado-both38	169
70	braker-mikado-both38	177
71	braker-mikado-both38	197
72	braker-mikado-both38	211
73	braker-mikado-both38	210
74	braker-mikado-both38	233
75	braker-mikado-both38	249
76	braker-mikado-both38	242
77	braker-mikado-both38	280
78	braker-mikado-both38	326
79	braker-mikado-both38	307
80	braker-mikado-both38	382
81	braker-mikado-both38	388
82	braker-mikado-both38	474
83	braker-mikado-both38	510
84	braker-mikado-both38	561
85	braker-mikado-both38	570
86	braker-mikado-both38	709
87	braker-mikado-both38	708
88	braker-mikado-both38	820
89	braker-mikado-both38	937
90	braker-mikado-both38	1048
91	braker-mikado-both38	1189
92	braker-mikado-both38	1298
93	braker-mikado-both38	1334
94	braker-mikado-both38	1543
95	braker-mikado-both38	1553
96	braker-mikado-both38	1693
97	braker-mikado-both38	1781
98	braker-mikado-both38	1620
99	braker-mikado-both38	911
100	braker-mikado-both38	297
