Score	Method	Counts
0	brakerS	1579
1	brakerS	1
2	brakerS	3
3	brakerS	7
4	brakerS	4
5	brakerS	10
6	brakerS	2
8	brakerS	3
9	brakerS	5
10	brakerS	11
11	brakerS	14
12	brakerS	5
13	brakerS	5
14	brakerS	7
15	brakerS	12
16	brakerS	10
17	brakerS	12
18	brakerS	17
19	brakerS	10
20	brakerS	12
21	brakerS	14
22	brakerS	9
23	brakerS	11
24	brakerS	10
25	brakerS	13
26	brakerS	17
27	brakerS	16
28	brakerS	23
29	brakerS	15
30	brakerS	17
31	brakerS	23
32	brakerS	34
33	brakerS	20
34	brakerS	29
35	brakerS	40
36	brakerS	24
37	brakerS	34
38	brakerS	45
39	brakerS	35
40	brakerS	44
41	brakerS	58
42	brakerS	50
43	brakerS	51
44	brakerS	53
45	brakerS	68
46	brakerS	51
47	brakerS	83
48	brakerS	73
49	brakerS	79
50	brakerS	69
51	brakerS	124
52	brakerS	115
53	brakerS	131
54	brakerS	126
55	brakerS	135
56	brakerS	151
57	brakerS	168
58	brakerS	178
59	brakerS	186
60	brakerS	212
61	brakerS	214
62	brakerS	232
63	brakerS	241
64	brakerS	281
65	brakerS	262
66	brakerS	285
67	brakerS	311
68	brakerS	334
69	brakerS	335
70	brakerS	375
71	brakerS	387
72	brakerS	445
73	brakerS	443
74	brakerS	500
75	brakerS	515
76	brakerS	572
77	brakerS	657
78	brakerS	649
79	brakerS	652
80	brakerS	752
81	brakerS	777
82	brakerS	843
83	brakerS	771
84	brakerS	906
85	brakerS	945
86	brakerS	953
87	brakerS	1017
88	brakerS	992
89	brakerS	923
90	brakerS	876
91	brakerS	805
92	brakerS	798
93	brakerS	728
94	brakerS	609
95	brakerS	488
96	brakerS	404
97	brakerS	278
98	brakerS	247
99	brakerS	232
100	brakerS	1010
