Score	Method	Counts
0	brakerX	1532
1	brakerX	2
2	brakerX	3
3	brakerX	6
4	brakerX	7
5	brakerX	7
6	brakerX	3
7	brakerX	2
8	brakerX	7
9	brakerX	7
10	brakerX	9
11	brakerX	20
12	brakerX	6
13	brakerX	8
14	brakerX	11
15	brakerX	16
16	brakerX	6
17	brakerX	11
18	brakerX	12
19	brakerX	13
20	brakerX	21
21	brakerX	18
22	brakerX	16
23	brakerX	13
24	brakerX	14
25	brakerX	18
26	brakerX	17
27	brakerX	20
28	brakerX	23
29	brakerX	16
30	brakerX	18
31	brakerX	26
32	brakerX	28
33	brakerX	16
34	brakerX	27
35	brakerX	45
36	brakerX	32
37	brakerX	39
38	brakerX	42
39	brakerX	32
40	brakerX	54
41	brakerX	50
42	brakerX	45
43	brakerX	55
44	brakerX	53
45	brakerX	66
46	brakerX	53
47	brakerX	79
48	brakerX	64
49	brakerX	89
50	brakerX	72
51	brakerX	108
52	brakerX	128
53	brakerX	127
54	brakerX	127
55	brakerX	129
56	brakerX	151
57	brakerX	159
58	brakerX	162
59	brakerX	190
60	brakerX	214
61	brakerX	224
62	brakerX	246
63	brakerX	250
64	brakerX	268
65	brakerX	277
66	brakerX	273
67	brakerX	294
68	brakerX	334
69	brakerX	333
70	brakerX	374
71	brakerX	392
72	brakerX	432
73	brakerX	444
74	brakerX	512
75	brakerX	532
76	brakerX	562
77	brakerX	641
78	brakerX	665
79	brakerX	650
80	brakerX	738
81	brakerX	778
82	brakerX	846
83	brakerX	790
84	brakerX	903
85	brakerX	944
86	brakerX	933
87	brakerX	1020
88	brakerX	984
89	brakerX	913
90	brakerX	881
91	brakerX	811
92	brakerX	789
93	brakerX	730
94	brakerX	630
95	brakerX	483
96	brakerX	395
97	brakerX	299
98	brakerX	248
99	brakerX	243
100	brakerX	1002
