Score	Method	Counts
0	maker-mikado-both38	600
1	maker-mikado-both38	36
2	maker-mikado-both38	26
3	maker-mikado-both38	14
4	maker-mikado-both38	17
5	maker-mikado-both38	19
6	maker-mikado-both38	20
7	maker-mikado-both38	21
8	maker-mikado-both38	31
9	maker-mikado-both38	27
10	maker-mikado-both38	20
11	maker-mikado-both38	12
12	maker-mikado-both38	32
13	maker-mikado-both38	20
14	maker-mikado-both38	19
15	maker-mikado-both38	23
16	maker-mikado-both38	24
17	maker-mikado-both38	23
18	maker-mikado-both38	26
19	maker-mikado-both38	31
20	maker-mikado-both38	36
21	maker-mikado-both38	31
22	maker-mikado-both38	31
23	maker-mikado-both38	32
24	maker-mikado-both38	34
25	maker-mikado-both38	35
26	maker-mikado-both38	30
27	maker-mikado-both38	38
28	maker-mikado-both38	42
29	maker-mikado-both38	39
30	maker-mikado-both38	50
31	maker-mikado-both38	53
32	maker-mikado-both38	48
33	maker-mikado-both38	49
34	maker-mikado-both38	50
35	maker-mikado-both38	48
36	maker-mikado-both38	48
37	maker-mikado-both38	70
38	maker-mikado-both38	78
39	maker-mikado-both38	73
40	maker-mikado-both38	56
41	maker-mikado-both38	68
42	maker-mikado-both38	64
43	maker-mikado-both38	61
44	maker-mikado-both38	70
45	maker-mikado-both38	76
46	maker-mikado-both38	82
47	maker-mikado-both38	85
48	maker-mikado-both38	100
49	maker-mikado-both38	83
50	maker-mikado-both38	78
51	maker-mikado-both38	93
52	maker-mikado-both38	84
53	maker-mikado-both38	108
54	maker-mikado-both38	92
55	maker-mikado-both38	102
56	maker-mikado-both38	125
57	maker-mikado-both38	131
58	maker-mikado-both38	95
59	maker-mikado-both38	124
60	maker-mikado-both38	149
61	maker-mikado-both38	137
62	maker-mikado-both38	130
63	maker-mikado-both38	168
64	maker-mikado-both38	147
65	maker-mikado-both38	172
66	maker-mikado-both38	134
67	maker-mikado-both38	143
68	maker-mikado-both38	143
69	maker-mikado-both38	171
70	maker-mikado-both38	156
71	maker-mikado-both38	186
72	maker-mikado-both38	192
73	maker-mikado-both38	193
74	maker-mikado-both38	210
75	maker-mikado-both38	236
76	maker-mikado-both38	251
77	maker-mikado-both38	276
78	maker-mikado-both38	313
79	maker-mikado-both38	277
80	maker-mikado-both38	370
81	maker-mikado-both38	357
82	maker-mikado-both38	437
83	maker-mikado-both38	461
84	maker-mikado-both38	533
85	maker-mikado-both38	576
86	maker-mikado-both38	678
87	maker-mikado-both38	680
88	maker-mikado-both38	803
89	maker-mikado-both38	935
90	maker-mikado-both38	1008
91	maker-mikado-both38	1172
92	maker-mikado-both38	1261
93	maker-mikado-both38	1306
94	maker-mikado-both38	1492
95	maker-mikado-both38	1546
96	maker-mikado-both38	1670
97	maker-mikado-both38	1815
98	maker-mikado-both38	1658
99	maker-mikado-both38	921
100	maker-mikado-both38	211
