Score	Method	Counts
0	makerC5	1785
1	makerC5	15
2	makerC5	21
3	makerC5	18
4	makerC5	24
5	makerC5	18
6	makerC5	23
7	makerC5	17
8	makerC5	21
9	makerC5	29
10	makerC5	26
11	makerC5	26
12	makerC5	33
13	makerC5	42
14	makerC5	34
15	makerC5	36
16	makerC5	34
17	makerC5	50
18	makerC5	45
19	makerC5	34
20	makerC5	51
21	makerC5	45
22	makerC5	55
23	makerC5	80
24	makerC5	70
25	makerC5	58
26	makerC5	54
27	makerC5	65
28	makerC5	77
29	makerC5	81
30	makerC5	97
31	makerC5	71
32	makerC5	72
33	makerC5	69
34	makerC5	84
35	makerC5	78
36	makerC5	119
37	makerC5	111
38	makerC5	116
39	makerC5	104
40	makerC5	103
41	makerC5	123
42	makerC5	133
43	makerC5	126
44	makerC5	137
45	makerC5	118
46	makerC5	145
47	makerC5	146
48	makerC5	143
49	makerC5	150
50	makerC5	168
51	makerC5	180
52	makerC5	179
53	makerC5	192
54	makerC5	177
55	makerC5	195
56	makerC5	186
57	makerC5	202
58	makerC5	234
59	makerC5	232
60	makerC5	224
61	makerC5	235
62	makerC5	255
63	makerC5	291
64	makerC5	282
65	makerC5	271
66	makerC5	275
67	makerC5	253
68	makerC5	241
69	makerC5	228
70	makerC5	278
71	makerC5	269
72	makerC5	297
73	makerC5	270
74	makerC5	285
75	makerC5	289
76	makerC5	295
77	makerC5	356
78	makerC5	344
79	makerC5	357
80	makerC5	349
81	makerC5	417
82	makerC5	410
83	makerC5	429
84	makerC5	456
85	makerC5	496
86	makerC5	511
87	makerC5	545
88	makerC5	624
89	makerC5	637
90	makerC5	659
91	makerC5	726
92	makerC5	795
93	makerC5	849
94	makerC5	943
95	makerC5	984
96	makerC5	1090
97	makerC5	1167
98	makerC5	1248
99	makerC5	858
100	makerC5	462
