Score	Method	Counts
0	mikado38	702
1	mikado38	16
2	mikado38	20
3	mikado38	12
4	mikado38	21
5	mikado38	24
6	mikado38	13
7	mikado38	21
8	mikado38	18
9	mikado38	15
10	mikado38	10
11	mikado38	14
12	mikado38	19
13	mikado38	24
14	mikado38	16
15	mikado38	16
16	mikado38	22
17	mikado38	25
18	mikado38	17
19	mikado38	31
20	mikado38	38
21	mikado38	29
22	mikado38	31
23	mikado38	34
24	mikado38	44
25	mikado38	35
26	mikado38	16
27	mikado38	33
28	mikado38	46
29	mikado38	36
30	mikado38	43
31	mikado38	46
32	mikado38	34
33	mikado38	44
34	mikado38	41
35	mikado38	42
36	mikado38	45
37	mikado38	60
38	mikado38	46
39	mikado38	46
40	mikado38	50
41	mikado38	46
42	mikado38	59
43	mikado38	47
44	mikado38	45
45	mikado38	55
46	mikado38	62
47	mikado38	72
48	mikado38	68
49	mikado38	61
50	mikado38	57
51	mikado38	71
52	mikado38	52
53	mikado38	79
54	mikado38	69
55	mikado38	81
56	mikado38	93
57	mikado38	89
58	mikado38	73
59	mikado38	87
60	mikado38	96
61	mikado38	92
62	mikado38	91
63	mikado38	121
64	mikado38	102
65	mikado38	119
66	mikado38	121
67	mikado38	116
68	mikado38	110
69	mikado38	156
70	mikado38	163
71	mikado38	165
72	mikado38	189
73	mikado38	194
74	mikado38	180
75	mikado38	240
76	mikado38	233
77	mikado38	252
78	mikado38	288
79	mikado38	300
80	mikado38	373
81	mikado38	353
82	mikado38	452
83	mikado38	483
84	mikado38	536
85	mikado38	600
86	mikado38	693
87	mikado38	720
88	mikado38	855
89	mikado38	966
90	mikado38	1038
91	mikado38	1210
92	mikado38	1344
93	mikado38	1397
94	mikado38	1647
95	mikado38	1708
96	mikado38	1836
97	mikado38	1962
98	mikado38	1789
99	mikado38	956
