Score	Method	Counts
0	mikadoX	7785
1	mikadoX	175
2	mikadoX	355
3	mikadoX	394
4	mikadoX	459
5	mikadoX	361
6	mikadoX	267
7	mikadoX	170
8	mikadoX	151
9	mikadoX	97
10	mikadoX	77
11	mikadoX	75
12	mikadoX	92
13	mikadoX	94
14	mikadoX	75
15	mikadoX	84
16	mikadoX	107
17	mikadoX	102
18	mikadoX	88
19	mikadoX	109
20	mikadoX	113
21	mikadoX	128
22	mikadoX	121
23	mikadoX	142
24	mikadoX	106
25	mikadoX	132
26	mikadoX	131
27	mikadoX	133
28	mikadoX	112
29	mikadoX	120
30	mikadoX	126
31	mikadoX	135
32	mikadoX	130
33	mikadoX	148
34	mikadoX	123
35	mikadoX	128
36	mikadoX	113
37	mikadoX	117
38	mikadoX	133
39	mikadoX	120
40	mikadoX	137
41	mikadoX	123
42	mikadoX	111
43	mikadoX	124
44	mikadoX	119
45	mikadoX	105
46	mikadoX	108
47	mikadoX	109
48	mikadoX	97
49	mikadoX	97
50	mikadoX	104
51	mikadoX	115
52	mikadoX	98
53	mikadoX	114
54	mikadoX	119
55	mikadoX	93
56	mikadoX	90
57	mikadoX	93
58	mikadoX	97
59	mikadoX	93
60	mikadoX	92
61	mikadoX	94
62	mikadoX	96
63	mikadoX	91
64	mikadoX	106
65	mikadoX	80
66	mikadoX	124
67	mikadoX	110
68	mikadoX	116
69	mikadoX	106
70	mikadoX	109
71	mikadoX	117
72	mikadoX	96
73	mikadoX	121
74	mikadoX	138
75	mikadoX	131
76	mikadoX	146
77	mikadoX	150
78	mikadoX	173
79	mikadoX	159
80	mikadoX	162
81	mikadoX	175
82	mikadoX	223
83	mikadoX	247
84	mikadoX	244
85	mikadoX	290
86	mikadoX	287
87	mikadoX	347
88	mikadoX	377
89	mikadoX	437
90	mikadoX	445
91	mikadoX	528
92	mikadoX	588
93	mikadoX	659
94	mikadoX	703
95	mikadoX	771
96	mikadoX	805
97	mikadoX	748
98	mikadoX	776
99	mikadoX	466
