Score	Method	Counts
0	BIND-orph	591
1	BIND-orph	23
2	BIND-orph	22
3	BIND-orph	21
4	BIND-orph	24
5	BIND-orph	20
6	BIND-orph	18
7	BIND-orph	18
8	BIND-orph	22
9	BIND-orph	21
10	BIND-orph	17
11	BIND-orph	15
12	BIND-orph	18
13	BIND-orph	25
14	BIND-orph	23
15	BIND-orph	16
16	BIND-orph	22
17	BIND-orph	30
18	BIND-orph	24
19	BIND-orph	35
20	BIND-orph	38
21	BIND-orph	39
22	BIND-orph	21
23	BIND-orph	31
24	BIND-orph	32
25	BIND-orph	26
26	BIND-orph	23
27	BIND-orph	33
28	BIND-orph	47
29	BIND-orph	31
30	BIND-orph	44
31	BIND-orph	38
32	BIND-orph	40
33	BIND-orph	37
34	BIND-orph	40
35	BIND-orph	35
36	BIND-orph	41
37	BIND-orph	54
38	BIND-orph	51
39	BIND-orph	59
40	BIND-orph	56
41	BIND-orph	57
42	BIND-orph	58
43	BIND-orph	48
44	BIND-orph	48
45	BIND-orph	73
46	BIND-orph	62
47	BIND-orph	82
48	BIND-orph	75
49	BIND-orph	72
50	BIND-orph	60
51	BIND-orph	88
52	BIND-orph	66
53	BIND-orph	101
54	BIND-orph	70
55	BIND-orph	98
56	BIND-orph	97
57	BIND-orph	103
58	BIND-orph	94
59	BIND-orph	106
60	BIND-orph	118
61	BIND-orph	125
62	BIND-orph	130
63	BIND-orph	134
64	BIND-orph	128
65	BIND-orph	133
66	BIND-orph	151
67	BIND-orph	140
68	BIND-orph	142
69	BIND-orph	169
70	BIND-orph	177
71	BIND-orph	197
72	BIND-orph	211
73	BIND-orph	210
74	BIND-orph	233
75	BIND-orph	249
76	BIND-orph	242
77	BIND-orph	280
78	BIND-orph	326
79	BIND-orph	307
80	BIND-orph	382
81	BIND-orph	388
82	BIND-orph	474
83	BIND-orph	510
84	BIND-orph	561
85	BIND-orph	570
86	BIND-orph	709
87	BIND-orph	708
88	BIND-orph	820
89	BIND-orph	937
90	BIND-orph	1048
91	BIND-orph	1189
92	BIND-orph	1298
93	BIND-orph	1334
94	BIND-orph	1543
95	BIND-orph	1553
96	BIND-orph	1693
97	BIND-orph	1781
98	BIND-orph	1620
99	BIND-orph	911
100	BIND-orph	297
0	Brake-small	1579
1	Brake-small	1
2	Brake-small	3
3	Brake-small	7
4	Brake-small	4
5	Brake-small	10
6	Brake-small	2
8	Brake-small	3
9	Brake-small	5
10	Brake-small	11
11	Brake-small	14
12	Brake-small	5
13	Brake-small	5
14	Brake-small	7
15	Brake-small	12
16	Brake-small	10
17	Brake-small	12
18	Brake-small	17
19	Brake-small	10
20	Brake-small	12
21	Brake-small	14
22	Brake-small	9
23	Brake-small	11
24	Brake-small	10
25	Brake-small	13
26	Brake-small	17
27	Brake-small	16
28	Brake-small	23
29	Brake-small	15
30	Brake-small	17
31	Brake-small	23
32	Brake-small	34
33	Brake-small	20
34	Brake-small	29
35	Brake-small	40
36	Brake-small	24
37	Brake-small	34
38	Brake-small	45
39	Brake-small	35
40	Brake-small	44
41	Brake-small	58
42	Brake-small	50
43	Brake-small	51
44	Brake-small	53
45	Brake-small	68
46	Brake-small	51
47	Brake-small	83
48	Brake-small	73
49	Brake-small	79
50	Brake-small	69
51	Brake-small	124
52	Brake-small	115
53	Brake-small	131
54	Brake-small	126
55	Brake-small	135
56	Brake-small	151
57	Brake-small	168
58	Brake-small	178
59	Brake-small	186
60	Brake-small	212
61	Brake-small	214
62	Brake-small	232
63	Brake-small	241
64	Brake-small	281
65	Brake-small	262
66	Brake-small	285
67	Brake-small	311
68	Brake-small	334
69	Brake-small	335
70	Brake-small	375
71	Brake-small	387
72	Brake-small	445
73	Brake-small	443
