Score	Method	Counts
0	brakerS	1792
1	brakerS	1
2	brakerS	8
3	brakerS	9
4	brakerS	7
5	brakerS	13
6	brakerS	2
8	brakerS	4
9	brakerS	8
10	brakerS	12
11	brakerS	19
12	brakerS	15
13	brakerS	7
14	brakerS	8
15	brakerS	16
16	brakerS	14
17	brakerS	17
18	brakerS	21
19	brakerS	18
20	brakerS	21
21	brakerS	19
22	brakerS	15
23	brakerS	17
24	brakerS	14
25	brakerS	25
26	brakerS	29
27	brakerS	27
28	brakerS	37
29	brakerS	27
30	brakerS	33
31	brakerS	40
32	brakerS	55
33	brakerS	43
34	brakerS	60
35	brakerS	66
36	brakerS	58
37	brakerS	66
38	brakerS	78
39	brakerS	78
40	brakerS	84
41	brakerS	97
42	brakerS	96
43	brakerS	110
44	brakerS	102
45	brakerS	125
46	brakerS	103
47	brakerS	141
48	brakerS	133
49	brakerS	156
50	brakerS	145
51	brakerS	196
52	brakerS	221
53	brakerS	217
54	brakerS	219
55	brakerS	244
56	brakerS	264
57	brakerS	291
58	brakerS	305
59	brakerS	320
60	brakerS	367
61	brakerS	405
62	brakerS	408
63	brakerS	440
64	brakerS	493
65	brakerS	507
66	brakerS	527
67	brakerS	599
68	brakerS	615
69	brakerS	643
70	brakerS	701
71	brakerS	729
72	brakerS	858
73	brakerS	853
74	brakerS	930
75	brakerS	985
76	brakerS	1089
77	brakerS	1191
78	brakerS	1198
79	brakerS	1276
80	brakerS	1367
81	brakerS	1495
82	brakerS	1536
83	brakerS	1475
84	brakerS	1643
85	brakerS	1744
86	brakerS	1771
87	brakerS	1846
88	brakerS	1769
89	brakerS	1696
90	brakerS	1600
91	brakerS	1465
92	brakerS	1406
93	brakerS	1285
94	brakerS	1091
95	brakerS	838
96	brakerS	697
97	brakerS	463
98	brakerS	383
99	brakerS	289
100	brakerS	1054
