Score	Method	Counts
0	brakerX	1735
1	brakerX	3
2	brakerX	8
3	brakerX	8
4	brakerX	13
5	brakerX	10
6	brakerX	10
7	brakerX	3
8	brakerX	18
9	brakerX	17
10	brakerX	12
11	brakerX	23
12	brakerX	16
13	brakerX	14
14	brakerX	13
15	brakerX	20
16	brakerX	14
17	brakerX	13
18	brakerX	17
19	brakerX	23
20	brakerX	31
21	brakerX	23
22	brakerX	20
23	brakerX	21
24	brakerX	17
25	brakerX	33
26	brakerX	30
27	brakerX	38
28	brakerX	36
29	brakerX	34
30	brakerX	38
31	brakerX	46
32	brakerX	47
33	brakerX	41
34	brakerX	54
35	brakerX	73
36	brakerX	63
37	brakerX	71
38	brakerX	76
39	brakerX	67
40	brakerX	94
41	brakerX	90
42	brakerX	92
43	brakerX	115
44	brakerX	104
45	brakerX	126
46	brakerX	116
47	brakerX	141
48	brakerX	121
49	brakerX	162
50	brakerX	148
51	brakerX	189
52	brakerX	226
53	brakerX	214
54	brakerX	217
55	brakerX	245
56	brakerX	259
57	brakerX	286
58	brakerX	293
59	brakerX	332
60	brakerX	376
61	brakerX	422
62	brakerX	432
63	brakerX	446
64	brakerX	469
65	brakerX	517
66	brakerX	531
67	brakerX	578
68	brakerX	607
69	brakerX	639
70	brakerX	711
71	brakerX	729
72	brakerX	847
73	brakerX	852
74	brakerX	934
75	brakerX	1010
76	brakerX	1071
77	brakerX	1174
78	brakerX	1219
79	brakerX	1282
80	brakerX	1360
81	brakerX	1465
82	brakerX	1518
83	brakerX	1495
84	brakerX	1610
85	brakerX	1737
86	brakerX	1760
87	brakerX	1836
88	brakerX	1764
89	brakerX	1726
90	brakerX	1586
91	brakerX	1468
92	brakerX	1383
93	brakerX	1285
94	brakerX	1112
95	brakerX	826
96	brakerX	684
97	brakerX	485
98	brakerX	385
99	brakerX	302
100	brakerX	1043
