Score	Method	Counts
0	braker_38-mikado_38	625
1	braker_38-mikado_38	35
2	braker_38-mikado_38	31
3	braker_38-mikado_38	26
4	braker_38-mikado_38	32
5	braker_38-mikado_38	29
6	braker_38-mikado_38	23
7	braker_38-mikado_38	28
8	braker_38-mikado_38	29
9	braker_38-mikado_38	30
10	braker_38-mikado_38	25
11	braker_38-mikado_38	20
12	braker_38-mikado_38	21
13	braker_38-mikado_38	34
14	braker_38-mikado_38	28
15	braker_38-mikado_38	29
16	braker_38-mikado_38	28
17	braker_38-mikado_38	45
18	braker_38-mikado_38	36
19	braker_38-mikado_38	51
20	braker_38-mikado_38	52
21	braker_38-mikado_38	57
22	braker_38-mikado_38	30
23	braker_38-mikado_38	38
24	braker_38-mikado_38	46
25	braker_38-mikado_38	34
26	braker_38-mikado_38	42
27	braker_38-mikado_38	55
28	braker_38-mikado_38	61
29	braker_38-mikado_38	51
30	braker_38-mikado_38	67
31	braker_38-mikado_38	61
32	braker_38-mikado_38	64
33	braker_38-mikado_38	49
34	braker_38-mikado_38	69
35	braker_38-mikado_38	59
36	braker_38-mikado_38	65
37	braker_38-mikado_38	81
38	braker_38-mikado_38	76
39	braker_38-mikado_38	83
40	braker_38-mikado_38	86
41	braker_38-mikado_38	98
42	braker_38-mikado_38	91
43	braker_38-mikado_38	80
44	braker_38-mikado_38	78
45	braker_38-mikado_38	114
46	braker_38-mikado_38	115
47	braker_38-mikado_38	125
48	braker_38-mikado_38	130
49	braker_38-mikado_38	126
50	braker_38-mikado_38	97
51	braker_38-mikado_38	144
52	braker_38-mikado_38	135
53	braker_38-mikado_38	139
54	braker_38-mikado_38	119
55	braker_38-mikado_38	169
56	braker_38-mikado_38	157
57	braker_38-mikado_38	164
58	braker_38-mikado_38	178
59	braker_38-mikado_38	204
60	braker_38-mikado_38	211
61	braker_38-mikado_38	211
62	braker_38-mikado_38	214
63	braker_38-mikado_38	262
64	braker_38-mikado_38	253
65	braker_38-mikado_38	274
66	braker_38-mikado_38	281
67	braker_38-mikado_38	281
68	braker_38-mikado_38	295
69	braker_38-mikado_38	333
70	braker_38-mikado_38	374
71	braker_38-mikado_38	399
72	braker_38-mikado_38	413
73	braker_38-mikado_38	429
74	braker_38-mikado_38	512
75	braker_38-mikado_38	504
76	braker_38-mikado_38	529
77	braker_38-mikado_38	601
78	braker_38-mikado_38	649
79	braker_38-mikado_38	711
80	braker_38-mikado_38	748
81	braker_38-mikado_38	777
82	braker_38-mikado_38	930
83	braker_38-mikado_38	1004
84	braker_38-mikado_38	1134
85	braker_38-mikado_38	1194
86	braker_38-mikado_38	1338
87	braker_38-mikado_38	1404
88	braker_38-mikado_38	1584
89	braker_38-mikado_38	1758
90	braker_38-mikado_38	1982
91	braker_38-mikado_38	2134
92	braker_38-mikado_38	2256
93	braker_38-mikado_38	2504
94	braker_38-mikado_38	2683
95	braker_38-mikado_38	2698
96	braker_38-mikado_38	2789
97	braker_38-mikado_38	2703
98	braker_38-mikado_38	2295
99	braker_38-mikado_38	1246
100	braker_38-mikado_38	304
