Score	Method	Counts
0	makerC6	6843
1	makerC6	14
2	makerC6	6
3	makerC6	14
4	makerC6	13
5	makerC6	8
6	makerC6	17
7	makerC6	17
8	makerC6	25
9	makerC6	19
10	makerC6	26
11	makerC6	26
12	makerC6	38
13	makerC6	33
14	makerC6	40
15	makerC6	29
16	makerC6	34
17	makerC6	43
18	makerC6	63
19	makerC6	44
20	makerC6	47
21	makerC6	58
22	makerC6	70
23	makerC6	54
24	makerC6	71
25	makerC6	69
26	makerC6	81
27	makerC6	77
28	makerC6	79
29	makerC6	77
30	makerC6	96
31	makerC6	87
32	makerC6	110
33	makerC6	98
34	makerC6	108
35	makerC6	144
36	makerC6	122
37	makerC6	128
38	makerC6	123
39	makerC6	120
40	makerC6	119
41	makerC6	135
42	makerC6	154
43	makerC6	152
44	makerC6	151
45	makerC6	180
46	makerC6	189
47	makerC6	187
48	makerC6	202
49	makerC6	189
50	makerC6	190
51	makerC6	185
52	makerC6	212
53	makerC6	224
54	makerC6	247
55	makerC6	258
56	makerC6	241
57	makerC6	309
58	makerC6	297
59	makerC6	332
60	makerC6	331
61	makerC6	360
62	makerC6	380
63	makerC6	362
64	makerC6	385
65	makerC6	365
66	makerC6	373
67	makerC6	454
68	makerC6	433
69	makerC6	419
70	makerC6	429
71	makerC6	465
72	makerC6	521
73	makerC6	564
74	makerC6	552
75	makerC6	644
76	makerC6	703
77	makerC6	757
78	makerC6	758
79	makerC6	842
80	makerC6	925
81	makerC6	991
82	makerC6	1099
83	makerC6	1126
84	makerC6	1203
85	makerC6	1322
86	makerC6	1411
87	makerC6	1351
88	makerC6	1463
89	makerC6	1568
90	makerC6	1529
91	makerC6	1604
92	makerC6	1523
93	makerC6	1489
94	makerC6	1473
95	makerC6	1321
96	makerC6	1069
97	makerC6	882
98	makerC6	673
99	makerC6	309
100	makerC6	343
