Score	Method	Counts
0	maker_38-mikado_38	649
1	maker_38-mikado_38	55
2	maker_38-mikado_38	28
3	maker_38-mikado_38	16
4	maker_38-mikado_38	21
5	maker_38-mikado_38	25
6	maker_38-mikado_38	21
7	maker_38-mikado_38	24
8	maker_38-mikado_38	36
9	maker_38-mikado_38	36
10	maker_38-mikado_38	24
11	maker_38-mikado_38	17
12	maker_38-mikado_38	37
13	maker_38-mikado_38	29
14	maker_38-mikado_38	24
15	maker_38-mikado_38	37
16	maker_38-mikado_38	36
17	maker_38-mikado_38	34
18	maker_38-mikado_38	39
19	maker_38-mikado_38	42
20	maker_38-mikado_38	46
21	maker_38-mikado_38	46
22	maker_38-mikado_38	42
23	maker_38-mikado_38	46
24	maker_38-mikado_38	59
25	maker_38-mikado_38	45
26	maker_38-mikado_38	49
27	maker_38-mikado_38	62
28	maker_38-mikado_38	56
29	maker_38-mikado_38	67
30	maker_38-mikado_38	71
31	maker_38-mikado_38	77
32	maker_38-mikado_38	74
33	maker_38-mikado_38	64
34	maker_38-mikado_38	72
35	maker_38-mikado_38	69
36	maker_38-mikado_38	79
37	maker_38-mikado_38	107
38	maker_38-mikado_38	119
39	maker_38-mikado_38	114
40	maker_38-mikado_38	89
41	maker_38-mikado_38	105
42	maker_38-mikado_38	95
43	maker_38-mikado_38	89
44	maker_38-mikado_38	103
45	maker_38-mikado_38	118
46	maker_38-mikado_38	139
47	maker_38-mikado_38	142
48	maker_38-mikado_38	167
49	maker_38-mikado_38	135
50	maker_38-mikado_38	126
51	maker_38-mikado_38	149
52	maker_38-mikado_38	140
53	maker_38-mikado_38	163
54	maker_38-mikado_38	149
55	maker_38-mikado_38	158
56	maker_38-mikado_38	197
57	maker_38-mikado_38	207
58	maker_38-mikado_38	193
59	maker_38-mikado_38	223
60	maker_38-mikado_38	246
61	maker_38-mikado_38	219
62	maker_38-mikado_38	237
63	maker_38-mikado_38	302
64	maker_38-mikado_38	279
65	maker_38-mikado_38	314
66	maker_38-mikado_38	256
67	maker_38-mikado_38	273
68	maker_38-mikado_38	288
69	maker_38-mikado_38	309
70	maker_38-mikado_38	335
71	maker_38-mikado_38	372
72	maker_38-mikado_38	370
73	maker_38-mikado_38	396
74	maker_38-mikado_38	470
75	maker_38-mikado_38	484
76	maker_38-mikado_38	517
77	maker_38-mikado_38	567
78	maker_38-mikado_38	635
79	maker_38-mikado_38	632
80	maker_38-mikado_38	724
81	maker_38-mikado_38	746
82	maker_38-mikado_38	882
83	maker_38-mikado_38	943
84	maker_38-mikado_38	1091
85	maker_38-mikado_38	1200
86	maker_38-mikado_38	1291
87	maker_38-mikado_38	1360
88	maker_38-mikado_38	1555
89	maker_38-mikado_38	1711
90	maker_38-mikado_38	1941
91	maker_38-mikado_38	2117
92	maker_38-mikado_38	2270
93	maker_38-mikado_38	2460
94	maker_38-mikado_38	2633
95	maker_38-mikado_38	2754
96	maker_38-mikado_38	2830
97	maker_38-mikado_38	2756
98	maker_38-mikado_38	2357
99	maker_38-mikado_38	1275
100	maker_38-mikado_38	217
