Score	Method	Counts
0	mikado_38	730
1	mikado_38	21
2	mikado_38	25
3	mikado_38	13
4	mikado_38	25
5	mikado_38	29
6	mikado_38	15
7	mikado_38	23
8	mikado_38	22
9	mikado_38	21
10	mikado_38	18
11	mikado_38	17
12	mikado_38	24
13	mikado_38	27
14	mikado_38	19
15	mikado_38	25
16	mikado_38	28
17	mikado_38	39
18	mikado_38	24
19	mikado_38	43
20	mikado_38	49
21	mikado_38	41
22	mikado_38	34
23	mikado_38	43
24	mikado_38	56
25	mikado_38	41
26	mikado_38	30
27	mikado_38	50
28	mikado_38	59
29	mikado_38	57
30	mikado_38	59
31	mikado_38	69
32	mikado_38	58
33	mikado_38	58
34	mikado_38	62
35	mikado_38	61
36	mikado_38	64
37	mikado_38	78
38	mikado_38	73
39	mikado_38	75
40	mikado_38	67
41	mikado_38	77
42	mikado_38	74
43	mikado_38	60
44	mikado_38	61
45	mikado_38	84
46	mikado_38	107
47	mikado_38	102
48	mikado_38	113
49	mikado_38	91
50	mikado_38	90
51	mikado_38	103
52	mikado_38	106
53	mikado_38	113
54	mikado_38	108
55	mikado_38	133
56	mikado_38	150
57	mikado_38	136
58	mikado_38	148
59	mikado_38	164
60	mikado_38	171
61	mikado_38	160
62	mikado_38	169
63	mikado_38	231
64	mikado_38	204
65	mikado_38	247
66	mikado_38	226
67	mikado_38	233
68	mikado_38	251
69	mikado_38	307
70	mikado_38	334
71	mikado_38	355
72	mikado_38	371
73	mikado_38	403
74	mikado_38	432
75	mikado_38	491
76	mikado_38	507
77	mikado_38	539
78	mikado_38	610
79	mikado_38	660
80	mikado_38	732
81	mikado_38	746
82	mikado_38	893
83	mikado_38	979
84	mikado_38	1118
85	mikado_38	1254
86	mikado_38	1326
87	mikado_38	1412
88	mikado_38	1651
89	mikado_38	1794
90	mikado_38	1994
91	mikado_38	2190
92	mikado_38	2383
93	mikado_38	2616
94	mikado_38	2846
95	mikado_38	2952
96	mikado_38	3048
97	mikado_38	2993
98	mikado_38	2550
99	mikado_38	1325
