Score	Method	Counts
0	mikado_X	11685
1	mikado_X	406
2	mikado_X	662
3	mikado_X	764
4	mikado_X	831
5	mikado_X	629
6	mikado_X	469
7	mikado_X	329
8	mikado_X	274
9	mikado_X	194
10	mikado_X	186
11	mikado_X	172
12	mikado_X	189
13	mikado_X	181
14	mikado_X	162
15	mikado_X	175
16	mikado_X	205
17	mikado_X	203
18	mikado_X	197
19	mikado_X	216
20	mikado_X	212
21	mikado_X	257
22	mikado_X	237
23	mikado_X	268
24	mikado_X	224
25	mikado_X	230
26	mikado_X	251
27	mikado_X	258
28	mikado_X	224
29	mikado_X	219
30	mikado_X	247
31	mikado_X	246
32	mikado_X	245
33	mikado_X	260
34	mikado_X	252
35	mikado_X	239
36	mikado_X	207
37	mikado_X	206
38	mikado_X	240
39	mikado_X	230
40	mikado_X	239
41	mikado_X	229
42	mikado_X	203
43	mikado_X	210
44	mikado_X	221
45	mikado_X	178
46	mikado_X	202
47	mikado_X	181
48	mikado_X	169
49	mikado_X	161
50	mikado_X	177
51	mikado_X	180
52	mikado_X	168
53	mikado_X	187
54	mikado_X	207
55	mikado_X	173
56	mikado_X	160
57	mikado_X	173
58	mikado_X	185
59	mikado_X	164
60	mikado_X	187
61	mikado_X	172
62	mikado_X	187
63	mikado_X	155
64	mikado_X	178
65	mikado_X	148
66	mikado_X	199
67	mikado_X	197
68	mikado_X	224
69	mikado_X	194
70	mikado_X	214
71	mikado_X	219
72	mikado_X	209
73	mikado_X	233
74	mikado_X	278
75	mikado_X	267
76	mikado_X	283
77	mikado_X	298
78	mikado_X	314
79	mikado_X	341
80	mikado_X	356
81	mikado_X	377
82	mikado_X	438
83	mikado_X	482
84	mikado_X	521
85	mikado_X	580
86	mikado_X	599
87	mikado_X	667
88	mikado_X	743
89	mikado_X	873
90	mikado_X	889
91	mikado_X	1052
92	mikado_X	1132
93	mikado_X	1206
94	mikado_X	1248
95	mikado_X	1324
96	mikado_X	1385
97	mikado_X	1211
98	mikado_X	1158
99	mikado_X	709
