GC	Method	counts
<30	Araport11	1
30	Araport11	4
31	Araport11	1
32	Araport11	3
33	Araport11	6
34	Araport11	7
35	Araport11	5
36	Araport11	15
37	Araport11	37
38	Araport11	75
39	Araport11	160
40	Araport11	407
41	Araport11	826
42	Araport11	1320
43	Araport11	1682
44	Araport11	1693
45	Araport11	1407
46	Araport11	1055
47	Araport11	765
48	Araport11	476
49	Araport11	299
50	Araport11	194
51	Araport11	119
52	Araport11	66
53	Araport11	45
54	Araport11	21
55	Araport11	12
56	Araport11	0
57	Araport11	2
58	Araport11	4
59	Araport11	1
60	Araport11	0
61	Araport11	1
62	Araport11	1
63	Araport11	0
64	Araport11	0
65	Araport11	0
>65	Araport11	0
<30	BIND-orph	1
30	BIND-orph	1
31	BIND-orph	1
32	BIND-orph	3
33	BIND-orph	4
34	BIND-orph	3
35	BIND-orph	5
36	BIND-orph	13
37	BIND-orph	44
38	BIND-orph	92
39	BIND-orph	174
40	BIND-orph	441
41	BIND-orph	884
42	BIND-orph	1379
43	BIND-orph	1699
44	BIND-orph	1690
45	BIND-orph	1415
46	BIND-orph	1021
47	BIND-orph	728
48	BIND-orph	439
49	BIND-orph	284
50	BIND-orph	164
51	BIND-orph	100
52	BIND-orph	47
53	BIND-orph	39
54	BIND-orph	18
55	BIND-orph	9
56	BIND-orph	2
57	BIND-orph	1
58	BIND-orph	3
59	BIND-orph	1
60	BIND-orph	0
61	BIND-orph	0
62	BIND-orph	0
63	BIND-orph	0
64	BIND-orph	0
65	BIND-orph	0
>65	BIND-orph	0
<30	Brake-small	0
30	Brake-small	0
31	Brake-small	0
32	Brake-small	0
33	Brake-small	0
34	Brake-small	3
35	Brake-small	1
36	Brake-small	10
37	Brake-small	43
38	Brake-small	82
39	Brake-small	175
40	Brake-small	421
41	Brake-small	843
42	Brake-small	1375
43	Brake-small	1742
44	Brake-small	1741
45	Brake-small	1448
46	Brake-small	1087
47	Brake-small	782
48	Brake-small	494
49	Brake-small	319
50	Brake-small	214
51	Brake-small	120
52	Brake-small	65
53	Brake-small	47
54	Brake-small	18
55	Brake-small	12
56	Brake-small	2
57	Brake-small	2
58	Brake-small	4
59	Brake-small	1
60	Brake-small	0
61	Brake-small	1
62	Brake-small	0
63	Brake-small	0
64	Brake-small	0
65	Brake-small	0
>65	Brake-small	0
<30	Brake-pool	0
30	Brake-pool	0
31	Brake-pool	0
32	Brake-pool	0
33	Brake-pool	0
34	Brake-pool	1
35	Brake-pool	2
