GC	Method	counts
<30	Araport11	12
30	Araport11	13
31	Araport11	11
32	Araport11	27
33	Araport11	38
34	Araport11	74
35	Araport11	102
36	Araport11	175
37	Araport11	273
38	Araport11	482
39	Araport11	878
40	Araport11	1618
41	Araport11	2509
42	Araport11	3331
43	Araport11	3855
44	Araport11	3587
45	Araport11	2981
46	Araport11	2283
47	Araport11	1703
48	Araport11	1165
49	Araport11	788
50	Araport11	657
51	Araport11	382
52	Araport11	270
53	Araport11	157
54	Araport11	113
55	Araport11	63
56	Araport11	32
57	Araport11	14
58	Araport11	13
59	Araport11	8
60	Araport11	6
61	Araport11	9
62	Araport11	5
63	Araport11	2
64	Araport11	1
65	Araport11	1
>65	Araport11	3
<30	BIND-orph	7
30	BIND-orph	11
31	BIND-orph	39
32	BIND-orph	50
33	BIND-orph	89
34	BIND-orph	126
35	BIND-orph	182
36	BIND-orph	312
37	BIND-orph	512
38	BIND-orph	835
39	BIND-orph	1262
40	BIND-orph	2095
41	BIND-orph	3060
42	BIND-orph	3904
43	BIND-orph	4333
44	BIND-orph	4037
45	BIND-orph	3363
46	BIND-orph	2536
47	BIND-orph	1953
48	BIND-orph	1326
49	BIND-orph	946
50	BIND-orph	717
51	BIND-orph	438
52	BIND-orph	280
53	BIND-orph	165
54	BIND-orph	115
55	BIND-orph	70
56	BIND-orph	37
57	BIND-orph	19
58	BIND-orph	19
59	BIND-orph	12
60	BIND-orph	5
61	BIND-orph	1
62	BIND-orph	4
63	BIND-orph	6
64	BIND-orph	1
65	BIND-orph	0
>65	BIND-orph	2
<30	Brake-small	0
30	Brake-small	0
31	Brake-small	0
32	Brake-small	0
33	Brake-small	10
34	Brake-small	18
35	Brake-small	57
36	Brake-small	143
37	Brake-small	333
38	Brake-small	636
39	Brake-small	1175
40	Brake-small	2054
41	Brake-small	3063
42	Brake-small	4007
43	Brake-small	4543
44	Brake-small	4251
45	Brake-small	3663
46	Brake-small	2900
47	Brake-small	2163
48	Brake-small	1555
49	Brake-small	1197
50	Brake-small	964
51	Brake-small	616
52	Brake-small	435
53	Brake-small	281
54	Brake-small	214
55	Brake-small	164
56	Brake-small	74
57	Brake-small	46
58	Brake-small	39
59	Brake-small	23
60	Brake-small	8
61	Brake-small	14
62	Brake-small	6
63	Brake-small	1
64	Brake-small	0
65	Brake-small	2
>65	Brake-small	5
<30	Brake-pool	0
30	Brake-pool	0
31	Brake-pool	0
32	Brake-pool	0
33	Brake-pool	10
34	Brake-pool	16
35	Brake-pool	60
36	Brake-pool	141
37	Brake-pool	336
38	Brake-pool	637
39	Brake-pool	1161
40	Brake-pool	2032
41	Brake-pool	3060
42	Brake-pool	3994
43	Brake-pool	4490
44	Brake-pool	4293
45	Brake-pool	3592
46	Brake-pool	2869
47	Brake-pool	2133
48	Brake-pool	1547
49	Brake-pool	1167
50	Brake-pool	945
51	Brake-pool	605
52	Brake-pool	415
53	Brake-pool	254
54	Brake-pool	194
55	Brake-pool	155
56	Brake-pool	70
57	Brake-pool	39
58	Brake-pool	36
59	Brake-pool	21
60	Brake-pool	9
61	Brake-pool	12
62	Brake-pool	5
63	Brake-pool	1
64	Brake-pool	0
65	Brake-pool	3
>65	Brake-pool	6
<30	MIND-orph	207
30	MIND-orph	95
31	MIND-orph	146
32	MIND-orph	242
33	MIND-orph	330
34	MIND-orph	399
35	MIND-orph	540
36	MIND-orph	792
37	MIND-orph	1067
38	MIND-orph	1334
39	MIND-orph	1714
40	MIND-orph	2611
41	MIND-orph	3495
42	MIND-orph	4477
43	MIND-orph	4753
44	MIND-orph	4352
45	MIND-orph	3689
46	MIND-orph	2815
47	MIND-orph	2114
48	MIND-orph	1471
49	MIND-orph	1033
50	MIND-orph	861
51	MIND-orph	529
52	MIND-orph	370
53	MIND-orph	234
54	MIND-orph	185
55	MIND-orph	112
56	MIND-orph	63
57	MIND-orph	41
58	MIND-orph	26
59	MIND-orph	18
60	MIND-orph	6
61	MIND-orph	6
62	MIND-orph	8
63	MIND-orph	3
64	MIND-orph	1
65	MIND-orph	1
>65	MIND-orph	2
<30	Make-pool+trans	648
30	Make-pool+trans	233
31	Make-pool+trans	269
32	Make-pool+trans	291
33	Make-pool+trans	344
34	Make-pool+trans	513
35	Make-pool+trans	578
36	Make-pool+trans	767
37	Make-pool+trans	1079
38	Make-pool+trans	1580
39	Make-pool+trans	2277
40	Make-pool+trans	3473
41	Make-pool+trans	4311
42	Make-pool+trans	4245
43	Make-pool+trans	3622
44	Make-pool+trans	2797
45	Make-pool+trans	2037
46	Make-pool+trans	1547
47	Make-pool+trans	1164
48	Make-pool+trans	856
49	Make-pool+trans	673
50	Make-pool+trans	567
51	Make-pool+trans	395
52	Make-pool+trans	256
53	Make-pool+trans	173
54	Make-pool+trans	109
55	Make-pool+trans	77
56	Make-pool+trans	57
57	Make-pool+trans	33
58	Make-pool+trans	32
59	Make-pool+trans	8
60	Make-pool+trans	10
61	Make-pool+trans	11
62	Make-pool+trans	10
63	Make-pool+trans	5
64	Make-pool+trans	1
65	Make-pool+trans	0
>65	Make-pool+trans	0
<30	Make-small+trans	40
30	Make-small+trans	26
31	Make-small+trans	41
32	Make-small+trans	34
33	Make-small+trans	66
34	Make-small+trans	76
35	Make-small+trans	102
36	Make-small+trans	167
37	Make-small+trans	332
38	Make-small+trans	597
39	Make-small+trans	1047
40	Make-small+trans	2009
41	Make-small+trans	3056
42	Make-small+trans	3656
43	Make-small+trans	3733
44	Make-small+trans	3003
45	Make-small+trans	2124
46	Make-small+trans	1507
47	Make-small+trans	1038
48	Make-small+trans	723
49	Make-small+trans	477
50	Make-small+trans	396
51	Make-small+trans	240
52	Make-small+trans	164
53	Make-small+trans	93
54	Make-small+trans	72
55	Make-small+trans	52
56	Make-small+trans	30
57	Make-small+trans	14
58	Make-small+trans	9
59	Make-small+trans	7
60	Make-small+trans	4
61	Make-small+trans	6
62	Make-small+trans	1
63	Make-small+trans	1
64	Make-small+trans	1
65	Make-small+trans	0
>65	Make-small+trans	0
<30	DirInf-orph	7
30	DirInf-orph	16
31	DirInf-orph	42
32	DirInf-orph	60
33	DirInf-orph	120
34	DirInf-orph	165
35	DirInf-orph	274
36	DirInf-orph	437
37	DirInf-orph	773
38	DirInf-orph	1148
39	DirInf-orph	1783
40	DirInf-orph	3000
41	DirInf-orph	4107
42	DirInf-orph	5038
43	DirInf-orph	5395
44	DirInf-orph	4969
45	DirInf-orph	4160
46	DirInf-orph	3212
47	DirInf-orph	2374
48	DirInf-orph	1656
49	DirInf-orph	1205
50	DirInf-orph	949
51	DirInf-orph	538
52	DirInf-orph	375
53	DirInf-orph	226
54	DirInf-orph	159
55	DirInf-orph	102
56	DirInf-orph	53
57	DirInf-orph	31
58	DirInf-orph	20
59	DirInf-orph	21
60	DirInf-orph	6
61	DirInf-orph	6
62	DirInf-orph	9
63	DirInf-orph	7
64	DirInf-orph	2
65	DirInf-orph	0
>65	DirInf-orph	1
<30	DirInf-pool	7
30	DirInf-pool	1
31	DirInf-pool	6
32	DirInf-pool	8
33	DirInf-pool	16
34	DirInf-pool	23
35	DirInf-pool	43
36	DirInf-pool	69
37	DirInf-pool	108
38	DirInf-pool	181
39	DirInf-pool	351
40	DirInf-pool	675
41	DirInf-pool	1093
42	DirInf-pool	1524
43	DirInf-pool	1735
44	DirInf-pool	1562
45	DirInf-pool	1284
46	DirInf-pool	969
47	DirInf-pool	682
48	DirInf-pool	445
49	DirInf-pool	299
50	DirInf-pool	225
51	DirInf-pool	121
52	DirInf-pool	73
53	DirInf-pool	58
54	DirInf-pool	37
55	DirInf-pool	16
56	DirInf-pool	9
57	DirInf-pool	5
58	DirInf-pool	6
59	DirInf-pool	7
60	DirInf-pool	2
61	DirInf-pool	4
62	DirInf-pool	5
63	DirInf-pool	1
64	DirInf-pool	1
65	DirInf-pool	0
>65	DirInf-pool	1
