GC	Method	counts
<30	Araport11	7
30	Araport11	3
31	Araport11	4
32	Araport11	7
33	Araport11	10
34	Araport11	18
35	Araport11	23
36	Araport11	32
37	Araport11	30
38	Araport11	46
39	Araport11	65
40	Araport11	68
41	Araport11	74
42	Araport11	79
43	Araport11	89
44	Araport11	90
45	Araport11	67
46	Araport11	63
47	Araport11	45
48	Araport11	51
49	Araport11	22
50	Araport11	41
51	Araport11	20
52	Araport11	27
53	Araport11	18
54	Araport11	7
55	Araport11	6
56	Araport11	7
57	Araport11	3
58	Araport11	2
59	Araport11	2
60	Araport11	2
61	Araport11	7
62	Araport11	2
63	Araport11	2
64	Araport11	1
65	Araport11	0
>65	Araport11	2
<30	BIND-orph	4
30	BIND-orph	7
31	BIND-orph	30
32	BIND-orph	32
33	BIND-orph	49
34	BIND-orph	60
35	BIND-orph	69
36	BIND-orph	107
37	BIND-orph	132
38	BIND-orph	124
39	BIND-orph	145
40	BIND-orph	158
41	BIND-orph	129
42	BIND-orph	148
43	BIND-orph	155
44	BIND-orph	167
45	BIND-orph	193
46	BIND-orph	178
47	BIND-orph	199
48	BIND-orph	160
49	BIND-orph	135
50	BIND-orph	129
51	BIND-orph	81
52	BIND-orph	70
53	BIND-orph	39
54	BIND-orph	36
55	BIND-orph	21
56	BIND-orph	14
57	BIND-orph	6
58	BIND-orph	4
59	BIND-orph	4
60	BIND-orph	3
61	BIND-orph	1
62	BIND-orph	2
63	BIND-orph	5
64	BIND-orph	1
65	BIND-orph	0
>65	BIND-orph	2
<30	Brake-small	0
30	Brake-small	0
31	Brake-small	0
32	Brake-small	0
33	Brake-small	0
34	Brake-small	2
35	Brake-small	3
36	Brake-small	6
37	Brake-small	22
38	Brake-small	23
39	Brake-small	45
40	Brake-small	73
41	Brake-small	87
42	Brake-small	131
43	Brake-small	148
44	Brake-small	169
45	Brake-small	214
46	Brake-small	231
47	Brake-small	212
48	Brake-small	230
49	Brake-small	200
50	Brake-small	190
51	Brake-small	169
52	Brake-small	132
53	Brake-small	108
54	Brake-small	87
55	Brake-small	77
56	Brake-small	35
57	Brake-small	24
58	Brake-small	17
59	Brake-small	13
60	Brake-small	3
61	Brake-small	11
62	Brake-small	3
63	Brake-small	0
64	Brake-small	0
65	Brake-small	2
>65	Brake-small	5
<30	Brake-pool	0
30	Brake-pool	0
31	Brake-pool	0
32	Brake-pool	0
33	Brake-pool	0
34	Brake-pool	2
35	Brake-pool	5
36	Brake-pool	3
37	Brake-pool	24
38	Brake-pool	28
39	Brake-pool	46
40	Brake-pool	73
41	Brake-pool	104
42	Brake-pool	115
43	Brake-pool	135
44	Brake-pool	179
45	Brake-pool	201
46	Brake-pool	210
47	Brake-pool	202
48	Brake-pool	218
49	Brake-pool	194
50	Brake-pool	188
51	Brake-pool	152
52	Brake-pool	125
53	Brake-pool	91
54	Brake-pool	67
55	Brake-pool	72
56	Brake-pool	37
57	Brake-pool	17
58	Brake-pool	15
59	Brake-pool	11
60	Brake-pool	5
61	Brake-pool	9
62	Brake-pool	2
63	Brake-pool	0
64	Brake-pool	0
65	Brake-pool	3
>65	Brake-pool	6
<30	MIND-orph	187
30	MIND-orph	74
31	MIND-orph	118
32	MIND-orph	182
33	MIND-orph	238
34	MIND-orph	254
35	MIND-orph	300
