GC	Method	counts
<30	Araport11	18
30	Araport11	13
31	Araport11	12
32	Araport11	27
33	Araport11	40
34	Araport11	74
35	Araport11	103
36	Araport11	176
37	Araport11	276
38	Araport11	482
39	Araport11	884
40	Araport11	1617
41	Araport11	2505
42	Araport11	3333
43	Araport11	3856
44	Araport11	3588
45	Araport11	2979
46	Araport11	2284
47	Araport11	1698
48	Araport11	1172
49	Araport11	787
50	Araport11	657
51	Araport11	380
52	Araport11	271
53	Araport11	158
54	Araport11	112
55	Araport11	64
56	Araport11	32
57	Araport11	15
58	Araport11	13
59	Araport11	8
60	Araport11	6
61	Araport11	9
62	Araport11	5
63	Araport11	2
64	Araport11	1
65	Araport11	1
>65	Araport11	3
<30	BIND-orph	7
30	BIND-orph	11
31	BIND-orph	39
32	BIND-orph	50
33	BIND-orph	89
34	BIND-orph	126
35	BIND-orph	183
36	BIND-orph	314
37	BIND-orph	511
38	BIND-orph	843
39	BIND-orph	1278
40	BIND-orph	2102
41	BIND-orph	3061
42	BIND-orph	3892
43	BIND-orph	4339
44	BIND-orph	4018
45	BIND-orph	3368
46	BIND-orph	2522
47	BIND-orph	1951
48	BIND-orph	1322
49	BIND-orph	949
50	BIND-orph	717
51	BIND-orph	441
52	BIND-orph	280
53	BIND-orph	166
54	BIND-orph	113
55	BIND-orph	71
56	BIND-orph	37
57	BIND-orph	19
58	BIND-orph	19
59	BIND-orph	12
60	BIND-orph	5
61	BIND-orph	1
62	BIND-orph	4
63	BIND-orph	6
64	BIND-orph	1
65	BIND-orph	0
>65	BIND-orph	2
<30	Brake-small	0
30	Brake-small	0
31	Brake-small	0
32	Brake-small	0
33	Brake-small	10
34	Brake-small	18
35	Brake-small	56
36	Brake-small	144
37	Brake-small	333
38	Brake-small	636
39	Brake-small	1179
40	Brake-small	2059
41	Brake-small	3057
42	Brake-small	4003
43	Brake-small	4545
44	Brake-small	4251
45	Brake-small	3655
46	Brake-small	2902
47	Brake-small	2164
48	Brake-small	1557
49	Brake-small	1197
50	Brake-small	965
51	Brake-small	613
52	Brake-small	438
53	Brake-small	282
54	Brake-small	215
55	Brake-small	163
56	Brake-small	73
57	Brake-small	47
58	Brake-small	39
59	Brake-small	23
60	Brake-small	8
61	Brake-small	14
62	Brake-small	6
63	Brake-small	1
64	Brake-small	0
65	Brake-small	2
>65	Brake-small	5
<30	Brake-pool	0
30	Brake-pool	0
31	Brake-pool	0
32	Brake-pool	0
33	Brake-pool	10
34	Brake-pool	16
35	Brake-pool	59
36	Brake-pool	140
37	Brake-pool	337
38	Brake-pool	636
39	Brake-pool	1163
40	Brake-pool	2033
41	Brake-pool	3052
42	Brake-pool	3991
43	Brake-pool	4493
44	Brake-pool	4290
45	Brake-pool	3596
46	Brake-pool	2867
47	Brake-pool	2134
48	Brake-pool	1554
49	Brake-pool	1166
50	Brake-pool	944
51	Brake-pool	606
52	Brake-pool	416
53	Brake-pool	253
54	Brake-pool	194
55	Brake-pool	155
56	Brake-pool	70
57	Brake-pool	39
58	Brake-pool	37
59	Brake-pool	21
60	Brake-pool	9
61	Brake-pool	12
62	Brake-pool	5
63	Brake-pool	1
64	Brake-pool	0
65	Brake-pool	3
>65	Brake-pool	6
<30	MIND-orph	207
30	MIND-orph	95
31	MIND-orph	146
32	MIND-orph	242
33	MIND-orph	331
34	MIND-orph	399
35	MIND-orph	541
36	MIND-orph	793
37	MIND-orph	1068
38	MIND-orph	1344
39	MIND-orph	1732
40	MIND-orph	2613
41	MIND-orph	3492
42	MIND-orph	4462
43	MIND-orph	4760
44	MIND-orph	4330
45	MIND-orph	3688
46	MIND-orph	2813
47	MIND-orph	2115
48	MIND-orph	1465
49	MIND-orph	1040
50	MIND-orph	861
51	MIND-orph	528
52	MIND-orph	368
53	MIND-orph	237
54	MIND-orph	183
55	MIND-orph	113
56	MIND-orph	63
57	MIND-orph	41
58	MIND-orph	26
59	MIND-orph	18
60	MIND-orph	6
61	MIND-orph	6
62	MIND-orph	8
63	MIND-orph	3
64	MIND-orph	1
65	MIND-orph	1
>65	MIND-orph	2
<30	Make-pool+trans	781
30	Make-pool+trans	249
31	Make-pool+trans	278
32	Make-pool+trans	292
33	Make-pool+trans	451
34	Make-pool+trans	515
35	Make-pool+trans	607
36	Make-pool+trans	776
37	Make-pool+trans	1110
38	Make-pool+trans	1616
39	Make-pool+trans	2288
40	Make-pool+trans	3494
41	Make-pool+trans	4330
42	Make-pool+trans	4258
43	Make-pool+trans	3640
44	Make-pool+trans	2817
45	Make-pool+trans	2049
46	Make-pool+trans	1553
47	Make-pool+trans	1170
48	Make-pool+trans	864
49	Make-pool+trans	673
50	Make-pool+trans	573
51	Make-pool+trans	398
52	Make-pool+trans	257
53	Make-pool+trans	176
54	Make-pool+trans	111
55	Make-pool+trans	82
56	Make-pool+trans	58
57	Make-pool+trans	35
58	Make-pool+trans	33
59	Make-pool+trans	9
60	Make-pool+trans	10
61	Make-pool+trans	11
62	Make-pool+trans	10
63	Make-pool+trans	5
64	Make-pool+trans	1
65	Make-pool+trans	0
>65	Make-pool+trans	0
<30	Make-small+trans	64
30	Make-small+trans	31
31	Make-small+trans	46
32	Make-small+trans	34
33	Make-small+trans	96
34	Make-small+trans	76
35	Make-small+trans	109
36	Make-small+trans	174
37	Make-small+trans	346
38	Make-small+trans	606
39	Make-small+trans	1049
40	Make-small+trans	2020
41	Make-small+trans	3063
42	Make-small+trans	3670
43	Make-small+trans	3737
44	Make-small+trans	3008
45	Make-small+trans	2130
46	Make-small+trans	1512
47	Make-small+trans	1046
48	Make-small+trans	725
49	Make-small+trans	477
50	Make-small+trans	402
51	Make-small+trans	240
52	Make-small+trans	165
53	Make-small+trans	95
54	Make-small+trans	74
55	Make-small+trans	53
56	Make-small+trans	30
57	Make-small+trans	17
58	Make-small+trans	9
59	Make-small+trans	7
60	Make-small+trans	5
61	Make-small+trans	6
62	Make-small+trans	1
63	Make-small+trans	1
64	Make-small+trans	1
65	Make-small+trans	0
>65	Make-small+trans	0
<30	DirInf-orph	7
30	DirInf-orph	16
31	DirInf-orph	42
32	DirInf-orph	60
33	DirInf-orph	120
34	DirInf-orph	166
35	DirInf-orph	275
36	DirInf-orph	438
37	DirInf-orph	774
38	DirInf-orph	1163
39	DirInf-orph	1793
40	DirInf-orph	3020
41	DirInf-orph	4100
42	DirInf-orph	5040
43	DirInf-orph	5370
44	DirInf-orph	4954
45	DirInf-orph	4160
46	DirInf-orph	3210
47	DirInf-orph	2373
48	DirInf-orph	1659
49	DirInf-orph	1202
50	DirInf-orph	947
51	DirInf-orph	540
52	DirInf-orph	373
53	DirInf-orph	226
54	DirInf-orph	159
55	DirInf-orph	102
56	DirInf-orph	54
57	DirInf-orph	31
58	DirInf-orph	19
59	DirInf-orph	21
60	DirInf-orph	6
61	DirInf-orph	5
62	DirInf-orph	10
63	DirInf-orph	7
64	DirInf-orph	2
65	DirInf-orph	0
>65	DirInf-orph	1
<30	DirInf-pool	4
30	DirInf-pool	1
31	DirInf-pool	6
32	DirInf-pool	8
33	DirInf-pool	17
34	DirInf-pool	22
35	DirInf-pool	43
36	DirInf-pool	71
37	DirInf-pool	109
38	DirInf-pool	184
39	DirInf-pool	350
40	DirInf-pool	684
41	DirInf-pool	1100
42	DirInf-pool	1515
43	DirInf-pool	1725
44	DirInf-pool	1551
45	DirInf-pool	1289
46	DirInf-pool	968
47	DirInf-pool	678
48	DirInf-pool	447
49	DirInf-pool	299
50	DirInf-pool	232
51	DirInf-pool	122
52	DirInf-pool	77
53	DirInf-pool	57
54	DirInf-pool	37
55	DirInf-pool	17
56	DirInf-pool	8
57	DirInf-pool	5
58	DirInf-pool	6
59	DirInf-pool	6
60	DirInf-pool	2
61	DirInf-pool	4
62	DirInf-pool	5
63	DirInf-pool	1
64	DirInf-pool	1
65	DirInf-pool	0
>65	DirInf-pool	1
