Length	Method	Counts
100	Araport11	1
200	Araport11	35
300	Araport11	83
400	Araport11	205
500	Araport11	379
600	Araport11	371
700	Araport11	503
800	Araport11	492
900	Araport11	517
1000	Araport11	651
1100	Araport11	739
1200	Araport11	686
1300	Araport11	563
1400	Araport11	571
1500	Araport11	717
1600	Araport11	645
1700	Araport11	452
1800	Araport11	365
1900	Araport11	308
2000	Araport11	271
2100	Araport11	235
2200	Araport11	232
2300	Araport11	202
2400	Araport11	158
2500	Araport11	164
2600	Araport11	132
2700	Araport11	135
2800	Araport11	99
2900	Araport11	98
3000	Araport11	76
3100	Araport11	80
3200	Araport11	88
3300	Araport11	53
3400	Araport11	44
3500	Araport11	36
3600	Araport11	48
3700	Araport11	39
3800	Araport11	31
3900	Araport11	22
4000	Araport11	15
4100	Araport11	11
4200	Araport11	23
4300	Araport11	18
4400	Araport11	14
4500	Araport11	11
4600	Araport11	13
4700	Araport11	3
>4500	Araport11	91
100	BIND-orph	0
200	BIND-orph	0
300	BIND-orph	5
400	BIND-orph	233
500	BIND-orph	339
600	BIND-orph	365
700	BIND-orph	468
800	BIND-orph	454
900	BIND-orph	515
1000	BIND-orph	656
1100	BIND-orph	718
1200	BIND-orph	700
1300	BIND-orph	555
1400	BIND-orph	532
1500	BIND-orph	682
1600	BIND-orph	642
1700	BIND-orph	479
1800	BIND-orph	380
1900	BIND-orph	327
2000	BIND-orph	285
2100	BIND-orph	249
2200	BIND-orph	222
2300	BIND-orph	204
2400	BIND-orph	173
2500	BIND-orph	166
2600	BIND-orph	134
2700	BIND-orph	136
2800	BIND-orph	95
2900	BIND-orph	104
3000	BIND-orph	98
3100	BIND-orph	90
3200	BIND-orph	92
3300	BIND-orph	73
3400	BIND-orph	55
3500	BIND-orph	38
3600	BIND-orph	56
3700	BIND-orph	44
3800	BIND-orph	44
3900	BIND-orph	28
4000	BIND-orph	24
4100	BIND-orph	26
4200	BIND-orph	31
4300	BIND-orph	24
4400	BIND-orph	10
4500	BIND-orph	18
4600	BIND-orph	15
4700	BIND-orph	4
>4500	BIND-orph	135
100	Brake-small	0
200	Brake-small	0
300	Brake-small	99
400	Brake-small	213
500	Brake-small	391
600	Brake-small	378
700	Brake-small	518
800	Brake-small	491
900	Brake-small	542
1000	Brake-small	656
1100	Brake-small	740
1200	Brake-small	684
1300	Brake-small	548
1400	Brake-small	565
1500	Brake-small	718
1600	Brake-small	634
1700	Brake-small	455
1800	Brake-small	385
1900	Brake-small	326
2000	Brake-small	283
2100	Brake-small	242
2200	Brake-small	234
2300	Brake-small	216
2400	Brake-small	171
2500	Brake-small	171
2600	Brake-small	134
2700	Brake-small	152
2800	Brake-small	113
2900	Brake-small	105
3000	Brake-small	102
3100	Brake-small	89
3200	Brake-small	79
3300	Brake-small	61
3400	Brake-small	66
3500	Brake-small	50
3600	Brake-small	57
3700	Brake-small	47
3800	Brake-small	40
3900	Brake-small	30
4000	Brake-small	33
4100	Brake-small	31
4200	Brake-small	30
4300	Brake-small	23
4400	Brake-small	14
4500	Brake-small	17
4600	Brake-small	13
4700	Brake-small	6
>4500	Brake-small	118
100	Brake-pool	0
200	Brake-pool	0
300	Brake-pool	85
400	Brake-pool	216
500	Brake-pool	392
600	Brake-pool	365
700	Brake-pool	504
800	Brake-pool	496
900	Brake-pool	523
1000	Brake-pool	661
1100	Brake-pool	751
1200	Brake-pool	694
1300	Brake-pool	546
1400	Brake-pool	555
1500	Brake-pool	715
1600	Brake-pool	646
1700	Brake-pool	459
1800	Brake-pool	386
1900	Brake-pool	326
2000	Brake-pool	273
2100	Brake-pool	241
2200	Brake-pool	234
2300	Brake-pool	226
2400	Brake-pool	175
2500	Brake-pool	175
2600	Brake-pool	136
2700	Brake-pool	151
2800	Brake-pool	113
2900	Brake-pool	104
3000	Brake-pool	87
3100	Brake-pool	93
3200	Brake-pool	82
3300	Brake-pool	62
3400	Brake-pool	63
3500	Brake-pool	50
3600	Brake-pool	57
3700	Brake-pool	49
3800	Brake-pool	37
3900	Brake-pool	31
4000	Brake-pool	36
4100	Brake-pool	32
4200	Brake-pool	31
4300	Brake-pool	25
4400	Brake-pool	16
4500	Brake-pool	17
4600	Brake-pool	16
4700	Brake-pool	5
>4500	Brake-pool	124
100	MIND-orph	0
200	MIND-orph	1
300	MIND-orph	50
400	MIND-orph	254
500	MIND-orph	332
600	MIND-orph	381
700	MIND-orph	468
800	MIND-orph	430
900	MIND-orph	526
1000	MIND-orph	591
1100	MIND-orph	698
1200	MIND-orph	654
1300	MIND-orph	524
1400	MIND-orph	509
1500	MIND-orph	634
1600	MIND-orph	634
1700	MIND-orph	480
1800	MIND-orph	364
1900	MIND-orph	322
2000	MIND-orph	253
2100	MIND-orph	253
2200	MIND-orph	223
2300	MIND-orph	204
2400	MIND-orph	167
2500	MIND-orph	168
2600	MIND-orph	140
2700	MIND-orph	136
2800	MIND-orph	110
2900	MIND-orph	110
3000	MIND-orph	98
3100	MIND-orph	87
3200	MIND-orph	86
3300	MIND-orph	74
3400	MIND-orph	61
3500	MIND-orph	36
3600	MIND-orph	60
3700	MIND-orph	37
3800	MIND-orph	45
3900	MIND-orph	29
4000	MIND-orph	41
4100	MIND-orph	33
4200	MIND-orph	21
4300	MIND-orph	22
4400	MIND-orph	17
4500	MIND-orph	19
4600	MIND-orph	19
4700	MIND-orph	9
>4500	MIND-orph	160
100	Make-pool+trans	0
200	Make-pool+trans	16
300	Make-pool+trans	77
400	Make-pool+trans	110
500	Make-pool+trans	196
600	Make-pool+trans	200
700	Make-pool+trans	204
800	Make-pool+trans	203
900	Make-pool+trans	257
1000	Make-pool+trans	345
1100	Make-pool+trans	389
1200	Make-pool+trans	371
1300	Make-pool+trans	387
1400	Make-pool+trans	416
1500	Make-pool+trans	461
1600	Make-pool+trans	435
1700	Make-pool+trans	383
1800	Make-pool+trans	360
1900	Make-pool+trans	359
2000	Make-pool+trans	361
2100	Make-pool+trans	345
2200	Make-pool+trans	293
2300	Make-pool+trans	297
2400	Make-pool+trans	250
2500	Make-pool+trans	235
2600	Make-pool+trans	221
2700	Make-pool+trans	173
2800	Make-pool+trans	169
2900	Make-pool+trans	164
3000	Make-pool+trans	152
3100	Make-pool+trans	140
3200	Make-pool+trans	117
3300	Make-pool+trans	131
3400	Make-pool+trans	105
3500	Make-pool+trans	90
3600	Make-pool+trans	115
3700	Make-pool+trans	95
3800	Make-pool+trans	93
3900	Make-pool+trans	72
4000	Make-pool+trans	73
4100	Make-pool+trans	84
4200	Make-pool+trans	56
4300	Make-pool+trans	61
4400	Make-pool+trans	40
4500	Make-pool+trans	60
4600	Make-pool+trans	56
4700	Make-pool+trans	40
>4500	Make-pool+trans	664
100	Make-small+trans	0
200	Make-small+trans	23
300	Make-small+trans	74
400	Make-small+trans	143
500	Make-small+trans	286
600	Make-small+trans	281
700	Make-small+trans	337
800	Make-small+trans	420
900	Make-small+trans	425
1000	Make-small+trans	515
1100	Make-small+trans	615
1200	Make-small+trans	625
1300	Make-small+trans	467
1400	Make-small+trans	567
1500	Make-small+trans	560
1600	Make-small+trans	557
1700	Make-small+trans	445
1800	Make-small+trans	371
1900	Make-small+trans	356
2000	Make-small+trans	299
2100	Make-small+trans	243
2200	Make-small+trans	236
2300	Make-small+trans	206
2400	Make-small+trans	180
2500	Make-small+trans	149
2600	Make-small+trans	128
2700	Make-small+trans	129
2800	Make-small+trans	98
2900	Make-small+trans	116
3000	Make-small+trans	85
3100	Make-small+trans	91
3200	Make-small+trans	68
3300	Make-small+trans	74
3400	Make-small+trans	67
3500	Make-small+trans	49
3600	Make-small+trans	63
3700	Make-small+trans	40
3800	Make-small+trans	47
3900	Make-small+trans	30
4000	Make-small+trans	32
4100	Make-small+trans	33
4200	Make-small+trans	19
4300	Make-small+trans	27
4400	Make-small+trans	27
4500	Make-small+trans	19
4600	Make-small+trans	20
4700	Make-small+trans	6
>4500	Make-small+trans	169
100	DirInf-orph	0
200	DirInf-orph	0
300	DirInf-orph	14
400	DirInf-orph	479
500	DirInf-orph	493
600	DirInf-orph	526
700	DirInf-orph	583
800	DirInf-orph	553
900	DirInf-orph	602
1000	DirInf-orph	700
1100	DirInf-orph	757
1200	DirInf-orph	729
1300	DirInf-orph	585
1400	DirInf-orph	569
1500	DirInf-orph	697
1600	DirInf-orph	652
1700	DirInf-orph	494
1800	DirInf-orph	379
1900	DirInf-orph	317
2000	DirInf-orph	284
2100	DirInf-orph	230
2200	DirInf-orph	212
2300	DirInf-orph	182
2400	DirInf-orph	155
2500	DirInf-orph	166
2600	DirInf-orph	116
2700	DirInf-orph	137
2800	DirInf-orph	89
2900	DirInf-orph	105
3000	DirInf-orph	71
3100	DirInf-orph	88
3200	DirInf-orph	87
3300	DirInf-orph	59
3400	DirInf-orph	46
3500	DirInf-orph	28
3600	DirInf-orph	47
3700	DirInf-orph	30
3800	DirInf-orph	31
3900	DirInf-orph	22
4000	DirInf-orph	22
4100	DirInf-orph	15
4200	DirInf-orph	22
4300	DirInf-orph	14
4400	DirInf-orph	7
4500	DirInf-orph	11
4600	DirInf-orph	10
4700	DirInf-orph	1
>4500	DirInf-orph	87
100	DirInf-pool	0
200	DirInf-pool	0
300	DirInf-pool	2
400	DirInf-pool	132
500	DirInf-pool	187
600	DirInf-pool	205
700	DirInf-pool	234
800	DirInf-pool	228
900	DirInf-pool	241
1000	DirInf-pool	303
1100	DirInf-pool	325
1200	DirInf-pool	299
1300	DirInf-pool	260
1400	DirInf-pool	242
1500	DirInf-pool	302
1600	DirInf-pool	283
1700	DirInf-pool	206
1800	DirInf-pool	177
1900	DirInf-pool	150
2000	DirInf-pool	119
2100	DirInf-pool	97
2200	DirInf-pool	80
2300	DirInf-pool	83
2400	DirInf-pool	59
2500	DirInf-pool	64
2600	DirInf-pool	49
2700	DirInf-pool	41
2800	DirInf-pool	38
2900	DirInf-pool	35
3000	DirInf-pool	24
3100	DirInf-pool	33
3200	DirInf-pool	31
3300	DirInf-pool	21
3400	DirInf-pool	18
3500	DirInf-pool	7
3600	DirInf-pool	21
3700	DirInf-pool	16
3800	DirInf-pool	15
3900	DirInf-pool	6
4000	DirInf-pool	8
4100	DirInf-pool	6
4200	DirInf-pool	11
4300	DirInf-pool	4
4400	DirInf-pool	4
4500	DirInf-pool	7
4600	DirInf-pool	7
4700	DirInf-pool	1
>4500	DirInf-pool	36
