Length	Method	Counts
100	Araport11	64
200	Araport11	620
300	Araport11	1453
400	Araport11	1656
500	Araport11	1673
600	Araport11	1642
700	Araport11	1657
800	Araport11	1503
900	Araport11	1432
1000	Araport11	1654
1100	Araport11	1637
1200	Araport11	1507
1300	Araport11	1258
1400	Araport11	1224
1500	Araport11	1184
1600	Araport11	1077
1700	Araport11	778
1800	Araport11	689
1900	Araport11	620
2000	Araport11	510
2100	Araport11	440
2200	Araport11	402
2300	Araport11	344
2400	Araport11	295
2500	Araport11	294
2600	Araport11	228
2700	Araport11	210
2800	Araport11	167
2900	Araport11	150
3000	Araport11	140
3100	Araport11	137
3200	Araport11	133
3300	Araport11	92
3400	Araport11	80
3500	Araport11	66
3600	Araport11	77
3700	Araport11	57
3800	Araport11	47
3900	Araport11	41
4000	Araport11	31
4100	Araport11	25
4200	Araport11	33
4300	Araport11	29
4400	Araport11	22
4500	Araport11	21
4600	Araport11	25
4700	Araport11	7
>4500	Araport11	234
100	BIND-orph	0
200	BIND-orph	0
300	BIND-orph	55
400	BIND-orph	4092
500	BIND-orph	2614
600	BIND-orph	2121
700	BIND-orph	2056
800	BIND-orph	1813
900	BIND-orph	1757
1000	BIND-orph	1933
1100	BIND-orph	1857
1200	BIND-orph	1714
1300	BIND-orph	1433
1400	BIND-orph	1288
1500	BIND-orph	1296
1600	BIND-orph	1230
1700	BIND-orph	911
1800	BIND-orph	784
1900	BIND-orph	709
2000	BIND-orph	588
2100	BIND-orph	503
2200	BIND-orph	438
2300	BIND-orph	391
2400	BIND-orph	349
2500	BIND-orph	355
2600	BIND-orph	260
2700	BIND-orph	245
2800	BIND-orph	180
2900	BIND-orph	191
3000	BIND-orph	185
3100	BIND-orph	164
3200	BIND-orph	155
3300	BIND-orph	136
3400	BIND-orph	104
3500	BIND-orph	89
3600	BIND-orph	91
3700	BIND-orph	83
3800	BIND-orph	79
3900	BIND-orph	51
4000	BIND-orph	48
4100	BIND-orph	48
4200	BIND-orph	50
4300	BIND-orph	39
4400	BIND-orph	26
4500	BIND-orph	34
4600	BIND-orph	37
4700	BIND-orph	15
>4500	BIND-orph	307
100	Brake-small	0
200	Brake-small	0
300	Brake-small	2327
400	Brake-small	2965
500	Brake-small	2651
600	Brake-small	2263
700	Brake-small	2242
800	Brake-small	1963
900	Brake-small	1875
1000	Brake-small	1892
1100	Brake-small	1894
1200	Brake-small	1707
1300	Brake-small	1412
1400	Brake-small	1366
1500	Brake-small	1300
1600	Brake-small	1215
1700	Brake-small	856
1800	Brake-small	799
1900	Brake-small	698
2000	Brake-small	589
2100	Brake-small	521
2200	Brake-small	466
2300	Brake-small	401
2400	Brake-small	330
2500	Brake-small	350
2600	Brake-small	259
2700	Brake-small	262
2800	Brake-small	204
2900	Brake-small	190
3000	Brake-small	185
3100	Brake-small	167
3200	Brake-small	134
3300	Brake-small	120
3400	Brake-small	111
3500	Brake-small	104
3600	Brake-small	87
3700	Brake-small	82
3800	Brake-small	56
3900	Brake-small	56
4000	Brake-small	59
4100	Brake-small	53
4200	Brake-small	43
4300	Brake-small	41
4400	Brake-small	36
4500	Brake-small	37
4600	Brake-small	33
4700	Brake-small	13
>4500	Brake-small	287
100	Brake-pool	0
200	Brake-pool	0
300	Brake-pool	1909
400	Brake-pool	3029
500	Brake-pool	2637
600	Brake-pool	2236
700	Brake-pool	2243
800	Brake-pool	1925
900	Brake-pool	1834
1000	Brake-pool	1888
1100	Brake-pool	1926
1200	Brake-pool	1713
1300	Brake-pool	1423
1400	Brake-pool	1343
1500	Brake-pool	1306
1600	Brake-pool	1236
1700	Brake-pool	865
1800	Brake-pool	797
1900	Brake-pool	720
2000	Brake-pool	568
2100	Brake-pool	524
2200	Brake-pool	462
2300	Brake-pool	420
2400	Brake-pool	337
2500	Brake-pool	358
2600	Brake-pool	262
2700	Brake-pool	264
2800	Brake-pool	203
2900	Brake-pool	188
3000	Brake-pool	173
3100	Brake-pool	178
3200	Brake-pool	135
3300	Brake-pool	121
3400	Brake-pool	115
3500	Brake-pool	107
3600	Brake-pool	93
3700	Brake-pool	82
3800	Brake-pool	53
3900	Brake-pool	60
4000	Brake-pool	61
4100	Brake-pool	51
4200	Brake-pool	44
4300	Brake-pool	45
4400	Brake-pool	35
4500	Brake-pool	38
4600	Brake-pool	33
4700	Brake-pool	15
>4500	Brake-pool	295
100	MIND-orph	17
200	MIND-orph	424
300	MIND-orph	4825
400	MIND-orph	5578
500	MIND-orph	3167
600	MIND-orph	2497
700	MIND-orph	2178
800	MIND-orph	1804
900	MIND-orph	1788
1000	MIND-orph	1768
1100	MIND-orph	1787
1200	MIND-orph	1619
1300	MIND-orph	1350
1400	MIND-orph	1289
1500	MIND-orph	1178
1600	MIND-orph	1183
1700	MIND-orph	887
1800	MIND-orph	763
1900	MIND-orph	705
2000	MIND-orph	518
2100	MIND-orph	495
2200	MIND-orph	457
2300	MIND-orph	404
2400	MIND-orph	353
2500	MIND-orph	365
2600	MIND-orph	265
2700	MIND-orph	231
2800	MIND-orph	198
2900	MIND-orph	208
3000	MIND-orph	166
3100	MIND-orph	182
3200	MIND-orph	164
3300	MIND-orph	131
3400	MIND-orph	123
3500	MIND-orph	88
3600	MIND-orph	110
3700	MIND-orph	73
3800	MIND-orph	78
3900	MIND-orph	63
4000	MIND-orph	64
4100	MIND-orph	60
4200	MIND-orph	35
4300	MIND-orph	40
4400	MIND-orph	34
4500	MIND-orph	38
4600	MIND-orph	49
4700	MIND-orph	15
>4500	MIND-orph	365
100	Make-pool+trans	834
200	Make-pool+trans	3030
300	Make-pool+trans	3041
400	Make-pool+trans	2247
500	Make-pool+trans	1736
600	Make-pool+trans	1411
700	Make-pool+trans	1287
800	Make-pool+trans	1176
900	Make-pool+trans	1162
1000	Make-pool+trans	1205
1100	Make-pool+trans	1211
1200	Make-pool+trans	1141
1300	Make-pool+trans	1108
1400	Make-pool+trans	1093
1500	Make-pool+trans	1066
1600	Make-pool+trans	929
1700	Make-pool+trans	898
1800	Make-pool+trans	822
1900	Make-pool+trans	772
2000	Make-pool+trans	753
2100	Make-pool+trans	684
2200	Make-pool+trans	592
2300	Make-pool+trans	550
2400	Make-pool+trans	484
2500	Make-pool+trans	462
2600	Make-pool+trans	412
2700	Make-pool+trans	351
2800	Make-pool+trans	339
2900	Make-pool+trans	298
3000	Make-pool+trans	309
3100	Make-pool+trans	262
3200	Make-pool+trans	244
3300	Make-pool+trans	223
3400	Make-pool+trans	205
3500	Make-pool+trans	185
3600	Make-pool+trans	184
3700	Make-pool+trans	162
3800	Make-pool+trans	165
3900	Make-pool+trans	152
4000	Make-pool+trans	139
4100	Make-pool+trans	144
4200	Make-pool+trans	107
4300	Make-pool+trans	114
4400	Make-pool+trans	84
4500	Make-pool+trans	104
4600	Make-pool+trans	94
4700	Make-pool+trans	73
>4500	Make-pool+trans	1141
100	Make-small+trans	258
200	Make-small+trans	850
300	Make-small+trans	1101
400	Make-small+trans	1158
500	Make-small+trans	1221
600	Make-small+trans	1231
700	Make-small+trans	1207
800	Make-small+trans	1225
900	Make-small+trans	1248
1000	Make-small+trans	1367
1100	Make-small+trans	1399
1200	Make-small+trans	1321
1300	Make-small+trans	1082
1400	Make-small+trans	1155
1500	Make-small+trans	1054
1600	Make-small+trans	979
1700	Make-small+trans	820
1800	Make-small+trans	689
1900	Make-small+trans	644
2000	Make-small+trans	526
2100	Make-small+trans	492
2200	Make-small+trans	428
2300	Make-small+trans	388
2400	Make-small+trans	323
2500	Make-small+trans	291
2600	Make-small+trans	233
2700	Make-small+trans	241
2800	Make-small+trans	172
2900	Make-small+trans	192
3000	Make-small+trans	164
3100	Make-small+trans	159
3200	Make-small+trans	121
3300	Make-small+trans	119
3400	Make-small+trans	109
3500	Make-small+trans	101
3600	Make-small+trans	98
3700	Make-small+trans	70
3800	Make-small+trans	66
3900	Make-small+trans	57
4000	Make-small+trans	49
4100	Make-small+trans	51
4200	Make-small+trans	33
4300	Make-small+trans	49
4400	Make-small+trans	41
4500	Make-small+trans	35
4600	Make-small+trans	45
4700	Make-small+trans	16
>4500	Make-small+trans	320
100	DirInf-orph	0
200	DirInf-orph	0
300	DirInf-orph	173
400	DirInf-orph	7923
500	DirInf-orph	4503
600	DirInf-orph	3291
700	DirInf-orph	2802
800	DirInf-orph	2333
900	DirInf-orph	2210
1000	DirInf-orph	2246
1100	DirInf-orph	2116
1200	DirInf-orph	1886
1300	DirInf-orph	1592
1400	DirInf-orph	1453
1500	DirInf-orph	1381
1600	DirInf-orph	1320
1700	DirInf-orph	947
1800	DirInf-orph	805
1900	DirInf-orph	728
2000	DirInf-orph	596
2100	DirInf-orph	507
2200	DirInf-orph	431
2300	DirInf-orph	375
2400	DirInf-orph	332
2500	DirInf-orph	338
2600	DirInf-orph	245
2700	DirInf-orph	235
2800	DirInf-orph	170
2900	DirInf-orph	178
3000	DirInf-orph	139
3100	DirInf-orph	157
3200	DirInf-orph	137
3300	DirInf-orph	102
3400	DirInf-orph	86
3500	DirInf-orph	60
3600	DirInf-orph	81
3700	DirInf-orph	58
3800	DirInf-orph	53
3900	DirInf-orph	40
4000	DirInf-orph	36
4100	DirInf-orph	35
4200	DirInf-orph	29
4300	DirInf-orph	25
4400	DirInf-orph	14
4500	DirInf-orph	23
4600	DirInf-orph	25
4700	DirInf-orph	6
>4500	DirInf-orph	226
100	DirInf-pool	0
200	DirInf-pool	0
300	DirInf-pool	17
400	DirInf-pool	1089
500	DirInf-pool	887
600	DirInf-pool	825
700	DirInf-pool	762
800	DirInf-pool	670
900	DirInf-pool	650
1000	DirInf-pool	708
1100	DirInf-pool	697
1200	DirInf-pool	642
1300	DirInf-pool	575
1400	DirInf-pool	477
1500	DirInf-pool	508
1600	DirInf-pool	482
1700	DirInf-pool	360
1800	DirInf-pool	323
1900	DirInf-pool	283
2000	DirInf-pool	217
2100	DirInf-pool	176
2200	DirInf-pool	147
2300	DirInf-pool	137
2400	DirInf-pool	119
2500	DirInf-pool	116
2600	DirInf-pool	82
2700	DirInf-pool	67
2800	DirInf-pool	62
2900	DirInf-pool	64
3000	DirInf-pool	50
3100	DirInf-pool	53
3200	DirInf-pool	47
3300	DirInf-pool	40
3400	DirInf-pool	32
3500	DirInf-pool	19
3600	DirInf-pool	35
3700	DirInf-pool	27
3800	DirInf-pool	21
3900	DirInf-pool	16
4000	DirInf-pool	18
4100	DirInf-pool	11
4200	DirInf-pool	16
