Length	Method	Counts
100	Araport11	53
200	Araport11	370
300	Araport11	243
400	Araport11	181
500	Araport11	90
600	Araport11	43
700	Araport11	20
800	Araport11	14
900	Araport11	8
1000	Araport11	6
1100	Araport11	2
1200	Araport11	2
1300	Araport11	2
1400	Araport11	2
1500	Araport11	0
1600	Araport11	1
1700	Araport11	0
1800	Araport11	0
1900	Araport11	1
2000	Araport11	0
2100	Araport11	0
2200	Araport11	0
2300	Araport11	0
2400	Araport11	0
2500	Araport11	0
2600	Araport11	0
2700	Araport11	0
2800	Araport11	0
2900	Araport11	0
3000	Araport11	0
3100	Araport11	0
3200	Araport11	0
3300	Araport11	0
3400	Araport11	0
3500	Araport11	0
3600	Araport11	0
3700	Araport11	0
3800	Araport11	0
3900	Araport11	0
4000	Araport11	0
4100	Araport11	0
4200	Araport11	0
4300	Araport11	0
4400	Araport11	0
4500	Araport11	0
4600	Araport11	0
4700	Araport11	0
>4500	Araport11	0
100	BIND-orph	0
200	BIND-orph	0
300	BIND-orph	31
400	BIND-orph	1676
500	BIND-orph	529
600	BIND-orph	196
700	BIND-orph	114
800	BIND-orph	71
900	BIND-orph	49
1000	BIND-orph	51
1100	BIND-orph	27
1200	BIND-orph	11
1300	BIND-orph	14
1400	BIND-orph	7
1500	BIND-orph	6
1600	BIND-orph	3
1700	BIND-orph	2
1800	BIND-orph	2
1900	BIND-orph	0
2000	BIND-orph	3
2100	BIND-orph	0
2200	BIND-orph	1
2300	BIND-orph	0
2400	BIND-orph	0
2500	BIND-orph	0
2600	BIND-orph	0
2700	BIND-orph	0
2800	BIND-orph	0
2900	BIND-orph	0
3000	BIND-orph	0
3100	BIND-orph	0
3200	BIND-orph	0
3300	BIND-orph	0
3400	BIND-orph	0
3500	BIND-orph	0
3600	BIND-orph	0
3700	BIND-orph	0
3800	BIND-orph	0
3900	BIND-orph	0
4000	BIND-orph	0
4100	BIND-orph	0
4200	BIND-orph	0
4300	BIND-orph	0
4400	BIND-orph	0
4500	BIND-orph	0
4600	BIND-orph	0
4700	BIND-orph	0
>4500	BIND-orph	0
100	Brake-small	0
200	Brake-small	0
300	Brake-small	958
400	Brake-small	806
500	Brake-small	386
600	Brake-small	187
700	Brake-small	122
800	Brake-small	93
900	Brake-small	47
1000	Brake-small	31
1100	Brake-small	14
