Length	Method	Counts
100	Araport11	84
200	Araport11	625
300	Araport11	1452
400	Araport11	1665
500	Araport11	1678
600	Araport11	1636
700	Araport11	1655
800	Araport11	1504
900	Araport11	1432
1000	Araport11	1644
1100	Araport11	1646
1200	Araport11	1507
1300	Araport11	1260
1400	Araport11	1221
1500	Araport11	1180
1600	Araport11	1084
1700	Araport11	774
1800	Araport11	687
1900	Araport11	620
2000	Araport11	510
2100	Araport11	439
2200	Araport11	403
2300	Araport11	339
2400	Araport11	298
2500	Araport11	291
2600	Araport11	228
2700	Araport11	207
2800	Araport11	169
2900	Araport11	149
3000	Araport11	139
3100	Araport11	139
3200	Araport11	135
3300	Araport11	93
3400	Araport11	79
3500	Araport11	65
3600	Araport11	79
3700	Araport11	55
3800	Araport11	46
3900	Araport11	41
4000	Araport11	31
4100	Araport11	25
4200	Araport11	33
4300	Araport11	29
4400	Araport11	22
4500	Araport11	21
4600	Araport11	25
4700	Araport11	7
>4500	Araport11	234
100	BIND-orph	0
200	BIND-orph	0
300	BIND-orph	55
400	BIND-orph	4107
500	BIND-orph	2640
600	BIND-orph	2137
700	BIND-orph	2064
800	BIND-orph	1822
900	BIND-orph	1768
1000	BIND-orph	1939
1100	BIND-orph	1867
1200	BIND-orph	1707
1300	BIND-orph	1434
1400	BIND-orph	1282
1500	BIND-orph	1292
1600	BIND-orph	1225
1700	BIND-orph	908
1800	BIND-orph	776
1900	BIND-orph	707
2000	BIND-orph	588
2100	BIND-orph	496
2200	BIND-orph	439
2300	BIND-orph	390
2400	BIND-orph	348
2500	BIND-orph	348
2600	BIND-orph	260
2700	BIND-orph	238
2800	BIND-orph	180
2900	BIND-orph	187
3000	BIND-orph	182
3100	BIND-orph	159
3200	BIND-orph	148
3300	BIND-orph	134
3400	BIND-orph	102
3500	BIND-orph	89
3600	BIND-orph	88
3700	BIND-orph	83
3800	BIND-orph	78
3900	BIND-orph	51
4000	BIND-orph	46
4100	BIND-orph	48
4200	BIND-orph	45
4300	BIND-orph	38
4400	BIND-orph	25
4500	BIND-orph	32
4600	BIND-orph	37
4700	BIND-orph	16
>4500	BIND-orph	300
100	Brake-small	0
200	Brake-small	0
300	Brake-small	2349
400	Brake-small	2984
500	Brake-small	2654
600	Brake-small	2267
700	Brake-small	2255
800	Brake-small	1968
900	Brake-small	1874
1000	Brake-small	1887
1100	Brake-small	1891
1200	Brake-small	1698
1300	Brake-small	1415
1400	Brake-small	1364
1500	Brake-small	1298
1600	Brake-small	1212
1700	Brake-small	847
1800	Brake-small	797
1900	Brake-small	698
2000	Brake-small	582
2100	Brake-small	515
2200	Brake-small	465
2300	Brake-small	399
2400	Brake-small	328
2500	Brake-small	347
2600	Brake-small	255
2700	Brake-small	261
2800	Brake-small	204
2900	Brake-small	189
3000	Brake-small	185
3100	Brake-small	167
3200	Brake-small	136
3300	Brake-small	121
3400	Brake-small	111
3500	Brake-small	104
3600	Brake-small	86
3700	Brake-small	81
3800	Brake-small	56
3900	Brake-small	56
4000	Brake-small	57
4100	Brake-small	51
4200	Brake-small	43
4300	Brake-small	40
4400	Brake-small	36
4500	Brake-small	36
4600	Brake-small	34
4700	Brake-small	13
>4500	Brake-small	286
100	Brake-pool	0
200	Brake-pool	0
300	Brake-pool	1926
400	Brake-pool	3044
500	Brake-pool	2645
