Score	Method	Counts
0	makerC1	7604
1	makerC1	25
2	makerC1	25
3	makerC1	23
4	makerC1	20
5	makerC1	17
6	makerC1	17
7	makerC1	7
8	makerC1	10
9	makerC1	15
10	makerC1	24
11	makerC1	11
12	makerC1	16
13	makerC1	24
14	makerC1	26
15	makerC1	21
16	makerC1	21
17	makerC1	22
18	makerC1	25
19	makerC1	30
20	makerC1	33
21	makerC1	27
22	makerC1	21
23	makerC1	32
24	makerC1	23
25	makerC1	33
26	makerC1	24
27	makerC1	46
28	makerC1	40
29	makerC1	40
30	makerC1	48
31	makerC1	50
32	makerC1	43
33	makerC1	48
34	makerC1	51
35	makerC1	47
36	makerC1	69
37	makerC1	58
38	makerC1	64
39	makerC1	68
40	makerC1	68
41	makerC1	77
42	makerC1	66
43	makerC1	91
44	makerC1	98
45	makerC1	76
46	makerC1	73
47	makerC1	98
48	makerC1	107
49	makerC1	87
50	makerC1	99
51	makerC1	125
52	makerC1	104
53	makerC1	129
54	makerC1	123
55	makerC1	143
56	makerC1	134
57	makerC1	151
58	makerC1	149
59	makerC1	168
60	makerC1	167
61	makerC1	177
62	makerC1	157
63	makerC1	178
64	makerC1	186
65	makerC1	162
66	makerC1	172
67	makerC1	179
68	makerC1	167
69	makerC1	156
70	makerC1	194
71	makerC1	200
72	makerC1	209
73	makerC1	194
74	makerC1	224
75	makerC1	201
76	makerC1	220
77	makerC1	233
78	makerC1	222
79	makerC1	290
80	makerC1	245
81	makerC1	321
82	makerC1	292
83	makerC1	310
84	makerC1	341
85	makerC1	362
86	makerC1	373
87	makerC1	419
88	makerC1	496
89	makerC1	506
90	makerC1	531
91	makerC1	618
92	makerC1	697
93	makerC1	762
94	makerC1	888
95	makerC1	909
96	makerC1	1076
97	makerC1	1162
98	makerC1	1242
99	makerC1	871
100	makerC1	84
