Time	Pipeline_Scenario	Step
39	DI_Small	Hisat2(Alignment)
68	DI_Small	Class(Assembly)
34	DI_Small	Cufflinks(Assembly)
8	DI_Small	Stringtie(Assembly)
54	DI_Small	Portcullis
8	DI_Small	Mikado
35	DI_Small	Transdecoder
1218	DI_Pool	Hisat2(Alignment)
696	DI_Pool	Class(Assembly)
4584	DI_Pool	Cufflinks(Assembly)
192	DI_Pool	Stringtie(Assembly)
696	DI_Pool	Portcullis
48	DI_Pool	Mikado
128	DI_Pool	Transdecoder
622	Braker_Small	Hisat2+Braker
2789	Braker_Pool	Hisat2+Braker
456	Maker_Small	Maker_phase1
564	Maker_Small	Maker_phase2
35	Maker_Small	Transdecoder
240	Maker_Small	Trinity
136	Maker_Pool	Maker_phase1
1096	Maker_Pool	Maker_phase2
128	Maker_Pool	Transdecoder
4440	Maker_Pool	Trinity
