qseqid	mrca_name
mikado.2G9316.3_1	cellular_organisms
mikado.1G9994.1_1	cellular_organisms
mikado.1G1427.1_1	cellular_organisms
mikado.4G6469.1_1	cellular_organisms
mikado.1G442.1_1	cellular_organisms
mikado.3G7974.1_1	cellular_organisms
mikado.2G3982.1_1	cellular_organisms
mikado.chloroplastG55.1_1	cellular_organisms
mikado.1G11339.1_1	cellular_organisms
mikado.5G109.1_1	cellular_organisms
mikado.3G435.1_1	cellular_organisms
mikado.1G2062.1_1	cellular_organisms
mikado.5G11795.1_1	cellular_organisms
mikado.1G12065.2_1	cellular_organisms
mikado.3G7648.1_1	cellular_organisms
mikado.3G10076.1_1	cellular_organisms
mikado.4G5262.1_1	cellular_organisms
mikado.5G11464.1_1	cellular_organisms
mikado.5G2560.1_1	cellular_organisms
mikado.3G1049.1_1	cellular_organisms
mikado.4G7243.1_1	cellular_organisms
mikado.1G3404.1_1	cellular_organisms
mikado.1G8546.1_1	cellular_organisms
mikado.1G1404.1_1	cellular_organisms
mikado.3G4150.1_1	cellular_organisms
mikado.5G9364.1_1	cellular_organisms
mikado.2G6674.1_1	cellular_organisms
mikado.3G10714.1_1	cellular_organisms
mikado.3G1686.1_1	cellular_organisms
mikado.4G621.1_1	cellular_organisms
mikado.3G2146.1_1	cellular_organisms
mikado.1G1275.2_1	cellular_organisms
mikado.5G1791.1_1	cellular_organisms
mikado.5G10661.1_1	cellular_organisms
mikado.3G3092.1_1	cellular_organisms
mikado.2G7835.4_1	cellular_organisms
mikado.1G3180.1_1	cellular_organisms
mikado.4G4040.1_1	cellular_organisms
mikado.5G1524.1_1	cellular_organisms
mikado.3G1833.1_1	cellular_organisms
mikado.1G529.1_1	cellular_organisms
mikado.3G1851.2_1	cellular_organisms
mikado.1G11855.1_1	cellular_organisms
mikado.1G803.1_1	cellular_organisms
mikado.2G1026.1_1	cellular_organisms
mikado.2G8187.1_1	cellular_organisms
mikado.1G8623.1_1	cellular_organisms
mikado.5G2388.1_1	cellular_organisms
mikado.1G11416.1_1	cellular_organisms
mikado.1G1529.1_1	cellular_organisms
mikado.1G8851.1_1	cellular_organisms
mikado.3G8625.1_1	cellular_organisms
