ID	len	gc	PS	Presence
g1	1290	0.441085	Embryophyta	match
g10	1287	0.486402	cellular_organisms	match
g100	1230	0.434959	Eukaryota	match
g1000	1818	0.435094	cellular_organisms	match
g10000	360	0.455556	Mesangiospermae	no-match
g10001	396	0.512626	Arabidopsis_thaliana	no-match
g10002	2601	0.547097	cellular_organisms	no-match
g10003	465	0.522581	Arabidopsis_thaliana	no-match
g10004	927	0.518878	Arabidopsis	no-match
g10005	237	0.535865	Arabidopsis_thaliana	no-match
g10006	798	0.399749	Magnoliophyta	no-match
g10007	2247	0.426346	Magnoliophyta	no-match
g10008	1626	0.439729	Viridiplantae	match
g10009	351	0.444444	Arabidopsis_thaliana	match
g1001	1590	0.449057	cellular_organisms	match
g10010	327	0.446483	Arabidopsis_thaliana	no-match
g10011	1029	0.398445	Pentapetalae	no-match
g10012	1389	0.37869	Magnoliophyta	no-match
g10013	609	0.458128	Arabidopsis	no-match
g10014	213	0.483568	Arabidopsis_thaliana	no-match
g10015	606	0.359736	Streptophytina	no-match
g10016	402	0.460199	Brassicaceae	no-match
g10017	282	0.393617	Arabidopsis_thaliana	no-match
g10018	948	0.402954	Mesangiospermae	no-match
g10019	354	0.50565	Arabidopsis_thaliana	no-match
g1002	537	0.47486	Magnoliophyta	match
g10020	222	0.563063	Arabidopsis_thaliana	no-match
g10021	546	0.489011	Magnoliophyta	no-match
g10022	336	0.443452	Eukaryota	no-match
g10023	306	0.496732	Arabidopsis_thaliana	no-match
g10024	387	0.4677	Arabidopsis_thaliana	no-match
g10025	1731	0.527441	Brassicaceae	match
g10026	750	0.461333	Tracheophyta	match
g10027	252	0.365079	Brassicaceae	match
g10028	345	0.515942	Arabidopsis_thaliana	no-match
g10029	387	0.426357	Brassicaceae	no-match
g1003	501	0.48503	Embryophyta	match
g10030	2445	0.384867	Eukaryota	no-match
g10031	1230	0.391057	cellular_organisms	match
g10032	1335	0.460674	cellular_organisms	match
g10033	4215	0.427046	Eukaryota	no-match
g10034	351	0.498575	Arabidopsis_thaliana	no-match
g10035	465	0.509677	Brassicaceae	no-match
g10036	681	0.446402	Magnoliophyta	no-match
g10037	558	0.433692	Brassicaceae	no-match
g10038	1122	0.40107	Magnoliophyta	no-match
g10039	906	0.456954	Pentapetalae	no-match
g1004	273	0.388278	Viridiplantae	no-match
g10040	729	0.481481	Arabidopsis_thaliana	no-match
g10041	483	0.482402	Arabidopsis_thaliana	no-match
g10042	228	0.482456	Arabidopsis_thaliana	no-match
g10043	753	0.531208	Arabidopsis	no-match
g10044	330	0.554545	Arabidopsis_thaliana	no-match
g10045	861	0.472706	Eukaryota	no-match
g10046	1494	0.496653	Eukaryota	no-match
g10047	1239	0.546408	Brassicaceae	no-match
g10048	288	0.53125	Arabidopsis_thaliana	no-match
g10049	408	0.507353	Arabidopsis	no-match
g1005	1620	0.431481	cellular_organisms	match
g10050	405	0.459259	Arabidopsis_thaliana	no-match
g10051	801	0.548065	Arabidopsis_thaliana	no-match
g10052	1689	0.446418	Eukaryota	match
g10053	225	0.502222	Arabidopsis_thaliana	no-match
g10054	450	0.482222	Pentapetalae	no-match
g10055	639	0.422535	Magnoliophyta	no-match
g10056	1119	0.458445	Arabidopsis_thaliana	no-match
g10057	516	0.408915	Magnoliophyta	no-match
g10058	1218	0.433498	Magnoliophyta	no-match
g10059	2439	0.445674	Eukaryota	no-match
g1006	924	0.474026	cellular_organisms	match
g10060	279	0.430108	Arabidopsis_thaliana	no-match
g10061	951	0.391167	Magnoliophyta	no-match
g10062	477	0.402516	Eukaryota	no-match
g10063	1017	0.457227	Arabidopsis_thaliana	no-match
g10064	324	0.444444	Magnoliophyta	no-match
g10065	510	0.415686	Magnoliophyta	no-match
g10066	291	0.487973	Arabidopsis_thaliana	no-match
g10067	411	0.457421	Arabidopsis_thaliana	no-match
g10068	2211	0.398462	Eukaryota	no-match
g10069	771	0.470817	Viridiplantae	match
g1007	2094	0.470869	Eukaryota	match
g10070	249	0.485944	Arabidopsis_thaliana	no-match
g10071	3102	0.432624	Eukaryota	no-match
g10072	1392	0.424569	Magnoliophyta	no-match
g10073	231	0.441558	Streptophyta	no-match
g10074	1800	0.421667	Eukaryota	no-match
g10075	1884	0.437898	Pentapetalae	no-match
g10076	930	0.468817	rosids	no-match
g10077	297	0.52862	Arabidopsis_thaliana	no-match
g10078	372	0.448925	Arabidopsis_thaliana	no-match
g10079	471	0.441614	Pentapetalae	no-match
g1008	1713	0.42265	Eukaryota	match
g10080	456	0.495614	Brassicaceae	no-match
g10081	408	0.411765	Pentapetalae	no-match
g10082	2460	0.438618	Eukaryota	no-match
g10083	480	0.4375	Magnoliophyta	no-match
g10084	855	0.382456	Streptophytina	no-match
g10085	684	0.479532	Eukaryota	no-match
g10086	876	0.520548	Eukaryota	no-match
g10087	840	0.585714	Streptophyta	no-match
g10088	684	0.479532	Eukaryota	no-match
g10089	876	0.520548	Eukaryota	no-match
g1009	1722	0.469803	cellular_organisms	match
g10090	828	0.583333	Streptophyta	no-match
g10091	1560	0.494231	Eukaryota	no-match
g10092	798	0.463659	Eukaryota	no-match
g10093	1293	0.527456	Eukaryota	no-match
g10094	579	0.525043	Brassicaceae	no-match
g10095	930	0.416129	Eukaryota	no-match
g10096	873	0.395189	Eukaryota	no-match
g10097	660	0.433333	Mesangiospermae	no-match
g10098	768	0.417969	Brassicaceae	no-match
g10099	522	0.450192	Arabidopsis_thaliana	no-match
g101	1626	0.509225	cellular_organisms	match
g1010	546	0.397436	Magnoliophyta	match
g10100	504	0.448413	Arabidopsis_thaliana	no-match
g10101	1008	0.453373	Embryophyta	no-match
g10102	540	0.455556	Arabidopsis_thaliana	no-match
g10103	2091	0.404113	Eukaryota	no-match
g10104	1008	0.423611	cellular_organisms	no-match
g10105	693	0.47619	Arabidopsis_thaliana	no-match
g10106	381	0.446194	rosids	no-match
g10107	363	0.548209	Arabidopsis_thaliana	no-match
g10108	1497	0.453574	Eukaryota	no-match
g10109	693	0.474747	Arabidopsis_thaliana	no-match
g1011	297	0.390572	Magnoliophyta	match
g10110	381	0.448819	rosids	no-match
g10111	363	0.550964	Arabidopsis_thaliana	no-match
g10112	813	0.460025	Eukaryota	no-match
g10113	555	0.448649	Mesangiospermae	no-match
g10114	693	0.47619	Arabidopsis_thaliana	no-match
g10115	381	0.446194	rosids	no-match
g10116	363	0.550964	Arabidopsis_thaliana	no-match
g10117	888	0.458333	Eukaryota	no-match
g10118	744	0.475806	Arabidopsis_thaliana	no-match
g10119	399	0.481203	Brassicaceae	no-match
g1012	270	0.437037	Tracheophyta	match
g10120	264	0.473485	Arabidopsis_thaliana	no-match
g10121	357	0.504202	Mesangiospermae	no-match
g10122	330	0.439394	Eukaryota	no-match
g10123	321	0.464174	Arabidopsis_thaliana	no-match
g10124	1683	0.489008	Mesangiospermae	no-match
g10125	1062	0.457627	Arabidopsis	match
g10126	279	0.419355	Arabidopsis_thaliana	no-match
g10127	381	0.425197	Eukaryota	match
g10128	606	0.39934	Eukaryota	match
g10129	585	0.526496	Arabidopsis_thaliana	no-match
g1013	489	0.456033	cellular_organisms	match
g10130	1584	0.51452	Brassicaceae	no-match
g10131	531	0.453861	Arabidopsis_thaliana	no-match
g10132	624	0.490385	cellular_organisms	no-match
