qseqid	mrca_name
g5.t1	cellular_organisms
g6.t1	cellular_organisms
g10.t1	cellular_organisms
g13.t1	cellular_organisms
g15.t1	cellular_organisms
g31.t1	cellular_organisms
g47.t1	cellular_organisms
g50.t1	cellular_organisms
g51.t1	cellular_organisms
g54.t1	cellular_organisms
g57.t1	cellular_organisms
g59.t1	cellular_organisms
g61.t1	cellular_organisms
g62.t1	cellular_organisms
g65.t1	cellular_organisms
g82.t1	cellular_organisms
g85.t1	cellular_organisms
g86.t1	cellular_organisms
g91.t1	cellular_organisms
g93.t1	cellular_organisms
g97.t1	cellular_organisms
g101.t1	cellular_organisms
g103.t1	cellular_organisms
g108.t1	cellular_organisms
g151.t1	cellular_organisms
g154.t1	cellular_organisms
g156.t1	cellular_organisms
g157.t1	cellular_organisms
g160.t1	cellular_organisms
g167.t1	cellular_organisms
g183.t1	cellular_organisms
g194.t1	cellular_organisms
g195.t1	cellular_organisms
g204.t1	cellular_organisms
g206.t1	cellular_organisms
g216.t1	cellular_organisms
g228.t1	cellular_organisms
g234.t1	cellular_organisms
g238.t1	cellular_organisms
g252.t1	cellular_organisms
g256.t1	cellular_organisms
g271.t1	cellular_organisms
g274.t1	cellular_organisms
g275.t1	cellular_organisms
g281.t1	cellular_organisms
g294.t1	cellular_organisms
g298.t1	cellular_organisms
g298.t2	cellular_organisms
g300.t1	cellular_organisms
g301.t1	cellular_organisms
g308.t1	cellular_organisms
g319.t1	cellular_organisms
g320.t1	cellular_organisms
g325.t1	cellular_organisms
g326.t1	cellular_organisms
g327.t1	cellular_organisms
g329.t1	cellular_organisms
g330.t1	cellular_organisms
g335.t1	cellular_organisms
g339.t1	cellular_organisms
g348.t1	cellular_organisms
g349.t1	cellular_organisms
g351.t1	cellular_organisms
g354.t1	cellular_organisms
g355.t1	cellular_organisms
g369.t1	cellular_organisms
g373.t1	cellular_organisms
g379.t1	cellular_organisms
g380.t1	cellular_organisms
g381.t1	cellular_organisms
g401.t1	cellular_organisms
g406.t1	cellular_organisms
g412.t1	cellular_organisms
g422.t1	cellular_organisms
g425.t1	cellular_organisms
g426.t2	cellular_organisms
g429.t1	cellular_organisms
g430.t1	cellular_organisms
g449.t1	cellular_organisms
g461.t1	cellular_organisms
g474.t1	cellular_organisms
g477.t1	cellular_organisms
g481.t1	cellular_organisms
g482.t1	cellular_organisms
g483.t1	cellular_organisms
g489.t1	cellular_organisms
g513.t1	cellular_organisms
g514.t1	cellular_organisms
g518.t1	cellular_organisms
g525.t1	cellular_organisms
g526.t1	cellular_organisms
g534.t1	cellular_organisms
g536.t1	cellular_organisms
g548.t1	cellular_organisms
g555.t1	cellular_organisms
g556.t1	cellular_organisms
g564.t1	cellular_organisms
g569.t1	cellular_organisms
g571.t1	cellular_organisms
g580.t1	cellular_organisms
g581.t1	cellular_organisms
g593.t1	cellular_organisms
g594.t1	cellular_organisms
g598.t1	cellular_organisms
g605.t1	cellular_organisms
g607.t1	cellular_organisms
g611.t1	cellular_organisms
g619.t1	cellular_organisms
g638.t1	cellular_organisms
g642.t1	cellular_organisms
g644.t1	cellular_organisms
g645.t1	cellular_organisms
g657.t1	cellular_organisms
g659.t1	cellular_organisms
g663.t1	cellular_organisms
g664.t1	cellular_organisms
g665.t1	cellular_organisms
g669.t1	cellular_organisms
g670.t1	cellular_organisms
g678.t1	cellular_organisms
g682.t1	cellular_organisms
g683.t1	cellular_organisms
g684.t1	cellular_organisms
g686.t1	cellular_organisms
g689.t1	cellular_organisms
g692.t1	cellular_organisms
g698.t1	cellular_organisms
g699.t1	cellular_organisms
g705.t1	cellular_organisms
g706.t1	cellular_organisms
g710.t1	cellular_organisms
g716.t1	cellular_organisms
g717.t1	cellular_organisms
g718.t1	cellular_organisms
g721.t1	cellular_organisms
g722.t1	cellular_organisms
g723.t1	cellular_organisms
g725.t1	cellular_organisms
g740.t1	cellular_organisms
g741.t1	cellular_organisms
g741.t2	cellular_organisms
g747.t1	cellular_organisms
g748.t1	cellular_organisms
g749.t1	cellular_organisms
g754.t1	cellular_organisms
g758.t1	cellular_organisms
g773.t1	cellular_organisms
g775.t1	cellular_organisms
g782.t1	cellular_organisms
g784.t1	cellular_organisms
g785.t1	cellular_organisms
g787.t1	cellular_organisms
g792.t1	cellular_organisms
g796.t1	cellular_organisms
g798.t1	cellular_organisms
g804.t1	cellular_organisms
g816.t1	cellular_organisms
g817.t1	cellular_organisms
g817.t2	cellular_organisms
g821.t1	cellular_organisms
g822.t1	cellular_organisms
g824.t1	cellular_organisms
g825.t1	cellular_organisms
g829.t1	cellular_organisms
g831.t1	cellular_organisms
g832.t1	cellular_organisms
g839.t1	cellular_organisms
g841.t1	cellular_organisms
g842.t1	cellular_organisms
g851.t1	cellular_organisms
g860.t1	cellular_organisms
g862.t1	cellular_organisms
g866.t1	cellular_organisms
g872.t1	cellular_organisms
g876.t1	cellular_organisms
g877.t1	cellular_organisms
g881.t1	cellular_organisms
g885.t1	cellular_organisms
g886.t1	cellular_organisms
g887.t1	cellular_organisms
g887.t2	cellular_organisms
g893.t1	cellular_organisms
g897.t1	cellular_organisms
g899.t1	cellular_organisms
g912.t1	cellular_organisms
g916.t1	cellular_organisms
g918.t1	cellular_organisms
g919.t1	cellular_organisms
g924.t1	cellular_organisms
g925.t1	cellular_organisms
g937.t1	cellular_organisms
g940.t1	cellular_organisms
g949.t1	cellular_organisms
g950.t1	cellular_organisms
g957.t1	cellular_organisms
g967.t1	cellular_organisms
g976.t3	cellular_organisms
g977.t1	cellular_organisms
g981.t1	cellular_organisms
g996.t1	cellular_organisms
g999.t1	cellular_organisms
g1001.t1	cellular_organisms
g1016.t1	cellular_organisms
g1016.t2	cellular_organisms
g1016.t3	cellular_organisms
g1018.t1	cellular_organisms
g1021.t1	cellular_organisms
g1022.t1	cellular_organisms
g1024.t1	cellular_organisms
g1031.t1	cellular_organisms
g1036.t1	cellular_organisms
g1039.t1	cellular_organisms
g1050.t1	cellular_organisms
g1051.t1	cellular_organisms
g1059.t1	cellular_organisms
g1060.t1	cellular_organisms
g1070.t1	cellular_organisms
