ID	len	gc	PS	Presence
case3_00000001	198	0.388889	Arabidopsis	no-match
case3_00000002	1688	0.410545	Embryophyta	match
case3_00000003	294	0.367347	Brassicaceae	no-match
case3_00000004	1623	0.401109	Eukaryota	match
case3_00000005	1683	0.4082	Arabidopsis_thaliana	match
case3_00000007	6251	0.430331	cellular_organisms	match
case3_00000008	976	0.408811	cellular_organisms	match
case3_00000009	2564	0.422777	Eukaryota	match
case3_00000010	1311	0.395881	Viridiplantae	match
case3_00000011	111	0.306306	Arabidopsis_thaliana	no-match
case3_00000012	1327	0.396383	cellular_organisms	match
case3_00000013	1583	0.455464	cellular_organisms	match
case3_00000014	642	0.453271	Eukaryota	match
case3_00000015	1782	0.464646	Streptophyta	match
case3_00000016	117	0.393162	Arabidopsis_thaliana	no-match
case3_00000017	1587	0.468809	cellular_organisms	match
case3_00000018	501	0.453094	Streptophyta	match
case3_00000019	1617	0.431664	cellular_organisms	match
case3_00000020	1253	0.41261	Embryophyta	match
case3_00000021	1045	0.448804	Eukaryota	match
case3_00000022	294	0.442177	Viridiplantae	match
case3_00000023	1158	0.491364	cellular_organisms	match
case3_00000024	1623	0.477511	cellular_organisms	match
case3_00000025	982	0.453157	cellular_organisms	match
case3_00000026	616	0.409091	cellular_organisms	match
case3_00000027	5085	0.435595	cellular_organisms	match
case3_00000028	996	0.432731	Embryophyta	match
case3_00000029	579	0.52677	Viridiplantae	match
case3_00000030	1773	0.44106	Streptophyta	match
case3_00000031	1602	0.461298	cellular_organisms	match
case3_00000032	1017	0.421829	cellular_organisms	match
case3_00000033	1458	0.518519	Eukaryota	match
case3_00000034	426	0.420188	Arabidopsis	match
case3_00000035	726	0.502755	cellular_organisms	match
case3_00000036	6055	0.434682	cellular_organisms	match
case3_00000037	2399	0.431847	Eukaryota	match
case3_00000038	1937	0.453795	Eukaryota	match
case3_00000039	1436	0.43663	Eukaryota	match
case3_00000040	568	0.366197	Streptophytina	match
case3_00000041	1443	0.474705	cellular_organisms	match
case3_00000042	2557	0.44779	cellular_organisms	match
case3_00000043	1086	0.417127	Eukaryota	match
case3_00000044	1642	0.442753	Streptophyta	match
case3_00000045	2221	0.445745	Streptophyta	match
case3_00000046	3075	0.45626	cellular_organisms	match
case3_00000047	1452	0.403581	Eukaryota	match
case3_00000048	727	0.419532	cellular_organisms	match
case3_00000049	216	0.453704	Arabidopsis_thaliana	no-match
case3_00000050	1920	0.423958	cellular_organisms	match
case3_00000051	986	0.393509	Tracheophyta	match
case3_00000052	3988	0.466148	cellular_organisms	match
case3_00000053	752	0.404255	Eukaryota	match
case3_00000054	1865	0.443968	cellular_organisms	match
case3_00000055	1334	0.413793	Embryophyta	match
case3_00000056	1349	0.424018	cellular_organisms	match
case3_00000057	1530	0.46732	Streptophyta	match
case3_00000058	2409	0.43213	cellular_organisms	match
case3_00000059	2115	0.437352	cellular_organisms	match
case3_00000060	2163	0.457235	cellular_organisms	match
case3_00000061	1856	0.467672	Embryophyta	match
case3_00000062	1308	0.455657	cellular_organisms	match
case3_00000063	1203	0.416459	Eukaryota	match
case3_00000064	2241	0.457831	cellular_organisms	match
case3_00000065	2997	0.445112	Eukaryota	match
case3_00000066	965	0.410363	Eukaryota	match
case3_00000067	2633	0.418534	Magnoliophyta	match
case3_00000068	1461	0.421629	Viridiplantae	match
case3_00000069	2390	0.433054	cellular_organisms	match
case3_00000070	1316	0.469605	Streptophytina	match
case3_00000071	496	0.395161	Magnoliophyta	match
case3_00000072	910	0.451648	Mesangiospermae	match
case3_00000073	1778	0.422385	cellular_organisms	match
case3_00000074	769	0.412224	Eukaryota	match
case3_00000075	1335	0.438202	Eukaryota	match
case3_00000076	2316	0.446028	cellular_organisms	match
case3_00000077	739	0.433018	Eukaryota	match
case3_00000078	3841	0.437646	cellular_organisms	match
case3_00000079	1061	0.414703	cellular_organisms	match
case3_00000080	483	0.449275	Brassicaceae	match
case3_00000081	975	0.427692	Eukaryota	match
case3_00000082	2400	0.442917	Eukaryota	match
case3_00000083	459	0.509804	Mesangiospermae	match
