ID	len	gc	PS	Presence
g7094.t1	885	0.40791	cellular_organisms	match
g26333.t1	2217	0.418584	cellular_organisms	match
g15228.t1	828	0.468599	cellular_organisms	no-match
g21045.t1	2547	0.461327	cellular_organisms	match
g21069.t1	1695	0.448378	cellular_organisms	match
g5148.t1	1311	0.453852	cellular_organisms	match
g234.t1	2115	0.437352	cellular_organisms	match
g7496.t1	1797	0.422371	cellular_organisms	match
g7241.t1	1911	0.467295	cellular_organisms	match
g23347.t1	1356	0.442478	cellular_organisms	match
g13089.t1	1824	0.449013	cellular_organisms	match
g32560.t1	750	0.429333	cellular_organisms	match
g22152.t2	960	0.469792	cellular_organisms	no-match
g25946.t1	1428	0.438375	cellular_organisms	match
g8396.t1	2151	0.474198	cellular_organisms	match
g15648.t1	1476	0.395664	cellular_organisms	match
g14229.t2	810	0.445679	cellular_organisms	no-match
g23336.t1	1428	0.411765	cellular_organisms	match
g853.t1	1437	0.455811	cellular_organisms	match
g12542.t1	531	0.423729	cellular_organisms	match
g28171.t1	1230	0.439024	cellular_organisms	match
g23514.t1	2685	0.455493	cellular_organisms	match
g16905.t1	4782	0.42409	cellular_organisms	match
g33030.t1	1881	0.423179	cellular_organisms	match
g20347.t1	1167	0.485861	cellular_organisms	match
g2208.t1	1653	0.489413	cellular_organisms	match
g19639.t1	2805	0.444563	cellular_organisms	match
g16567.t1	1146	0.430192	cellular_organisms	match
g21730.t1	2769	0.423619	cellular_organisms	match
g2382.t1	1428	0.437675	cellular_organisms	no-match
g28472.t1	2706	0.435698	cellular_organisms	match
g7097.t1	2748	0.437045	cellular_organisms	match
g7034.t1	792	0.444444	cellular_organisms	match
g19926.t1	1533	0.457926	cellular_organisms	match
g29020.t1	765	0.470588	cellular_organisms	match
g32637.t1	3216	0.456468	cellular_organisms	match
g33151.t1	1830	0.425683	cellular_organisms	match
g11395.t1	756	0.428571	cellular_organisms	match
g19952.t1	687	0.441048	cellular_organisms	match
g5882.t1	3501	0.459869	cellular_organisms	match
g6698.t1	1512	0.439815	cellular_organisms	match
g2141.t1	426	0.413146	cellular_organisms	no-match
g1847.t1	1254	0.429027	cellular_organisms	match
g22356.t1	3201	0.448922	cellular_organisms	match
g23204.t1	2136	0.429307	cellular_organisms	match
g15823.t1	345	0.475362	cellular_organisms	no-match
g32527.t1	2238	0.436997	cellular_organisms	match
g8637.t1	723	0.453665	cellular_organisms	match
g28213.t1	435	0.487356	cellular_organisms	no-match
g7202.t1	4203	0.399001	cellular_organisms	match
g8817.t1	336	0.473214	cellular_organisms	match
g1867.t1	3306	0.430127	cellular_organisms	match
g11936.t1	2643	0.406735	cellular_organisms	match
g30637.t1	2394	0.433584	cellular_organisms	match
g15679.t1	2484	0.429549	cellular_organisms	match
g23220.t1	1524	0.479659	cellular_organisms	match
g15793.t1	1065	0.505164	cellular_organisms	match
g15607.t1	978	0.505112	cellular_organisms	match
g22228.t1	753	0.406375	cellular_organisms	match
g15939.t1	957	0.501567	cellular_organisms	match
g2678.t1	1014	0.425049	cellular_organisms	match
g19097.t1	2817	0.401846	cellular_organisms	match
g18.t1	1602	0.475031	cellular_organisms	no-match
g14711.t1	990	0.49798	cellular_organisms	match
g31106.t1	753	0.532537	cellular_organisms	match
g29798.t2	651	0.453149	cellular_organisms	match
g1694.t1	1971	0.485033	cellular_organisms	match
g16523.t1	1599	0.45591	cellular_organisms	match
g15293.t1	3660	0.454918	cellular_organisms	match
g33230.t1	711	0.469761	cellular_organisms	match
g13038.t1	2874	0.42032	cellular_organisms	match
g6235.t1	1149	0.428198	cellular_organisms	match
g26418.t1	1647	0.422587	cellular_organisms	match
g1908.t1	591	0.450085	cellular_organisms	match
g500.t1	1938	0.470588	cellular_organisms	match
g31920.t1	2856	0.44958	cellular_organisms	match
g19017.t1	1830	0.468852	cellular_organisms	match
g13741.t1	1350	0.488889	cellular_organisms	match
g14898.t1	936	0.433761	cellular_organisms	match
g4987.t1	843	0.383155	cellular_organisms	match
g27556.t1	1014	0.42998	cellular_organisms	match
g23273.t1	1563	0.420345	cellular_organisms	match
g28425.t1	369	0.384824	cellular_organisms	match
g13144.t1	936	0.463675	cellular_organisms	match
g32441.t1	390	0.44359	cellular_organisms	match
g13944.t1	552	0.403986	cellular_organisms	no-match
g28904.t1	1458	0.404664	cellular_organisms	match
g5764.t1	1653	0.393224	cellular_organisms	match
g30671.t1	2130	0.424883	cellular_organisms	match
g21776.t1	1284	0.443146	cellular_organisms	match
g13482.t1	597	0.432161	cellular_organisms	match
g7529.t1	1158	0.447323	cellular_organisms	match
