ID	len	gc	PS	Presence
g5.t1	5730	0.437696	cellular_organisms	match
g6.t1	738	0.443089	cellular_organisms	match
g10.t1	1287	0.486402	cellular_organisms	match
g13.t1	1587	0.468809	cellular_organisms	match
g15.t1	1344	0.447173	cellular_organisms	match
g31.t1	813	0.426814	cellular_organisms	match
g47.t1	2037	0.444772	cellular_organisms	match
g50.t1	456	0.484649	cellular_organisms	match
g51.t1	1491	0.452716	cellular_organisms	match
g54.t1	1911	0.478807	cellular_organisms	match
g57.t1	1419	0.474278	cellular_organisms	match
g59.t1	1110	0.434234	cellular_organisms	match
g61.t1	2178	0.443067	cellular_organisms	match
g62.t1	2115	0.437352	cellular_organisms	match
g65.t1	861	0.521487	cellular_organisms	match
g82.t1	1899	0.45445	cellular_organisms	match
g85.t1	3582	0.44249	cellular_organisms	match
g86.t1	888	0.443694	cellular_organisms	match
g91.t1	1032	0.447674	cellular_organisms	match
g93.t1	2067	0.517658	cellular_organisms	match
g97.t1	483	0.463768	cellular_organisms	match
g101.t1	1626	0.509225	cellular_organisms	match
g103.t1	1305	0.532567	cellular_organisms	match
g108.t1	3333	0.465047	cellular_organisms	match
g152.t1	1476	0.46206	cellular_organisms	match
g155.t1	1182	0.500846	cellular_organisms	match
g157.t1	3918	0.448188	cellular_organisms	match
g158.t1	3822	0.448456	cellular_organisms	match
g161.t1	897	0.455964	cellular_organisms	match
g168.t1	2307	0.494582	cellular_organisms	match
g183.t1	1269	0.461781	cellular_organisms	match
g194.t1	804	0.432836	cellular_organisms	match
g195.t1	3741	0.442662	cellular_organisms	match
g204.t1	3870	0.426098	cellular_organisms	match
g206.t1	2826	0.440906	cellular_organisms	match
g217.t1	2205	0.457596	cellular_organisms	match
g229.t1	861	0.4518	cellular_organisms	match
g235.t1	2973	0.443996	cellular_organisms	match
g239.t2	2649	0.423179	cellular_organisms	match
g253.t1	1194	0.505025	cellular_organisms	match
g257.t1	1161	0.462532	cellular_organisms	match
g273.t1	1206	0.451907	cellular_organisms	match
g276.t1	1851	0.41329	cellular_organisms	match
g277.t1	540	0.481481	cellular_organisms	match
g282.t1	2223	0.430949	cellular_organisms	match
g295.t1	744	0.487903	cellular_organisms	match
g299.t1	873	0.45819	cellular_organisms	match
g299.t2	921	0.456026	cellular_organisms	match
g301.t1	1710	0.42807	cellular_organisms	match
g302.t1	1416	0.44774	cellular_organisms	match
g309.t1	2277	0.460694	cellular_organisms	match
g320.t1	2328	0.457474	cellular_organisms	match
g321.t1	4545	0.425303	cellular_organisms	match
g326.t1	1440	0.4375	cellular_organisms	match
g327.t1	1266	0.472354	cellular_organisms	match
g328.t1	987	0.43465	cellular_organisms	match
g330.t1	3339	0.42348	cellular_organisms	match
g331.t1	1587	0.455577	cellular_organisms	match
g336.t1	459	0.472767	cellular_organisms	match
g340.t1	1938	0.470588	cellular_organisms	match
g349.t1	1044	0.48659	cellular_organisms	match
g350.t1	1239	0.45117	cellular_organisms	match
g352.t1	1407	0.443497	cellular_organisms	match
g355.t1	3327	0.464382	cellular_organisms	match
g356.t1	423	0.489362	cellular_organisms	match
g370.t1	1314	0.461948	cellular_organisms	match
g374.t1	708	0.429379	cellular_organisms	match
g380.t1	987	0.467072	cellular_organisms	match
g381.t1	3129	0.417705	cellular_organisms	match
g382.t1	1332	0.478979	cellular_organisms	match
g402.t1	3189	0.462527	cellular_organisms	match
g408.t1	1332	0.43994	cellular_organisms	match
g414.t1	1575	0.447619	cellular_organisms	match
g423.t1	1020	0.510784	cellular_organisms	match
g426.t1	1326	0.42911	cellular_organisms	match
g427.t1	2427	0.442934	cellular_organisms	match
g430.t1	1623	0.428835	cellular_organisms	match
g431.t1	672	0.456845	cellular_organisms	match
g450.t1	1296	0.449846	cellular_organisms	match
g462.t1	3009	0.435693	cellular_organisms	match
g475.t1	2604	0.478111	cellular_organisms	match
g478.t1	1401	0.415418	cellular_organisms	match
g482.t1	1884	0.440552	cellular_organisms	match
g483.t1	1185	0.491139	cellular_organisms	match
g484.t1	1185	0.484388	cellular_organisms	match
g490.t1	2559	0.427511	cellular_organisms	match
g514.t1	1161	0.432386	cellular_organisms	match
g515.t1	3633	0.453895	cellular_organisms	match
g519.t1	1710	0.472515	cellular_organisms	match
g526.t1	1038	0.481696	cellular_organisms	match
g527.t1	990	0.475758	cellular_organisms	match
g535.t1	1311	0.456903	cellular_organisms	match
g537.t1	996	0.442771	cellular_organisms	match
g550.t1	3213	0.444444	cellular_organisms	match
g558.t1	2028	0.449211	cellular_organisms	match
g559.t1	2112	0.438447	cellular_organisms	match
g567.t1	1224	0.445261	cellular_organisms	match
g571.t1	2058	0.458698	cellular_organisms	match
g574.t1	858	0.454545	cellular_organisms	match
g583.t1	1164	0.437285	cellular_organisms	match
g584.t1	1800	0.453889	cellular_organisms	match
g597.t1	1128	0.471631	cellular_organisms	match
g598.t1	1086	0.447514	cellular_organisms	match
g601.t1	1467	0.460804	cellular_organisms	match
g609.t1	1788	0.434004	cellular_organisms	match
g611.t1	2862	0.431167	cellular_organisms	match
g615.t1	3348	0.424134	cellular_organisms	match
g623.t1	2490	0.485944	cellular_organisms	match
g641.t1	1458	0.481481	cellular_organisms	match
g645.t1	1533	0.467058	cellular_organisms	match
g647.t1	2940	0.463946	cellular_organisms	match
g648.t1	786	0.436387	cellular_organisms	match
g660.t1	849	0.495878	cellular_organisms	match
g662.t1	1497	0.45825	cellular_organisms	match
g666.t1	2343	0.443022	cellular_organisms	match
g667.t1	3141	0.402738	cellular_organisms	match
g668.t1	474	0.518987	cellular_organisms	match
g672.t1	801	0.458177	cellular_organisms	match
g673.t1	783	0.429119	cellular_organisms	match
g681.t1	2442	0.461507	cellular_organisms	match
g685.t1	2595	0.398844	cellular_organisms	match
g686.t1	2616	0.401376	cellular_organisms	match
g687.t1	1233	0.460665	cellular_organisms	match
g689.t1	3090	0.439806	cellular_organisms	match
g692.t1	2967	0.418942	cellular_organisms	match
g695.t1	3348	0.457885	cellular_organisms	match
g701.t1	1632	0.46201	cellular_organisms	match
g702.t1	1437	0.455811	cellular_organisms	match
g708.t1	393	0.450382	cellular_organisms	match
g709.t1	765	0.447059	cellular_organisms	match
g713.t1	3186	0.464532	cellular_organisms	match
g719.t1	1272	0.435535	cellular_organisms	match
g720.t1	1092	0.411172	cellular_organisms	match
g721.t1	936	0.480769	cellular_organisms	match
g724.t1	1350	0.502222	cellular_organisms	match
g725.t1	1350	0.499259	cellular_organisms	match
g726.t1	1350	0.498519	cellular_organisms	match
g728.t1	441	0.408163	cellular_organisms	match
g744.t1	1593	0.517891	cellular_organisms	match
g745.t1	1569	0.508604	cellular_organisms	match
g745.t2	1158	0.503454	cellular_organisms	no-match
g750.t1	2232	0.428315	cellular_organisms	match
g751.t1	2391	0.425763	cellular_organisms	match
g753.t1	2448	0.455474	cellular_organisms	match
g758.t1	1170	0.455556	cellular_organisms	match
g762.t1	1242	0.517713	cellular_organisms	match
g777.t1	1770	0.450847	cellular_organisms	match
g779.t1	1482	0.414305	cellular_organisms	match
g786.t1	1392	0.453305	cellular_organisms	match
g788.t1	1239	0.459241	cellular_organisms	match
g789.t1	2283	0.459921	cellular_organisms	match
g791.t1	1719	0.450844	cellular_organisms	match
g796.t1	3090	0.444013	cellular_organisms	match
g801.t1	1077	0.476323	cellular_organisms	match
g803.t1	855	0.505263	cellular_organisms	match
g809.t1	2802	0.453605	cellular_organisms	match
g822.t1	459	0.511983	cellular_organisms	match
g823.t1	3987	0.427138	cellular_organisms	match
g823.t2	3996	0.427427	cellular_organisms	match
g827.t1	1395	0.41362	cellular_organisms	match
g828.t1	1389	0.412527	cellular_organisms	match
g830.t1	1413	0.42109	cellular_organisms	match
g831.t1	1473	0.437203	cellular_organisms	match
g835.t1	1278	0.475743	cellular_organisms	match
g837.t1	2001	0.442779	cellular_organisms	match
g838.t1	2835	0.439859	cellular_organisms	match
g845.t1	1968	0.440549	cellular_organisms	match
g847.t1	1272	0.445755	cellular_organisms	match
g848.t1	993	0.467271	cellular_organisms	match
g857.t1	1638	0.420635	cellular_organisms	match
g866.t1	1746	0.453036	cellular_organisms	match
g868.t1	1482	0.438596	cellular_organisms	match
g872.t1	1137	0.459103	cellular_organisms	match
g878.t1	942	0.467091	cellular_organisms	match
g882.t1	1275	0.44	cellular_organisms	match
g883.t1	1401	0.428979	cellular_organisms	match
g887.t1	969	0.44066	cellular_organisms	match
g891.t1	969	0.435501	cellular_organisms	match
g892.t1	978	0.440695	cellular_organisms	match
g893.t1	969	0.447884	cellular_organisms	match
g899.t1	3369	0.457999	cellular_organisms	match
g903.t1	2145	0.441492	cellular_organisms	match
g905.t1	3675	0.440816	cellular_organisms	match
g918.t1	516	0.494186	cellular_organisms	match
g922.t1	1674	0.456392	cellular_organisms	match
g924.t1	1242	0.454106	cellular_organisms	match
g925.t1	1119	0.47185	cellular_organisms	match
g930.t1	1599	0.467792	cellular_organisms	match
g931.t1	1266	0.438389	cellular_organisms	match
g943.t1	1593	0.456999	cellular_organisms	match
g946.t1	2931	0.456499	cellular_organisms	match
g955.t1	1155	0.464069	cellular_organisms	match
g956.t1	1167	0.443873	cellular_organisms	match
g963.t1	2997	0.436103	cellular_organisms	match
g973.t1	1113	0.439353	cellular_organisms	match
g983.t1	729	0.485597	cellular_organisms	match
g987.t1	1050	0.478095	cellular_organisms	match
g1002.t1	780	0.465385	cellular_organisms	match
g1005.t1	543	0.447514	cellular_organisms	match
g1007.t1	1590	0.449057	cellular_organisms	match
g1022.t1	2079	0.473785	cellular_organisms	match
g1024.t1	1560	0.454487	cellular_organisms	match
g1027.t1	2256	0.43883	cellular_organisms	match
g1028.t1	3684	0.465798	cellular_organisms	match
g1030.t1	1236	0.458738	cellular_organisms	match
g1037.t1	4200	0.439286	cellular_organisms	match
g1042.t1	1035	0.463768	cellular_organisms	match
g1046.t1	1992	0.481426	cellular_organisms	match
g1056.t1	3549	0.426317	cellular_organisms	match
g1057.t1	1092	0.452381	cellular_organisms	match
g1065.t1	1317	0.465452	cellular_organisms	match
g1066.t1	1878	0.444089	cellular_organisms	match
g1076.t1	2307	0.445167	cellular_organisms	match
g1083.t1	918	0.423747	cellular_organisms	match
g1090.t1	1569	0.511791	cellular_organisms	match
g1091.t1	4059	0.39862	cellular_organisms	no-match
g1091.t3	2769	0.396894	cellular_organisms	no-match
g1093.t1	2493	0.421982	cellular_organisms	match
g1095.t1	2418	0.431762	cellular_organisms	match
g1095.t2	2463	0.430775	cellular_organisms	match
g1096.t1	2463	0.429963	cellular_organisms	match
g1099.t1	2532	0.415877	cellular_organisms	no-match
g1099.t2	2529	0.415579	cellular_organisms	match
g1100.t1	2436	0.445402	cellular_organisms	match
g1101.t1	2493	0.45006	cellular_organisms	match
g1107.t1	1875	0.4336	cellular_organisms	match
g1109.t1	2538	0.427896	cellular_organisms	match
g1125.t1	357	0.411765	cellular_organisms	match
g1143.t1	2292	0.431065	cellular_organisms	match
g1144.t1	1512	0.466931	cellular_organisms	match
g1149.t1	3285	0.422527	cellular_organisms	match
g1152.t1	816	0.45098	cellular_organisms	match
g1156.t1	1611	0.468032	cellular_organisms	match
g1158.t1	1116	0.434588	cellular_organisms	match
g1162.t1	891	0.446689	cellular_organisms	match
g1164.t1	1347	0.470676	cellular_organisms	match
g1165.t1	1542	0.457847	cellular_organisms	match
g1165.t2	1545	0.457605	cellular_organisms	match
g1174.t1	768	0.472656	cellular_organisms	match
g1181.t1	1701	0.462081	cellular_organisms	match
