ID	len	gc	PS	Presence
g1	1290	0.441085	Embryophyta	match
g10	339	0.530973	Eukaryota	match
g100	738	0.5	Mesangiospermae	match
g1000	1818	0.435094	cellular_organisms	match
g10000	402	0.405473	Magnoliophyta	no-match
g10001	2433	0.425401	cellular_organisms	no-match
g10002	663	0.499246	Brassicaceae	no-match
g10003	330	0.451515	Arabidopsis_thaliana	no-match
g10004	822	0.448905	Brassicaceae	no-match
g10005	465	0.417204	Arabidopsis	no-match
g10006	759	0.405797	Eukaryota	no-match
g10007	315	0.438095	Brassicaceae	no-match
g10008	537	0.404097	Brassicaceae	no-match
g10009	468	0.461538	Magnoliophyta	no-match
g1001	1590	0.449057	cellular_organisms	match
g10010	1407	0.500355	Mesangiospermae	no-match
g10011	1398	0.433476	cellular_organisms	match
g10012	1590	0.418868	Eukaryota	no-match
g10013	321	0.454829	Arabidopsis_thaliana	match
g10014	510	0.403922	Arabidopsis_thaliana	no-match
g10015	594	0.390572	Magnoliophyta	no-match
g10016	1140	0.433333	Pentapetalae	no-match
g10017	246	0.48374	Arabidopsis_thaliana	no-match
g10018	234	0.478632	Arabidopsis_thaliana	no-match
g10019	390	0.446154	Brassicaceae	no-match
g1002	540	0.457407	Magnoliophyta	match
g10020	288	0.503472	Arabidopsis_thaliana	no-match
g10021	477	0.48847	Arabidopsis_thaliana	match
g10022	381	0.417323	Streptophyta	no-match
g10023	426	0.373239	Magnoliophyta	no-match
g10024	549	0.373406	Arabidopsis_thaliana	no-match
g10025	873	0.372279	Arabidopsis_thaliana	no-match
g10026	633	0.459716	Viridiplantae	match
g10027	225	0.471111	Arabidopsis_thaliana	no-match
g10028	567	0.467372	Streptophytina	match
g10029	711	0.448664	Mesangiospermae	no-match
g1003	501	0.48503	Embryophyta	match
g10030	606	0.534653	Arabidopsis_thaliana	no-match
g10031	657	0.508371	Arabidopsis_thaliana	no-match
g10032	573	0.472949	Eukaryota	no-match
g10033	693	0.466089	Streptophytina	no-match
g10034	1122	0.45098	Eukaryota	no-match
g10035	453	0.487859	Magnoliophyta	no-match
g10036	777	0.498069	Pentapetalae	no-match
g10037	288	0.427083	Mesangiospermae	no-match
g10038	975	0.393846	Eukaryota	no-match
g10039	669	0.402093	Eukaryota	no-match
g1004	273	0.388278	Viridiplantae	no-match
g10040	414	0.396135	Eukaryota	no-match
g10041	570	0.359649	Viridiplantae	no-match
g10042	354	0.420904	Eukaryota	no-match
g10043	375	0.384	Brassicaceae	no-match
g10044	390	0.438462	Tracheophyta	no-match
g10045	606	0.440594	Embryophyta	no-match
g10046	645	0.452713	Arabidopsis_thaliana	no-match
g10047	1302	0.420123	Eukaryota	no-match
g10048	1296	0.400463	Eukaryota	no-match
g10049	783	0.416347	cellular_organisms	no-match
g1005	1614	0.431227	cellular_organisms	match
g10050	468	0.538462	Arabidopsis_thaliana	no-match
g10051	1095	0.458447	Magnoliophyta	no-match
g10052	357	0.501401	Arabidopsis_thaliana	no-match
g10053	381	0.435696	Magnoliophyta	no-match
g10054	570	0.424561	cellular_organisms	no-match
g10055	1095	0.479452	Brassicaceae	no-match
g10056	663	0.444947	Brassicaceae	no-match
g10057	297	0.410774	Arabidopsis_thaliana	no-match
g10058	888	0.415541	cellular_organisms	no-match
g10059	714	0.413165	Streptophytina	no-match
g1006	924	0.474026	cellular_organisms	match
g10060	3594	0.449917	cellular_organisms	no-match
g10061	696	0.468391	Brassicaceae	no-match
g10062	696	0.45977	Brassicaceae	no-match
g10063	630	0.501587	Camelineae	no-match
g10064	3537	0.434266	Eukaryota	no-match
g10065	1539	0.478882	cellular_organisms	match
g10066	2562	0.432084	cellular_organisms	no-match
g10067	612	0.44281	Magnoliophyta	no-match
g10068	300	0.536667	Arabidopsis_thaliana	no-match
g10069	3363	0.400535	Viridiplantae	no-match
g1007	2094	0.470869	Eukaryota	match
g10070	2238	0.433423	Magnoliophyta	no-match
g10071	711	0.504923	Mesangiospermae	no-match
g10072	570	0.547368	Brassicaceae	no-match
g10073	3003	0.394272	Viridiplantae	no-match
g10074	1026	0.437622	Magnoliophyta	no-match
g10075	300	0.523333	Arabidopsis_thaliana	no-match
