Gene_ID,PS_name,braker_S-nF1,braker_M-nF1,braker_L-nF1,braker_X-nF1,braker_38-nF1,braker_actual-nF1,maker_C1-nF1,maker_C2-nF1,maker_C3-nF1,maker_C4-nF1,maker_C5-nF1,maker_C6-nF1,maker_38-nF1,trans_mikado-38-nF1,trans_po-nF1,braker-mikado_both38-nF1,maker-mikado_both38-nF1,brakerX-mikado38.refmap-nF1
AT1G01010,Embryophyta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01020,Eukaryota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01030,Viridiplantae,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01040,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01050,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01060,Eukaryota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01070,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01080,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01090,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01100,Eukaryota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01110,Streptophyta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01120,cellular_organisms,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
AT1G01130,Streptophyta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01140,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01150,Eukaryota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01160,Eukaryota,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
AT1G01170,Streptophyta,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
AT1G01180,Eukaryota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01190,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01200,cellular_organisms,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
AT1G01210,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01220,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01225,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01230,Eukaryota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01240,Embryophyta,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
AT1G01250,Eukaryota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01260,Eukaryota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01280,cellular_organisms,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
AT1G01290,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01300,Eukaryota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01305,Arabidopsis,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
AT1G01310,cellular_organisms,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
AT1G01320,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01335,Arabidopsis_thaliana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01340,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01350,Eukaryota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01355,Embryophyta,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
AT1G01360,Embryophyta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01370,Eukaryota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01380,Eukaryota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01390,cellular_organisms,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
AT1G01400,Arabidopsis,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1
AT1G01410,Eukaryota,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
AT1G01420,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01430,Streptophyta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01440,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01450,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01453,Embryophyta,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
AT1G01460,Eukaryota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01470,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01480,cellular_organisms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT1G01490,Embryophyta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
