qseqid	mrca_name
mikado.4G7784.1_1	cellular_organisms
mikado.5G2894.1_1	cellular_organisms
mikado.1G162.1_1	cellular_organisms
mikado.3G3330.1_1	cellular_organisms
mikado.1G5950.2_1	cellular_organisms
mikado.1G1274.1_1	cellular_organisms
mikado.2G3845.1_1	cellular_organisms
mikado.1G12193.1_1	cellular_organisms
mikado.3G6064.1_1	cellular_organisms
mikado.3G3004.2_1	cellular_organisms
mikado.5G6438.1_1	cellular_organisms
mikado.5G12390.2_1	cellular_organisms
mikado.1G10608.1_1	cellular_organisms
mikado.3G8514.1_1	cellular_organisms
mikado.1G1509.2_1	cellular_organisms
mikado.2G3272.1_1	cellular_organisms
mikado.5G3241.1_1	cellular_organisms
mikado.5G9139.2_1	cellular_organisms
mikado.4G18.1_1	cellular_organisms
mikado.1G1124.2_1	cellular_organisms
mikado.4G5784.1_1	cellular_organisms
mikado.5G7618.1_1	cellular_organisms
mikado.1G29.1_1	cellular_organisms
mikado.1G262.1_1	cellular_organisms
mikado.1G10721.1_1	cellular_organisms
mikado.5G9790.1_1	cellular_organisms
mikado.2G6539.1_1	cellular_organisms
mikado.5G7194.1_1	cellular_organisms
mikado.4G8194.1_1	cellular_organisms
mikado.2G8610.1_1	cellular_organisms
mikado.1G13184.2_1	cellular_organisms
mikado.3G419.1_1	cellular_organisms
mikado.1G2692.1_1	cellular_organisms
mikado.1G10882.1_1	cellular_organisms
mikado.2G4450.2_1	cellular_organisms
mikado.4G4463.1_1	cellular_organisms
mikado.1G12810.1_1	cellular_organisms
mikado.4G3802.1_1	cellular_organisms
mikado.1G13432.1_1	cellular_organisms
mikado.3G8474.1_1	cellular_organisms
mikado.1G13197.1_1	cellular_organisms
mikado.4G1126.1_1	cellular_organisms
mikado.2G4951.1_1	cellular_organisms
mikado.3G9852.1_1	cellular_organisms
mikado.5G508.1_1	cellular_organisms
mikado.3G2735.1_1	cellular_organisms
mikado.5G7901.1_1	cellular_organisms
mikado.5G11171.1_1	cellular_organisms
mikado.1G8623.1_1	cellular_organisms
mikado.1G1008.1_1	cellular_organisms
mikado.5G5022.1_1	cellular_organisms
mikado.4G5434.1_1	cellular_organisms
mikado.3G3816.4_1	cellular_organisms
mikado.2G5361.1_1	cellular_organisms
mikado.4G8775.1_1	cellular_organisms
mikado.1G13860.1_1	cellular_organisms
mikado.2G8579.1_1	cellular_organisms
mikado.4G3482.1_1	cellular_organisms
mikado.3G8776.2_1	cellular_organisms
mikado.2G7545.1_1	cellular_organisms
mikado.3G2.1_1	cellular_organisms
mikado.4G535.1_1	cellular_organisms
mikado.3G890.1_1	cellular_organisms
mikado.1G11265.1_1	cellular_organisms
mikado.4G287.1_1	cellular_organisms
mikado.5G3210.1_1	cellular_organisms
mikado.2G3724.1_1	cellular_organisms
mikado.1G13117.1_1	cellular_organisms
mikado.3G9686.2_1	cellular_organisms
mikado.1G5750.3_1	cellular_organisms
mikado.4G5554.1_1	cellular_organisms
mikado.4G400.1_1	cellular_organisms
mikado.5G6451.1_1	cellular_organisms
mikado.3G693.1_1	cellular_organisms
mikado.3G10507.1_1	cellular_organisms
