ID	len	gc	PS	Presence
mikado.3G6448.1	3723	0.427612	cellular_organisms	match
mikado.5G2894.1	1482	0.417004	cellular_organisms	match
mikado.1G12053.1	3102	0.442295	cellular_organisms	match
mikado.1G9973.1	1455	0.481787	cellular_organisms	match
mikado.1G6490.1	1743	0.432587	cellular_organisms	match
mikado.2G773.1	1431	0.454927	cellular_organisms	match
mikado.1G15735.2	1743	0.462995	cellular_organisms	match
mikado.2G3982.1	837	0.491039	cellular_organisms	match
mikado.3G1302.1	2475	0.45697	cellular_organisms	match
mikado.4G10809.1	951	0.442692	cellular_organisms	match
mikado.2G6669.1	2412	0.424544	cellular_organisms	match
mikado.3G1584.1	1683	0.467617	cellular_organisms	match
mikado.5G15396.1	1080	0.45	cellular_organisms	no-match
mikado.2G4507.3	3519	0.438193	cellular_organisms	match
mikado.4G2930.1	1827	0.458675	cellular_organisms	match
mikado.3G5677.2	693	0.402597	cellular_organisms	no-match
mikado.1G17146.1	1380	0.456522	cellular_organisms	match
mikado.2G8368.1	492	0.461382	cellular_organisms	match
mikado.5G617.1	2466	0.465937	cellular_organisms	match
mikado.5G9750.1	1173	0.459506	cellular_organisms	match
mikado.2G3314.1	390	0.4	cellular_organisms	match
mikado.1G10920.1	1101	0.464124	cellular_organisms	no-match
mikado.5G9259.2	1524	0.419291	cellular_organisms	no-match
mikado.1G3404.1	825	0.432727	cellular_organisms	no-match
mikado.2G10814.1	2172	0.438306	cellular_organisms	match
mikado.3G5593.1	1908	0.407233	cellular_organisms	match
mikado.3G3336.1	1962	0.433231	cellular_organisms	match
mikado.3G4493.1	1236	0.435275	cellular_organisms	match
mikado.3G11356.1	1305	0.463602	cellular_organisms	match
mikado.3G5534.1	1266	0.42654	cellular_organisms	match
mikado.4G10177.1	2307	0.457304	cellular_organisms	match
mikado.5G9790.1	3798	0.443655	cellular_organisms	match
mikado.1G124.1	1962	0.478084	cellular_organisms	match
mikado.4G3476.1	588	0.437075	cellular_organisms	match
mikado.1G2968.1	396	0.421717	cellular_organisms	match
mikado.4G8186.1	1248	0.435897	cellular_organisms	match
mikado.2G4371.1	1902	0.471083	cellular_organisms	match
mikado.1G13809.3	2154	0.410864	cellular_organisms	no-match
mikado.2G4774.1	2235	0.467562	cellular_organisms	match
mikado.5G15713.1	1035	0.466667	cellular_organisms	match
mikado.1G3860.1	4122	0.441776	cellular_organisms	no-match
mikado.5G14832.1	2040	0.44951	cellular_organisms	match
mikado.3G12771.1	1539	0.437297	cellular_organisms	match
mikado.1G10882.1	2064	0.440407	cellular_organisms	match
mikado.2G5649.1	939	0.448349	cellular_organisms	match
mikado.5G11828.1	1020	0.409804	cellular_organisms	match
mikado.5G1524.1	864	0.413194	cellular_organisms	match
mikado.4G3802.1	954	0.427673	cellular_organisms	match
mikado.1G2860.1	807	0.458488	cellular_organisms	match
mikado.4G10636.1	1566	0.429119	cellular_organisms	match
mikado.2G6963.1	2256	0.401596	cellular_organisms	match
mikado.1G16421.2	1248	0.44391	cellular_organisms	match
mikado.5G14295.1	624	0.495192	cellular_organisms	no-match
