"qseqid"	"DirInf"	"Maker"	"Braker"	"NCBI"
"rna-gnl|WGS:POTR|OsKitaake01g004100.1"	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g009908.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g010908.1"	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g012308.1"	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g015600.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g017100.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g017308.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g021200.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g024700.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g027300.1"	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g027700.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g027708.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g028108.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g028808.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g029008.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g029100.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g029200.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g029208.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g029300.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g029400.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g029500.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g033100.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g037616.1"	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g042000.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g042908.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g045900.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g046908.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g048200.2"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g049308.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g049308.2"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g052100.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g053208.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g057208.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g058200.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g059400.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g060208.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g062408.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g062900.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g063208.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g063700.2"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g063700.3"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g066000.1"	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g066400.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g068000.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g069108.1"	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g072900.1"	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g073508.1"	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g074600.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g074700.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g078200.1"	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g080208.1"	FALSE	FALSE	FALSE	TRUE
