ID	len	gc	PS	Presence
case1_00000001	2006	0.40678	Embryophyta	match
case1_00000002	699	0.399142	Eukaryota	match
case1_00000003	1077	0.457753	Viridiplantae	no-match
case1_00000004	388	0.340206	Arabidopsis_thaliana	match
case1_00000005	6276	0.430688	cellular_organisms	match
case1_00000006	1053	0.401709	cellular_organisms	match
case1_00000007	2415	0.419876	Eukaryota	match
case1_00000008	1404	0.391738	Viridiplantae	match
case1_00000009	1525	0.402623	cellular_organisms	match
case1_00000010	1627	0.454825	cellular_organisms	match
case1_00000011	923	0.416035	Eukaryota	match
case1_00000012	2045	0.446944	Streptophyta	match
case1_00000013	2936	0.412125	cellular_organisms	match
case1_00000014	1141	0.411919	Embryophyta	match
case1_00000015	297	0.400673	Magnoliophyta	no-match
case1_00000016	2403	0.339576	Brassicaceae	match
case1_00000017	2037	0.434953	cellular_organisms	match
case1_00000018	1829	0.370694	cellular_organisms	match
case1_00000019	4469	0.432311	cellular_organisms	match
case1_00000020	844	0.401659	Eukaryota	match
case1_00000021	579	0.52677	Viridiplantae	match
case1_00000022	1773	0.44106	Streptophyta	match
case1_00000023	1489	0.386837	cellular_organisms	match
case1_00000024	1458	0.518519	Eukaryota	match
case1_00000025	7968	0.426958	cellular_organisms	match
case1_00000026	2537	0.428065	Eukaryota	match
case1_00000027	1345	0.411896	Eukaryota	match
case1_00000028	847	0.454545	Tracheophyta	match
case1_00000029	1713	0.427904	Eukaryota	match
case1_00000030	667	0.367316	Viridiplantae	match
case1_00000031	2966	0.422792	Streptophyta	match
case1_00000032	2698	0.421794	Streptophyta	match
case1_00000033	1209	0.468983	Arabidopsis_thaliana	match
case1_00000034	870	0.486207	Embryophyta	match
case1_00000035	2131	0.386204	Eukaryota	match
case1_00000036	848	0.404481	cellular_organisms	match
case1_00000037	2247	0.406765	cellular_organisms	match
case1_00000038	1490	0.371812	Tracheophyta	match
case1_00000039	4524	0.44916	cellular_organisms	match
case1_00000040	2539	0.415912	cellular_organisms	match
case1_00000041	1911	0.390895	cellular_organisms	match
case1_00000042	1791	0.44947	Streptophyta	match
case1_00000043	2682	0.426547	cellular_organisms	match
case1_00000044	2115	0.437352	cellular_organisms	match
case1_00000045	2037	0.470299	cellular_organisms	match
case1_00000046	1888	0.466102	Embryophyta	match
case1_00000047	1457	0.455045	cellular_organisms	match
case1_00000048	2102	0.408183	Eukaryota	match
case1_00000049	2145	0.429837	cellular_organisms	match
case1_00000050	3009	0.444334	Eukaryota	match
case1_00000051	1263	0.386382	Eukaryota	match
case1_00000052	1778	0.41676	Magnoliophyta	match
case1_00000053	1711	0.398597	Viridiplantae	match
case1_00000054	1783	0.418396	cellular_organisms	match
case1_00000055	450	0.442222	Mesangiospermae	match
case1_00000056	1273	0.440691	Mesangiospermae	match
case1_00000057	1452	0.428375	cellular_organisms	match
case1_00000058	414	0.437198	Eukaryota	match
case1_00000059	3353	0.435133	cellular_organisms	match
case1_00000060	288	0.350694	Arabidopsis_thaliana	match
case1_00000061	4164	0.431556	cellular_organisms	match
case1_00000062	1192	0.408557	cellular_organisms	match
case1_00000063	2281	0.448488	Arabidopsis_thaliana	match
case1_00000064	3760	0.439096	cellular_organisms	match
case1_00000065	4625	0.445189	cellular_organisms	match
case1_00000066	2058	0.433916	cellular_organisms	match
case1_00000067	2218	0.432822	Eukaryota	match
case1_00000068	738	0.426829	cellular_organisms	match
case1_00000069	3028	0.430978	Eukaryota	match
case1_00000070	4216	0.42481	Eukaryota	match
case1_00000071	1665	0.418018	Eukaryota	match
case1_00000072	738	0.5	Mesangiospermae	match
case1_00000073	1305	0.532567	cellular_organisms	match
case1_00000074	2683	0.41558	Eukaryota	match
case1_00000075	2146	0.484623	cellular_organisms	match
case1_00000076	804	0.487562	Streptophyta	match
case1_00000077	2086	0.465964	cellular_organisms	match
case1_00000078	650	0.433846	Embryophyta	match
case1_00000079	7503	0.426496	Eukaryota	match
case1_00000080	1600	0.4275	Eukaryota	match
case1_00000081	6780	0.460029	Eukaryota	match
case1_00000082	690	0.431884	cellular_organisms	match
