ID	len	gc	PS	Presence
g1	1290	0.441085	Embryophyta	match
g10	1287	0.486402	cellular_organisms	match
g100	5253	0.450029	Eukaryota	match
g1000	1713	0.42265	Eukaryota	match
g10000	471	0.441614	Pentapetalae	no-match
g10001	456	0.495614	Brassicaceae	no-match
g10002	507	0.418146	Pentapetalae	no-match
g10003	2460	0.438618	Eukaryota	no-match
g10004	480	0.4375	Magnoliophyta	no-match
g10005	855	0.382456	Streptophytina	no-match
g10006	684	0.479532	Eukaryota	no-match
g10007	876	0.520548	Eukaryota	no-match
g10008	840	0.585714	Streptophyta	no-match
g10009	684	0.479532	Eukaryota	no-match
g1001	1722	0.469803	cellular_organisms	match
g10010	876	0.520548	Eukaryota	no-match
g10011	828	0.583333	Streptophyta	no-match
g10012	1560	0.494231	Eukaryota	no-match
g10013	798	0.463659	Eukaryota	no-match
g10014	336	0.485119	Magnoliophyta	no-match
g10015	987	0.542047	Streptophyta	no-match
g10016	579	0.525043	Brassicaceae	no-match
g10017	930	0.416129	Eukaryota	no-match
g10018	873	0.395189	Eukaryota	no-match
g10019	318	0.443396	Arabidopsis_thaliana	no-match
g1002	546	0.397436	Magnoliophyta	match
g10020	768	0.417969	Brassicaceae	no-match
g10021	534	0.449438	Arabidopsis_thaliana	no-match
g10022	504	0.448413	Arabidopsis_thaliana	no-match
g10023	294	0.465986	Pentapetalae	no-match
g10024	810	0.453086	Embryophyta	no-match
g10025	519	0.458574	Arabidopsis_thaliana	no-match
g10026	2091	0.404113	Eukaryota	no-match
g10027	1749	0.44311	cellular_organisms	no-match
g10028	381	0.446194	rosids	no-match
g10029	363	0.548209	Arabidopsis_thaliana	no-match
g1003	297	0.390572	Magnoliophyta	match
g10030	384	0.518229	Arabidopsis_thaliana	no-match
g10031	1212	0.438119	Eukaryota	no-match
g10032	504	0.47619	Arabidopsis_thaliana	no-match
g10033	561	0.45098	Brassicaceae	no-match
g10034	363	0.550964	Arabidopsis_thaliana	no-match
g10035	780	0.464103	Eukaryota	no-match
g10036	1296	0.460648	Mesangiospermae	no-match
g10037	381	0.446194	rosids	no-match
g10038	363	0.550964	Arabidopsis_thaliana	no-match
g10039	780	0.464103	Eukaryota	no-match
g1004	270	0.437037	Tracheophyta	match
g10040	744	0.475806	Arabidopsis_thaliana	no-match
g10041	399	0.481203	Brassicaceae	no-match
g10042	264	0.473485	Arabidopsis_thaliana	no-match
g10043	357	0.504202	Mesangiospermae	no-match
g10044	330	0.439394	Eukaryota	no-match
g10045	396	0.454545	Arabidopsis_thaliana	no-match
g10046	1467	0.493524	Mesangiospermae	no-match
g10047	1062	0.457627	Arabidopsis	match
g10048	279	0.419355	Arabidopsis_thaliana	no-match
g10049	381	0.425197	Eukaryota	match
g1005	489	0.456033	cellular_organisms	match
g10050	606	0.39934	Eukaryota	match
g10051	636	0.522013	Arabidopsis_thaliana	no-match
g10052	1578	0.513308	Brassicaceae	no-match
g10053	531	0.453861	Arabidopsis_thaliana	no-match
g10054	624	0.490385	cellular_organisms	no-match
g10055	1017	0.46411	Eukaryota	no-match
g10056	270	0.466667	Brassicaceae	no-match
g10057	327	0.53211	Arabidopsis_thaliana	no-match
g10058	243	0.469136	Arabidopsis_thaliana	no-match
g10059	312	0.471154	Arabidopsis_thaliana	no-match
g1006	672	0.434524	cellular_organisms	match
g10060	777	0.517375	Eukaryota	no-match
g10061	1488	0.480511	Eukaryota	no-match
g10062	1176	0.472789	Eukaryota	no-match
g10063	249	0.542169	Arabidopsis_thaliana	no-match
g10064	645	0.426357	Arabidopsis	match
g10065	885	0.40452	Viridiplantae	match
g10066	324	0.398148	Arabidopsis_thaliana	match
g10067	663	0.475113	Mesangiospermae	no-match
g10068	1686	0.516607	Eukaryota	no-match
g10069	1416	0.485876	Eukaryota	no-match
g1007	1326	0.42006	Embryophyta	match
g10070	306	0.45098	Arabidopsis_thaliana	no-match
g10071	4173	0.439252	Viridiplantae	no-match
g10072	546	0.472527	Arabidopsis_thaliana	no-match
g10073	507	0.449704	Brassicaceae	no-match
g10074	327	0.409786	Magnoliophyta	no-match
g10075	576	0.432292	Brassicaceae	no-match
g10076	1212	0.464521	Pentapetalae	no-match
g10077	1299	0.421093	cellular_organisms	no-match
g10078	1707	0.39836	Eukaryota	no-match
g10079	630	0.420635	Embryophyta	no-match
g1008	2079	0.473785	cellular_organisms	match
g10080	480	0.46875	Arabidopsis_thaliana	no-match
g10081	1479	0.555105	Arabidopsis_thaliana	no-match
g10082	318	0.566038	Arabidopsis_thaliana	no-match
g10083	1410	0.550355	Brassicaceae	no-match
g10084	201	0.467662	Arabidopsis_thaliana	no-match
g10085	531	0.517891	Mesangiospermae	no-match
g10086	318	0.474843	Streptophytina	no-match
g10087	747	0.448461	Eukaryota	no-match
g10088	375	0.44	Magnoliophyta	no-match
g10089	1419	0.498943	Magnoliophyta	no-match
g1009	606	0.465347	cellular_organisms	match
g10090	846	0.530733	Arabidopsis_thaliana	no-match
g10091	840	0.464286	Eukaryota	no-match
g10092	615	0.523577	cellular_organisms	no-match
g10093	363	0.46832	Mesangiospermae	no-match
g10094	312	0.439103	Eukaryota	no-match
g10095	468	0.49359	Eukaryota	no-match
g10096	537	0.478585	Magnoliophyta	no-match
g10097	603	0.519071	Arabidopsis_thaliana	no-match
g10098	951	0.392219	Eukaryota	no-match
g10099	432	0.428241	Magnoliophyta	no-match
g101	1230	0.434959	Eukaryota	match
g1010	1599	0.452783	cellular_organisms	match
g10100	1482	0.430499	cellular_organisms	match
g10101	255	0.576471	Arabidopsis_thaliana	no-match
g10102	483	0.42236	Embryophyta	no-match
g10103	1566	0.418902	Eukaryota	no-match
g10104	390	0.507692	Eukaryota	no-match
g10105	441	0.424036	Mesangiospermae	no-match
g10106	1503	0.428476	Magnoliophyta	match
g10107	786	0.403308	Viridiplantae	no-match
g10108	342	0.438596	Arabidopsis_thaliana	match
g10109	549	0.371585	Mesangiospermae	no-match
g1011	1020	0.414706	Eukaryota	match
g10110	936	0.386752	Mesangiospermae	no-match
g10111	726	0.380165	Magnoliophyta	no-match
g10112	381	0.430446	Mesangiospermae	no-match
g10113	429	0.475524	Arabidopsis	no-match
g10114	315	0.387302	Arabidopsis_thaliana	no-match
g10115	711	0.405063	Viridiplantae	match
g10116	1314	0.466514	Mesangiospermae	no-match
g10117	333	0.423423	Arabidopsis_thaliana	no-match
g10118	321	0.41433	Arabidopsis_thaliana	no-match
g10119	735	0.42449	Eukaryota	no-match
g1012	306	0.45098	Eukaryota	match
g10120	669	0.409567	Eukaryota	no-match
g10121	939	0.452609	Streptophytina	no-match
g10122	786	0.428753	Magnoliophyta	no-match
g10123	1236	0.453883	rosids	no-match
g10124	243	0.518519	Arabidopsis_thaliana	no-match
g10125	327	0.461774	Mesangiospermae	no-match
g10126	813	0.501845	Arabidopsis_thaliana	no-match
g10127	399	0.463659	Mesangiospermae	no-match
g10128	435	0.526437	Arabidopsis_thaliana	no-match
g10129	273	0.56044	Arabidopsis_thaliana	no-match
g1013	963	0.43406	Eukaryota	match
g10130	768	0.484375	Eukaryota	no-match
g10131	1734	0.499423	Eukaryota	no-match
g10132	600	0.538333	Arabidopsis_thaliana	no-match
g10133	771	0.433204	Magnoliophyta	no-match
g10134	825	0.419394	cellular_organisms	no-match
