ID	len	gc	PS	Presence
mikado.1G100	372	0.416667	Streptophytina	match
mikado.1G1000	5853	0.428157	Eukaryota	match
mikado.1G10000	987	0.421479	cellular_organisms	no-match
mikado.1G10001	687	0.465793	Eukaryota	match
mikado.1G10002	1563	0.412668	Arabidopsis_thaliana	match
mikado.1G10003	987	0.421479	Arabidopsis_thaliana	no-match
mikado.1G10004	588	0.440476	Mesangiospermae	no-match
mikado.1G10005	945	0.428571	Streptophyta	no-match
mikado.1G10006	666	0.384384	Eukaryota	no-match
mikado.1G10007	759	0.413702	Eukaryota	no-match
mikado.1G10008	723	0.499308	Viridiplantae	match
mikado.1G1001	312	0.451923	Brassicaceae	no-match
mikado.1G10012	1560	0.465385	Eukaryota	match
mikado.1G10015	300	0.356667	Arabidopsis	match
mikado.1G10016	333	0.357357	Arabidopsis	match
mikado.1G1002	648	0.449074	Arabidopsis_thaliana	no-match
mikado.1G10020	1287	0.441336	cellular_organisms	match
mikado.1G10021	366	0.47541	cellular_organisms	no-match
mikado.1G10022	558	0.413978	cellular_organisms	no-match
mikado.1G10023	753	0.419655	Viridiplantae	match
mikado.1G10024	609	0.37931	Arabidopsis_thaliana	match
mikado.1G10025	840	0.439286	Eukaryota	match
mikado.1G10026	312	0.442308	Arabidopsis_thaliana	no-match
mikado.1G10027	747	0.409639	malvids	match
mikado.1G10029	555	0.403604	Eukaryota	match
mikado.1G10030	600	0.361667	Arabidopsis_thaliana	match
mikado.1G10031	399	0.403509	Arabidopsis_thaliana	no-match
mikado.1G10038	762	0.417323	cellular_organisms	match
mikado.1G10039	498	0.433735	Mesangiospermae	no-match
mikado.1G10041	312	0.429487	Tracheophyta	no-match
mikado.1G10043	1053	0.381766	Arabidopsis_thaliana	match
mikado.1G10045	1056	0.393939	Magnoliophyta	match
mikado.1G1005	1560	0.445513	Arabidopsis_thaliana	match
mikado.1G10050	501	0.411178	Eukaryota	match
mikado.1G10051	369	0.376694	Magnoliophyta	match
mikado.1G10053	1482	0.452092	cellular_organisms	match
mikado.1G10054	321	0.35514	Arabidopsis_thaliana	no-match
mikado.1G10057	378	0.457672	Eukaryota	match
mikado.1G10058	2178	0.428834	Eukaryota	no-match
mikado.1G10059	1260	0.497619	Streptophyta	no-match
mikado.1G10060	447	0.447427	Arabidopsis_thaliana	no-match
mikado.1G10061	1176	0.411565	Arabidopsis_thaliana	no-match
mikado.1G10062	543	0.438306	Arabidopsis_thaliana	no-match
mikado.1G10065	1191	0.415617	Eukaryota	match
mikado.1G10068	3027	0.400396	cellular_organisms	no-match
mikado.1G1007	1119	0.452189	Embryophyta	match
mikado.1G10070	3165	0.418325	Embryophyta	match
mikado.1G10071	3060	0.398693	cellular_organisms	match
mikado.1G10072	324	0.490741	Arabidopsis_thaliana	no-match
mikado.1G10073	402	0.393035	Arabidopsis_thaliana	no-match
mikado.1G10075	1287	0.41181	Mesangiospermae	match
mikado.1G10076	408	0.455882	Eukaryota	no-match
mikado.1G10078	1131	0.377542	Eukaryota	no-match
mikado.1G10079	420	0.378571	Streptophytina	no-match
mikado.1G1008	1500	0.450667	cellular_organisms	match
mikado.1G10080	1203	0.413134	Streptophytina	no-match
mikado.1G10081	912	0.413377	Mesangiospermae	match
mikado.1G10082	354	0.435028	cellular_organisms	no-match
mikado.1G10086	600	0.418333	Mesangiospermae	no-match
mikado.1G10087	1167	0.44473	Eukaryota	no-match
mikado.1G10088	618	0.472492	Viridiplantae	no-match
mikado.1G10089	618	0.420712	Magnoliophyta	match
mikado.1G1009	1515	0.419802	Eukaryota	match
mikado.1G10090	1254	0.444179	Arabidopsis_thaliana	no-match
mikado.1G10091	975	0.406154	Arabidopsis_thaliana	no-match
mikado.1G10092	618	0.472492	Arabidopsis_thaliana	no-match
mikado.1G10093	441	0.430839	Arabidopsis_thaliana	no-match
mikado.1G10094	300	0.426667	Arabidopsis_thaliana	no-match
mikado.1G10095	693	0.435786	Magnoliophyta	match
mikado.1G10098	429	0.391608	Brassicaceae	no-match
mikado.1G10099	333	0.342342	Arabidopsis_thaliana	no-match
mikado.1G1010	2604	0.478111	cellular_organisms	match
mikado.1G10101	960	0.4375	cellular_organisms	match
mikado.1G10102	414	0.437198	Arabidopsis_thaliana	no-match
mikado.1G10103	339	0.439528	Arabidopsis_thaliana	no-match
mikado.1G10106	1116	0.459677	cellular_organisms	match
mikado.1G10109	384	0.463542	cellular_organisms	no-match
mikado.1G1011	1443	0.411642	cellular_organisms	match
mikado.1G10110	732	0.441257	Eukaryota	match
mikado.1G10114	606	0.323432	Arabidopsis_thaliana	match
mikado.1G10119	2043	0.416055	Eukaryota	match
mikado.1G1012	888	0.451577	cellular_organisms	no-match
mikado.1G10120	1491	0.465459	cellular_organisms	match
mikado.1G10121	1167	0.457584	cellular_organisms	match
mikado.1G10124	531	0.399247	Arabidopsis_thaliana	match
mikado.1G10125	969	0.459236	Arabidopsis_thaliana	no-match
mikado.1G10128	870	0.417241	Embryophyta	match
mikado.1G1013	1515	0.419802	Eukaryota	match
mikado.1G10130	435	0.404598	cellular_organisms	match
mikado.1G10131	12399	0.430438	Eukaryota	match
mikado.1G10133	375	0.448	Arabidopsis_thaliana	no-match
mikado.1G10134	564	0.453901	Arabidopsis_thaliana	no-match
mikado.1G10135	483	0.428571	Arabidopsis_thaliana	no-match
mikado.1G10136	297	0.424242	Arabidopsis_thaliana	no-match
mikado.1G10139	1428	0.476891	cellular_organisms	match
mikado.1G1014	456	0.401316	Arabidopsis_thaliana	no-match
mikado.1G10141	558	0.419355	cellular_organisms	no-match
mikado.1G10143	555	0.432432	Magnoliophyta	no-match
mikado.1G10144	492	0.45122	Eukaryota	match
mikado.1G10145	618	0.436893	cellular_organisms	match
mikado.1G10146	1920	0.432292	Eukaryota	match
mikado.1G10147	4191	0.430208	cellular_organisms	match
mikado.1G10149	438	0.424658	cellular_organisms	match
mikado.1G1015	969	0.437564	cellular_organisms	match
mikado.1G10150	705	0.465248	Brassicaceae	match
mikado.1G10151	420	0.447619	Streptophytina	no-match
mikado.1G10152	336	0.380952	Arabidopsis_thaliana	match
mikado.1G10153	972	0.424897	Magnoliophyta	match
mikado.1G10154	339	0.365782	Arabidopsis_thaliana	no-match
mikado.1G10156	1092	0.47619	cellular_organisms	match
mikado.1G10158	438	0.436073	Eukaryota	no-match
mikado.1G10159	630	0.450794	cellular_organisms	match
mikado.1G1016	3180	0.465723	cellular_organisms	no-match
mikado.1G10160	1104	0.431159	Eukaryota	match
mikado.1G10163	435	0.471264	Magnoliophyta	match
mikado.1G10166	798	0.43609	Eukaryota	match
mikado.1G10167	1299	0.411085	cellular_organisms	match
mikado.1G10168	1047	0.449857	Eukaryota	match
mikado.1G10169	312	0.394231	Viridiplantae	no-match
mikado.1G10170	333	0.417417	Brassicaceae	no-match
mikado.1G10171	1065	0.449765	Arabidopsis_thaliana	no-match
mikado.1G10174	375	0.44	Arabidopsis_thaliana	no-match
mikado.1G10176	1677	0.457961	Viridiplantae	match
mikado.1G10179	459	0.372549	Pentapetalae	match
mikado.1G1018	1323	0.431595	cellular_organisms	no-match
mikado.1G10181	1191	0.433249	Streptophyta	match
mikado.1G10182	366	0.349727	Arabidopsis_thaliana	no-match
mikado.1G10183	2037	0.42759	cellular_organisms	match
mikado.1G10184	558	0.44086	cellular_organisms	match
mikado.1G10185	399	0.408521	Arabidopsis_thaliana	no-match
mikado.1G10186	303	0.39604	Mesangiospermae	match
mikado.1G10187	423	0.456265	cellular_organisms	match
mikado.1G10188	2676	0.426009	cellular_organisms	match
mikado.1G10189	2175	0.441839	cellular_organisms	match
mikado.1G1019	1185	0.491139	cellular_organisms	match
mikado.1G10192	1116	0.437276	Eukaryota	match
mikado.1G10193	1071	0.392157	Mesangiospermae	no-match
mikado.1G10198	342	0.403509	Arabidopsis_thaliana	no-match
mikado.1G10199	501	0.427146	cellular_organisms	no-match
mikado.1G1020	405	0.422222	Arabidopsis_thaliana	match
mikado.1G10200	378	0.47619	Mesangiospermae	no-match
mikado.1G10201	318	0.40566	Eukaryota	no-match
mikado.1G10202	840	0.455952	cellular_organisms	no-match
mikado.1G10203	645	0.39845	Arabidopsis_thaliana	no-match
mikado.1G10205	1269	0.415288	Eukaryota	no-match
mikado.1G10206	894	0.43736	Tracheophyta	match
mikado.1G10207	3153	0.465905	Eukaryota	match
mikado.1G10208	315	0.438095	Arabidopsis_thaliana	no-match
mikado.1G10209	1056	0.41572	Arabidopsis_thaliana	no-match
mikado.1G1021	408	0.54902	Magnoliophyta	no-match
mikado.1G10210	966	0.425466	Arabidopsis_thaliana	no-match
mikado.1G10212	1173	0.44075	cellular_organisms	match
mikado.1G10214	495	0.466667	Streptophyta	match
mikado.1G10216	1023	0.445748	Embryophyta	match
mikado.1G10217	1062	0.451036	cellular_organisms	match
mikado.1G10218	348	0.37931	Brassicaceae	no-match
mikado.1G10219	1782	0.476431	cellular_organisms	match
mikado.1G1022	870	0.437931	Arabidopsis_thaliana	no-match
mikado.1G10221	1272	0.450472	Viridiplantae	match
mikado.1G10225	1968	0.478659	cellular_organisms	match
mikado.1G10227	393	0.524173	cellular_organisms	no-match
mikado.1G10228	3711	0.445971	cellular_organisms	match
mikado.1G10229	1314	0.444444	Arabidopsis_thaliana	no-match
mikado.1G1023	753	0.430279	Arabidopsis_thaliana	no-match
mikado.1G10231	933	0.444802	Embryophyta	match
mikado.1G10232	1161	0.400517	cellular_organisms	match
mikado.1G10234	1617	0.419913	cellular_organisms	match
mikado.1G10236	594	0.409091	Viridiplantae	match
mikado.1G10238	3408	0.419894	cellular_organisms	match
mikado.1G10239	1932	0.432712	Mesangiospermae	match
