ID	len	gc	PS	Presence
g1	1104	0.472826	Viridiplantae	no-match
g10	675	0.419259	cellular_organisms	no-match
g100	597	0.458961	Brassicaceae	no-match
g1000	1245	0.443373	cellular_organisms	match
g10000	279	0.430108	Arabidopsis_thaliana	no-match
g10001	903	0.41196	Magnoliophyta	no-match
g10002	534	0.400749	Eukaryota	no-match
g10003	1077	0.454039	Arabidopsis_thaliana	no-match
g10004	324	0.444444	Magnoliophyta	no-match
g10005	432	0.372685	Magnoliophyta	no-match
g10006	321	0.47352	Arabidopsis_thaliana	no-match
g10007	411	0.462287	Arabidopsis_thaliana	no-match
g10008	2052	0.404483	Eukaryota	no-match
g10009	771	0.470817	Viridiplantae	match
g1001	3033	0.429937	cellular_organisms	match
g10010	213	0.469484	Arabidopsis_thaliana	no-match
g10011	4596	0.431462	Eukaryota	no-match
g10012	372	0.395161	Streptophyta	no-match
g10013	1800	0.421667	Eukaryota	no-match
g10014	435	0.501149	Arabidopsis_thaliana	no-match
g10015	1893	0.438457	Pentapetalae	no-match
g10016	882	0.46712	rosids	no-match
g10017	312	0.512821	Arabidopsis_thaliana	no-match
g10018	372	0.448925	Arabidopsis_thaliana	no-match
g10019	471	0.441614	Pentapetalae	no-match
g1002	984	0.471545	Eukaryota	match
g10020	315	0.507937	Brassicaceae	no-match
g10021	696	0.416667	Pentapetalae	no-match
g10022	2460	0.438618	Eukaryota	no-match
g10023	693	0.427128	Magnoliophyta	no-match
g10024	915	0.384699	Streptophytina	no-match
g10025	495	0.442424	Arabidopsis_thaliana	no-match
g10026	237	0.531646	Arabidopsis_thaliana	no-match
g10027	684	0.479532	Eukaryota	no-match
g10028	876	0.520548	Eukaryota	no-match
g10029	1008	0.563492	Streptophyta	no-match
g1003	1455	0.459107	cellular_organisms	match
g10030	684	0.479532	Eukaryota	no-match
g10031	876	0.520548	Eukaryota	no-match
g10032	996	0.561245	Streptophyta	no-match
g10033	2277	0.485288	Eukaryota	no-match
g10034	1257	0.529037	Eukaryota	no-match
g10035	348	0.600575	Arabidopsis_thaliana	no-match
g10036	639	0.446009	Arabidopsis_thaliana	no-match
g10037	771	0.396887	Eukaryota	no-match
g10038	213	0.394366	Arabidopsis_thaliana	no-match
g10039	825	0.415758	Pentapetalae	no-match
g1004	1710	0.418129	cellular_organisms	match
g10040	504	0.448413	Arabidopsis_thaliana	no-match
g10041	1083	0.457064	Embryophyta	no-match
g10042	534	0.455056	Arabidopsis_thaliana	no-match
g10043	2025	0.404444	Eukaryota	no-match
g10044	1008	0.423611	cellular_organisms	no-match
g10045	693	0.47619	Arabidopsis_thaliana	no-match
g10046	381	0.446194	rosids	no-match
g10047	363	0.548209	Arabidopsis_thaliana	no-match
g10048	1464	0.455601	Eukaryota	no-match
g10049	693	0.474747	Arabidopsis_thaliana	no-match
g1005	411	0.53528	Eukaryota	match
g10050	381	0.448819	rosids	no-match
g10051	363	0.550964	Arabidopsis_thaliana	no-match
g10052	249	0.538153	Arabidopsis_thaliana	no-match
g10053	567	0.433862	Eukaryota	no-match
g10054	519	0.447013	Mesangiospermae	no-match
g10055	693	0.47619	Arabidopsis_thaliana	no-match
g10056	792	0.501263	rosids	no-match
g10057	1002	0.448104	Eukaryota	no-match
g10058	342	0.432749	Eukaryota	no-match
g10059	813	0.473555	Magnoliophyta	no-match
g1006	1266	0.477093	Eukaryota	match
g10060	330	0.439394	Eukaryota	no-match
g10061	396	0.454545	Arabidopsis_thaliana	no-match
g10062	408	0.453431	Arabidopsis_thaliana	no-match
g10063	1221	0.4914	Mesangiospermae	no-match
g10064	225	0.546667	Arabidopsis_thaliana	no-match
g10065	1062	0.457627	Arabidopsis_thaliana	match
g10066	279	0.419355	Arabidopsis_thaliana	no-match
g10067	804	0.394279	Streptophyta	match
g10068	603	0.529022	Arabidopsis_thaliana	no-match
g10069	1329	0.513168	Brassicaceae	no-match
g1007	1389	0.425486	Eukaryota	match
g10070	336	0.502976	Arabidopsis_thaliana	no-match
g10071	783	0.452107	Pentapetalae	no-match
g10072	624	0.490385	cellular_organisms	no-match
g10073	1017	0.46411	Eukaryota	no-match
g10074	270	0.466667	Brassicaceae	no-match
g10075	327	0.53211	Arabidopsis_thaliana	no-match
g10076	279	0.537634	Arabidopsis_thaliana	no-match
g10077	1404	0.496439	Eukaryota	no-match
g10078	1488	0.480511	Eukaryota	no-match
g10079	1335	0.482397	Eukaryota	no-match
g1008	1329	0.446953	Eukaryota	match
g10080	645	0.426357	Arabidopsis	match
g10081	885	0.40452	Viridiplantae	match
g10082	324	0.398148	Arabidopsis_thaliana	match
g10083	690	0.366667	Magnoliophyta	no-match
g10084	891	0.465769	Mesangiospermae	no-match
g10085	3054	0.511133	Eukaryota	no-match
g10086	483	0.511387	Brassicaceae	no-match
g10087	3840	0.428906	Viridiplantae	no-match
g10088	546	0.472527	Arabidopsis_thaliana	no-match
g10089	507	0.449704	Brassicaceae	no-match
g1009	963	0.439252	cellular_organisms	match
g10090	327	0.409786	Magnoliophyta	no-match
g10091	621	0.417069	Brassicaceae	no-match
g10092	1179	0.467345	Pentapetalae	no-match
g10093	1299	0.421093	cellular_organisms	no-match
g10094	1695	0.39941	Eukaryota	no-match
g10095	696	0.426724	Embryophyta	no-match
g10096	480	0.46875	Arabidopsis_thaliana	no-match
g10097	1692	0.549054	Arabidopsis_thaliana	no-match
g10098	318	0.566038	Arabidopsis_thaliana	no-match
g10099	1410	0.550355	Brassicaceae	no-match
g101	1149	0.441253	Streptophyta	no-match
g1010	624	0.520833	Tracheophyta	match
g10100	201	0.467662	Arabidopsis_thaliana	no-match
g10101	531	0.517891	Mesangiospermae	no-match
g10102	1050	0.45619	Eukaryota	no-match
