ID	len	gc	PS	Presence
mikado.2G9316.3	1203	0.433915	cellular_organisms	match
mikado.1G9994.1	1632	0.439338	cellular_organisms	match
mikado.1G1427.1	672	0.452381	cellular_organisms	match
mikado.4G6469.1	1332	0.464715	cellular_organisms	match
mikado.1G442.1	1206	0.451907	cellular_organisms	match
mikado.3G7974.1	2637	0.390975	cellular_organisms	match
mikado.2G3982.1	1926	0.435099	cellular_organisms	match
mikado.chloroplastG55.1	327	0.351682	cellular_organisms	no-match
mikado.1G11339.1	1095	0.484932	cellular_organisms	match
mikado.5G109.1	2169	0.466113	cellular_organisms	match
mikado.3G435.1	1503	0.431803	cellular_organisms	match
mikado.1G2062.1	924	0.475108	cellular_organisms	match
mikado.5G11795.1	1425	0.46386	cellular_organisms	match
mikado.1G12065.2	2451	0.410037	cellular_organisms	match
mikado.3G7648.1	1275	0.533333	cellular_organisms	match
mikado.3G10076.1	1473	0.469111	cellular_organisms	match
mikado.4G5262.1	1587	0.451166	cellular_organisms	match
mikado.5G11464.1	5013	0.456812	cellular_organisms	no-match
mikado.5G2560.1	1035	0.44058	cellular_organisms	match
mikado.3G1049.1	2253	0.457168	cellular_organisms	match
mikado.4G7243.1	975	0.437949	cellular_organisms	match
mikado.1G3404.1	1146	0.431065	cellular_organisms	match
mikado.1G8546.1	891	0.468013	cellular_organisms	match
mikado.1G1404.1	1260	0.451587	cellular_organisms	match
mikado.3G4150.1	1518	0.447299	cellular_organisms	match
mikado.5G9364.1	786	0.454198	cellular_organisms	match
mikado.2G6674.1	1860	0.465054	cellular_organisms	match
mikado.3G10714.1	3441	0.398431	cellular_organisms	no-match
mikado.3G1686.1	762	0.458005	cellular_organisms	match
mikado.4G621.1	1413	0.454352	cellular_organisms	match
mikado.3G2146.1	1809	0.450525	cellular_organisms	match
mikado.1G1275.2	1719	0.450844	cellular_organisms	match
mikado.5G1791.1	2106	0.437322	cellular_organisms	match
mikado.5G10661.1	3225	0.451783	cellular_organisms	match
mikado.3G3092.1	1962	0.433231	cellular_organisms	match
mikado.2G7835.4	2244	0.428253	cellular_organisms	match
mikado.1G3180.1	2439	0.414924	cellular_organisms	match
mikado.4G4040.1	1035	0.455072	cellular_organisms	match
mikado.5G1524.1	1449	0.438923	cellular_organisms	match
mikado.3G1833.1	1674	0.452808	cellular_organisms	match
mikado.1G529.1	1398	0.438484	cellular_organisms	match
mikado.3G1851.2	813	0.472325	cellular_organisms	match
mikado.1G11855.1	2553	0.464552	cellular_organisms	match
mikado.1G803.1	1185	0.484388	cellular_organisms	match
mikado.2G1026.1	1125	0.448	cellular_organisms	match
mikado.2G8187.1	1626	0.471095	cellular_organisms	match
mikado.1G8623.1	921	0.440825	cellular_organisms	match
mikado.5G2388.1	1284	0.464953	cellular_organisms	match
mikado.1G11416.1	1485	0.438384	cellular_organisms	match
mikado.1G1529.1	3090	0.457929	cellular_organisms	match
mikado.1G8851.1	1182	0.435702	cellular_organisms	match
mikado.3G8625.1	1242	0.438808	cellular_organisms	match
mikado.3G8118.1	2499	0.451381	cellular_organisms	match
mikado.3G9241.1	894	0.46868	cellular_organisms	match
mikado.1G326.2	804	0.432836	cellular_organisms	match
mikado.5G10099.1	1116	0.434588	cellular_organisms	match
mikado.2G8849.1	2076	0.439788	cellular_organisms	match
mikado.5G3732.1	1332	0.464715	cellular_organisms	match
mikado.3G9094.1	1356	0.44469	cellular_organisms	match
mikado.3G3617.1	1854	0.433657	cellular_organisms	match
mikado.2G3830.1	1413	0.438075	cellular_organisms	match
mikado.3G8262.1	2952	0.434282	cellular_organisms	match
mikado.1G8908.1	1512	0.464286	cellular_organisms	match
mikado.3G2.1	477	0.463312	cellular_organisms	match
mikado.3G2424.1	1995	0.44812	cellular_organisms	match
mikado.1G13158.2	2943	0.446483	cellular_organisms	match
mikado.1G8145.1	3060	0.398693	cellular_organisms	match
mikado.4G3155.1	2136	0.422753	cellular_organisms	match
mikado.1G11970.1	1437	0.42032	cellular_organisms	match
mikado.4G6958.1	4176	0.451149	cellular_organisms	match
mikado.1G2678.1	2163	0.428571	cellular_organisms	match
mikado.5G10507.1	2187	0.455876	cellular_organisms	match
mikado.5G6896.1	1173	0.472293	cellular_organisms	match
mikado.5G7628.1	1464	0.43306	cellular_organisms	match
mikado.2G6560.1	2013	0.424739	cellular_organisms	match
mikado.4G7825.1	1521	0.437212	cellular_organisms	match
mikado.1G4423.2	1266	0.445498	cellular_organisms	match
mikado.1G10008.2	1158	0.489637	cellular_organisms	no-match
mikado.5G3029.1	1998	0.438438	cellular_organisms	match
mikado.3G8087.1	2220	0.466667	cellular_organisms	match
mikado.1G99.2	1962	0.478084	cellular_organisms	match
mikado.5G12288.1	1236	0.457929	cellular_organisms	match
mikado.3G832.1	2796	0.441702	cellular_organisms	match
