ID	len	gc	PS	Presence
mikado.1G100	1962	0.478084	cellular_organisms	match
mikado.1G1000	3279	0.424215	cellular_organisms	match
mikado.1G10001	2115	0.420331	cellular_organisms	match
mikado.1G10002	672	0.415179	cellular_organisms	match
mikado.1G10003	1305	0.452107	cellular_organisms	match
mikado.1G10005	1479	0.431373	cellular_organisms	match
mikado.1G10018	414	0.471014	Streptophyta	match
mikado.1G1002	948	0.387131	Embryophyta	match
mikado.1G10021	1077	0.418756	Eukaryota	match
mikado.1G10022	324	0.354938	Arabidopsis_thaliana	no-match
mikado.1G10024	1014	0.419132	Mesangiospermae	match
mikado.1G10025	1602	0.403246	Embryophyta	match
mikado.1G10026	1041	0.429395	Mesangiospermae	match
mikado.1G10027	1335	0.419476	Eukaryota	match
mikado.1G10029	1602	0.408864	cellular_organisms	match
mikado.1G1003	573	0.397906	Embryophyta	match
mikado.1G10031	882	0.395692	Eukaryota	match
mikado.1G10032	639	0.42097	Eukaryota	match
mikado.1G10033	2403	0.396171	Viridiplantae	match
mikado.1G10034	2418	0.438379	Eukaryota	no-match
mikado.1G10035	1194	0.449749	Magnoliophyta	no-match
mikado.1G10039	537	0.478585	cellular_organisms	match
mikado.1G1004	549	0.471767	Magnoliophyta	no-match
mikado.1G10040	351	0.447293	Arabidopsis_thaliana	no-match
mikado.1G10041	1173	0.441603	Streptophyta	match
mikado.1G10043	1089	0.460055	Eukaryota	match
mikado.1G10044	2079	0.438672	cellular_organisms	match
mikado.1G10045	471	0.367304	Arabidopsis_thaliana	no-match
mikado.1G10046	468	0.393162	Pentapetalae	match
mikado.1G10047	621	0.413849	Magnoliophyta	no-match
mikado.1G10050	1242	0.480676	cellular_organisms	match
mikado.1G10052	312	0.378205	Viridiplantae	no-match
mikado.1G10053	525	0.441905	Eukaryota	match
mikado.1G10056	1335	0.422472	cellular_organisms	no-match
mikado.1G10059	348	0.37931	Mesangiospermae	match
mikado.1G10062	504	0.412698	Embryophyta	match
mikado.1G10063	1725	0.470725	cellular_organisms	match
mikado.1G10066	348	0.37069	Mesangiospermae	match
mikado.1G10067	348	0.373563	Mesangiospermae	match
mikado.1G10068	801	0.340824	Tracheophyta	match
mikado.1G1007	687	0.429403	Eukaryota	match
mikado.1G10070	1200	0.393333	Embryophyta	match
mikado.1G10071	1944	0.471193	cellular_organisms	match
mikado.1G10073	1938	0.475232	cellular_organisms	match
mikado.1G10075	507	0.424063	Embryophyta	match
mikado.1G10079	579	0.447323	Streptophyta	match
mikado.1G1008	2490	0.485944	cellular_organisms	match
mikado.1G10081	297	0.484848	Arabidopsis_thaliana	no-match
mikado.1G10082	531	0.474576	cellular_organisms	match
mikado.1G10083	1263	0.433888	cellular_organisms	match
mikado.1G10085	492	0.373984	rosids	match
mikado.1G1009	342	0.476608	Tracheophyta	match
mikado.1G10092	1083	0.409049	Tracheophyta	match
