qseqid	mrca_name
mikado.1G5051.1_1	cellular_organisms
mikado.chloroplastG37.1_1	cellular_organisms
mikado.5G2606.2_1	cellular_organisms
mikado.3G4730.2_1	cellular_organisms
mikado.3G3125.1_1	cellular_organisms
mikado.5G3028.1_1	cellular_organisms
mikado.1G5016.1_1	cellular_organisms
mikado.5G653.5_1	cellular_organisms
mikado.1G6360.1_1	cellular_organisms
mikado.3G5567.1_1	cellular_organisms
mikado.4G1028.3_1	cellular_organisms
mikado.2G1317.1_1	cellular_organisms
mikado.3G435.1_1	cellular_organisms
mikado.1G6343.3_1	cellular_organisms
mikado.4G887.1_1	cellular_organisms
mikado.2G901.2_1	cellular_organisms
mikado.1G7114.1_1	cellular_organisms
mikado.5G62.2_1	cellular_organisms
mikado.1G6711.1_1	cellular_organisms
mikado.4G644.2_1	cellular_organisms
mikado.1G4311.1_1	cellular_organisms
mikado.1G4751.3_1	cellular_organisms
mikado.3G430.2_1	cellular_organisms
mikado.1G79.1_1	cellular_organisms
mikado.1G599.1_1	cellular_organisms
mikado.2G335.1_1	cellular_organisms
mikado.3G4772.1_1	cellular_organisms
mikado.1G262.1_1	cellular_organisms
mikado.1G7137.1_1	cellular_organisms
mikado.1G785.1_1	cellular_organisms
mikado.1G8733.2_1	cellular_organisms
mikado.1G528.2_1	cellular_organisms
mikado.1G166.3_1	cellular_organisms
mikado.1G6581.3_1	cellular_organisms
mikado.1G6820.2_1	cellular_organisms
mikado.5G99.1_1	cellular_organisms
mikado.4G621.1_1	cellular_organisms
mikado.5G954.1_1	cellular_organisms
mikado.5G104.3_1	cellular_organisms
mikado.1G683.2_1	cellular_organisms
mikado.5G3853.2_1	cellular_organisms
mikado.3G353.3_1	cellular_organisms
mikado.1G4180.1_1	cellular_organisms
mikado.4G226.1_1	cellular_organisms
mikado.4G2726.2_1	cellular_organisms
mikado.1G8759.4_1	cellular_organisms
mikado.1G7137.2_1	cellular_organisms
mikado.1G529.1_1	cellular_organisms
mikado.1G6879.2_1	cellular_organisms
mikado.3G214.5_1	cellular_organisms
mikado.5G3187.4_1	cellular_organisms
mikado.1G6583.1_1	cellular_organisms
mikado.2G238.3_1	cellular_organisms
