"qseqid"	"MIND"	"BIND"	"DirInf"	"Maker"	"Braker"	"NCBI"
"rna-gnl|WGS:POTR|OsKitaake01g004100.1"	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g009908.1"	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g010908.1"	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g012308.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g015600.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g017100.1"	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g017308.1"	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g021200.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g024700.1"	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g027300.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g027700.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g027708.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g028108.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g028808.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g029008.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g029100.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g029200.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g029208.1"	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g029300.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g029400.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g029500.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g033100.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g037616.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g042000.1"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g042908.1"	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g045900.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g046908.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g048200.2"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g049308.1"	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g049308.2"	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g052100.1"	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g053208.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g057208.1"	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g058200.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g059400.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g060208.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g062408.1"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g062900.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g063208.1"	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g063700.2"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g063700.3"	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g066000.1"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g066400.1"	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g068000.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g069108.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g072900.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g073508.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g074600.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g074700.1"	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g078200.1"	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g080208.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g081300.1"	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g084100.1"	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g085300.1"	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g085608.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g087908.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g088516.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g088524.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g090300.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g092408.1"	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g097200.1"	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g098200.1"	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g100608.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g101000.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g105100.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g106900.1"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g110600.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g111500.1"	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g113300.1"	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g113408.1"	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g115000.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g121350.1"	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g121450.1"	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g122450.1"	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g126401.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g126550.1"	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g130400.1"	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g130600.1"	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g130750.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g131150.1"	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g131400.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g131600.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g132150.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g132501.1"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g134100.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g138000.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g138366.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g138800.1"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g141300.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g141800.2"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g142000.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g142250.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g142900.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g143000.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g143200.1"	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g143550.1"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g145800.1"	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g147600.1"	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g148700.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g148800.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g150600.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g150600.2"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g151400.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
