ID	SGD	DI	braker	maker
Q0010	1	0	0	0
Q0017	1	0	0	0
Q0142	1	0	0	0
Q0297	1	0	0	0
YAL037C-A	1	0	0	0
YAR030C	1	0	0	0
YAR069C	1	0	0	0
YBL048W	1	0	0	0
YBL053W	1	0	0	0
YBL071C	1	0	0	0
YBL100W-C	1	0	0	0
YBR072C-A	1	0	0	0
YBR090C	1	1	0	0
YBR109W-A	1	0	0	0
YBR141W-A	1	0	0	0
YBR182C-A	1	0	0	0
YBR196C-B	1	0	0	0
YBR200W-A	1	0	0	0
YBR292C	1	0	0	0
YCR024C-B	1	0	0	0
YCR085W	1	0	0	0
YCR087W	1	0	0	0
YCR095W-A	1	0	0	0
YDL022C-A	1	0	0	0
YDL114W-A	1	0	0	0
YDR003W-A	1	0	0	0
YDR024W	1	0	0	0
YDR118W-A	1	0	0	0
YDR157W	1	1	0	0
YDR169C-A	1	0	0	0
YDR220C	1	0	0	0
YDR246W-A	1	0	0	0
YDR320W-B	1	0	0	0
YDR344C	1	0	0	0
YDR406W-A	1	0	0	0
YDR510C-A	1	0	0	0
YDR524W-C	1	0	0	0
YDR543C	1	0	0	0
YER006C-A	1	0	0	0
YER175W-A	1	0	0	0
YFL010W-A	1	0	0	0
YFL019C	1	0	0	1
YFL031C-A	1	0	0	0
YGL041C-B	1	0	0	0
YGL052W	1	0	0	1
YGL149W	1	0	0	0
YGL168W	1	0	0	0
YGL182C	1	1	0	0
YGL188C	1	1	0	0
YGL188C-A	1	0	0	0
YGR025W	1	0	0	0
YGR051C	1	0	0	0
YGR174W-A	1	0	0	0
YGR204C-A	1	0	0	0
YHL048C-A	1	0	0	0
YHR049C-A	1	0	0	0
YHR095W	1	0	0	0
YHR175W-A	1	0	0	0
YHR214C-D	1	0	0	0
YIL025C	1	0	0	0
YIL058W	1	0	0	0
YIL086C	1	1	0	0
YIR020C	1	0	0	0
YIR036W-A	1	0	0	0
YJL077W-B	1	0	0	0
YJL127W-A	1	0	0	0
YKL066W	1	0	0	0
YKL096C-B	1	0	0	0
YKL102C	1	0	0	0
YKL145W-A	1	0	0	1
YKL153W	1	1	0	0
YKL183C-A	1	0	0	0
YLL044W	1	0	0	0
YLL059C	1	0	0	0
YLL066W-B	1	0	0	0
YLR120W-A	1	0	0	0
YLR124W	1	0	0	0
YLR149C-A	1	0	0	0
YLR222C-A	1	1	0	0
YLR279W	1	0	0	0
YLR285C-A	1	0	0	0
YLR311C	1	1	0	0
YLR342W-A	1	0	0	0
YLR364C-A	1	0	0	0
YLR400W	1	0	0	0
YML099W-A	1	0	0	0
YMR007W	1	1	0	0
YMR030W-A	1	0	0	0
YMR086C-A	1	0	0	0
YMR103C	1	1	0	0
YMR141C	1	0	0	0
YMR141W-A	1	0	0	0
YMR182W-A	1	0	0	0
YMR193C-A	1	0	0	0
YMR242W-A	1	0	0	0
YMR247W-A	1	0	0	0
YMR272W-B	1	0	0	0
YMR294W-A	1	0	0	0
YMR307C-A	1	0	0	0
YMR316C-A	1	0	0	0
YMR320W	1	0	0	0
YNL097C-B	1	0	0	0
YNL103W-A	1	0	0	0
YNL130C-A	1	0	0	0
YNL198C	1	0	0	0
YNL338W	1	0	0	0
YOR008C-A	1	1	0	0
YOR015W	1	0	0	1
YOR203W	1	0	0	0
YOR263C	1	0	0	0
YOR376W-A	1	0	0	0
YPL080C	1	0	0	0
YPL119C-A	1	0	0	0
YPR016W-A	1	0	0	0
YPR195C	1	0	0	0
YLR112W	1	0	0	0
Q0032	1	0	0	0
Q0092	1	0	0	0
Q0144	1	0	0	0
Q0182	1	0	0	0
YAL016C-B	1	0	0	0
YAL063C-A	1	0	0	0
