ID	len	gc	PS	Presence
case4_00000001	198	0.388889	Arabidopsis	no-match
case4_00000002	2006	0.40678	Embryophyta	match
case4_00000003	1623	0.401109	Eukaryota	match
case4_00000004	1647	0.410443	Arabidopsis_thaliana	match
case4_00000006	6312	0.429816	cellular_organisms	match
case4_00000007	1053	0.401709	cellular_organisms	match
case4_00000008	2370	0.427004	Eukaryota	match
case4_00000009	1404	0.391738	Viridiplantae	match
case4_00000010	111	0.306306	Arabidopsis_thaliana	no-match
case4_00000011	1525	0.402623	cellular_organisms	match
case4_00000012	1585	0.45489	cellular_organisms	match
case4_00000013	923	0.416035	Eukaryota	match
case4_00000014	2045	0.446944	Streptophyta	match
case4_00000015	117	0.393162	Arabidopsis_thaliana	no-match
case4_00000016	1587	0.468809	cellular_organisms	match
case4_00000017	294	0.367347	Streptophyta	match
case4_00000018	441	0.437642	Brassicaceae	no-match
case4_00000019	1800	0.432778	cellular_organisms	match
case4_00000020	297	0.400673	Magnoliophyta	no-match
case4_00000021	225	0.413333	Arabidopsis_thaliana	no-match
case4_00000022	1030	0.414563	Embryophyta	match
case4_00000023	1045	0.448804	Eukaryota	match
case4_00000024	294	0.442177	Viridiplantae	match
case4_00000025	927	0.512406	cellular_organisms	match
case4_00000026	2460	0.34065	Brassicaceae	no-match
case4_00000027	2037	0.434953	cellular_organisms	match
case4_00000028	982	0.453157	cellular_organisms	match
case4_00000029	1829	0.370694	cellular_organisms	match
case4_00000030	4967	0.429837	cellular_organisms	match
case4_00000031	844	0.401659	Eukaryota	match
case4_00000032	996	0.432731	Embryophyta	match
case4_00000033	579	0.52677	Viridiplantae	match
case4_00000034	1773	0.44106	Streptophyta	match
case4_00000035	1602	0.461298	cellular_organisms	match
case4_00000036	1489	0.386837	cellular_organisms	match
case4_00000037	1458	0.518519	Eukaryota	match
case4_00000038	7968	0.426958	cellular_organisms	match
case4_00000039	426	0.420188	Arabidopsis	match
case4_00000040	726	0.502755	cellular_organisms	match
case4_00000041	2537	0.428065	Eukaryota	match
case4_00000042	2133	0.4421	Eukaryota	match
case4_00000043	1754	0.424743	Eukaryota	match
case4_00000044	667	0.367316	Viridiplantae	match
case4_00000045	1443	0.474705	cellular_organisms	match
case4_00000046	243	0.481481	Magnoliophyta	no-match
case4_00000047	1177	0.406117	Arabidopsis	match
case4_00000048	1086	0.417127	Eukaryota	match
case4_00000049	369	0.439024	rosids	no-match
case4_00000050	2969	0.423038	Streptophyta	match
case4_00000051	2698	0.421794	Streptophyta	match
case4_00000052	3057	0.45633	cellular_organisms	match
case4_00000053	2312	0.387111	Eukaryota	match
case4_00000054	883	0.404304	cellular_organisms	match
case4_00000055	216	0.453704	Arabidopsis_thaliana	no-match
case4_00000056	2247	0.406765	cellular_organisms	match
case4_00000057	1289	0.376261	Tracheophyta	match
case4_00000058	4533	0.449151	cellular_organisms	match
case4_00000059	752	0.404255	Eukaryota	match
case4_00000060	2016	0.439484	cellular_organisms	match
case4_00000061	1050	0.44381	Embryophyta	match
case4_00000062	1911	0.390895	cellular_organisms	match
case4_00000063	1791	0.44947	Streptophyta	match
case4_00000064	4493	0.438237	cellular_organisms	match
case4_00000065	2329	0.444826	cellular_organisms	match
case4_00000066	1888	0.466102	Embryophyta	match
case4_00000067	1576	0.44797	cellular_organisms	match
case4_00000068	2102	0.408183	Eukaryota	match
case4_00000069	2241	0.457831	cellular_organisms	match
case4_00000070	3079	0.442351	Eukaryota	match
case4_00000071	1263	0.386382	Eukaryota	match
case4_00000072	2693	0.41775	Magnoliophyta	match
case4_00000073	1711	0.398597	Viridiplantae	match
case4_00000074	3714	0.445073	Streptophytina	match
case4_00000075	496	0.395161	Magnoliophyta	match
case4_00000076	1273	0.440691	Mesangiospermae	match
case4_00000077	1778	0.422385	cellular_organisms	match
case4_00000078	769	0.412224	Eukaryota	match
case4_00000079	1221	0.447993	Eukaryota	match
case4_00000080	3471	0.440507	cellular_organisms	match
case4_00000081	4225	0.430296	cellular_organisms	match
case4_00000082	1213	0.407255	cellular_organisms	match
case4_00000083	483	0.449275	Brassicaceae	match
case4_00000084	975	0.427692	Eukaryota	match
case4_00000085	2281	0.448488	Arabidopsis_thaliana	match
case4_00000086	459	0.509804	Mesangiospermae	match
case4_00000087	3190	0.428527	cellular_organisms	match
case4_00000088	4625	0.445189	cellular_organisms	match
case4_00000089	2460	0.489431	cellular_organisms	match
case4_00000090	1806	0.449612	cellular_organisms	match
case4_00000091	2218	0.432822	Eukaryota	match
case4_00000092	738	0.426829	cellular_organisms	match
case4_00000093	3028	0.430978	Eukaryota	match
case4_00000094	5497	0.443333	Eukaryota	match
case4_00000095	1675	0.417313	Eukaryota	match
case4_00000096	1828	0.491794	cellular_organisms	match
case4_00000097	738	0.5	Mesangiospermae	match
case4_00000098	1305	0.532567	cellular_organisms	match
case4_00000099	2512	0.422373	Eukaryota	match
case4_00000100	3079	0.481	cellular_organisms	match
case4_00000101	975	0.471795	Streptophyta	match
case4_00000102	1226	0.495922	cellular_organisms	match
case4_00000103	2177	0.443271	Eukaryota	match
case4_00000104	1609	0.478558	Viridiplantae	match
