ID	len	gc	PS
AT1G01010	1290	0.441085	Embryophyta
AT1G01020	738	0.387534	Eukaryota
AT1G01030	1077	0.457753	Viridiplantae
AT1G01040	5730	0.437696	cellular_organisms
AT1G01050	639	0.446009	cellular_organisms
AT1G01060	1938	0.430857	Eukaryota
AT1G01070	1098	0.418033	Viridiplantae
AT1G01080	882	0.431973	cellular_organisms
AT1G01090	1287	0.486402	cellular_organisms
AT1G01100	339	0.530973	Eukaryota
AT1G01110	1584	0.482955	Streptophyta
AT1G01120	1587	0.468809	cellular_organisms
AT1G01130	375	0.482667	Streptophyta
AT1G01140	1344	0.447173	cellular_organisms
AT1G01150	1038	0.421002	Embryophyta
AT1G01160	588	0.508503	Eukaryota
AT1G01170	252	0.456349	Viridiplantae
AT1G01180	924	0.512987	cellular_organisms
AT1G01190	1608	0.478856	cellular_organisms
AT1G01200	714	0.502801	cellular_organisms
AT1G01210	321	0.445483	cellular_organisms
AT1G01220	3168	0.444129	cellular_organisms
AT1G01225	783	0.445722	Eukaryota
AT1G01230	474	0.447257	Eukaryota
AT1G01240	996	0.432731	Embryophyta
AT1G01250	579	0.52677	Viridiplantae
AT1G01260	1773	0.44106	Streptophyta
AT1G01280	1533	0.470972	cellular_organisms
AT1G01290	813	0.426814	cellular_organisms
AT1G01300	1458	0.518519	Eukaryota
AT1G01305	426	0.420188	Arabidopsis
AT1G01310	726	0.502755	cellular_organisms
AT1G01320	5394	0.446237	cellular_organisms
AT1G01335	123	0.373984	Arabidopsis_thaliana
AT1G01340	2121	0.434701	cellular_organisms
AT1G01350	1032	0.431202	Eukaryota
AT1G01355	687	0.502183	Tracheophyta
AT1G01360	564	0.441489	Embryophyta
AT1G01370	537	0.489758	Eukaryota
AT1G01380	252	0.428571	Viridiplantae
AT1G01390	1443	0.474705	cellular_organisms
AT1G01400	615	0.484553	Arabidopsis
AT1G01410	1086	0.417127	Eukaryota
AT1G01420	1446	0.47787	cellular_organisms
AT1G01430	1371	0.450766	Streptophyta
AT1G01440	1995	0.455639	Streptophyta
AT1G01450	1413	0.422505	cellular_organisms
AT1G01453	804	0.507463	Embryophyta
AT1G01460	1284	0.406542	Eukaryota
AT1G01470	456	0.484649	cellular_organisms
AT1G01480	1491	0.452716	cellular_organisms
AT1G01490	534	0.451311	Tracheophyta
AT1G01500	984	0.505081	Streptophyta
AT1G01510	1911	0.478807	cellular_organisms
AT1G01520	864	0.409722	Eukaryota
AT1G01530	744	0.40457	Eukaryota
AT1G01540	1161	0.468562	cellular_organisms
AT1G01550	1050	0.44381	Embryophyta
AT1G01560	828	0.419082	cellular_organisms
AT1G01570	1437	0.476688	Streptophyta
AT1G01580	2178	0.443067	cellular_organisms
AT1G01590	2115	0.437352	cellular_organisms
AT1G01600	1665	0.502703	cellular_organisms
AT1G01610	1512	0.493386	Embryophyta
AT1G01620	861	0.521487	cellular_organisms
AT1G01630	768	0.46224	Eukaryota
AT1G01640	624	0.464744	Eukaryota
AT1G01650	1623	0.45533	cellular_organisms
AT1G01660	1707	0.454599	Eukaryota
AT1G01670	1098	0.437158	Eukaryota
AT1G01680	927	0.412082	Eukaryota
AT1G01690	1356	0.438791	Magnoliophyta
AT1G01695	1302	0.393241	Magnoliophyta
AT1G01700	1458	0.421125	Viridiplantae
AT1G01710	1284	0.451713	cellular_organisms
AT1G01715	420	0.442857	Mesangiospermae
AT1G01720	870	0.508046	Streptophytina
AT1G01725	189	0.465608	Magnoliophyta
AT1G01730	675	0.494815	Mesangiospermae
AT1G01740	1452	0.428375	cellular_organisms
AT1G01750	423	0.437352	Eukaryota
AT1G01760	1263	0.437055	Eukaryota
AT1G01770	1899	0.45445	cellular_organisms
AT1G01780	618	0.475728	Eukaryota
AT1G01790	3582	0.44249	cellular_organisms
AT1G01800	888	0.443694	cellular_organisms
AT1G01810	483	0.449275	Brassicaceae
AT1G01820	708	0.45339	Eukaryota
AT1G01830	1725	0.481739	Eukaryota
AT1G01840	459	0.509804	Mesangiospermae
AT1G01860	1032	0.447674	cellular_organisms
AT1G01880	1800	0.429444	cellular_organisms
AT1G01900	2325	0.502796	cellular_organisms
AT1G01910	1062	0.457627	cellular_organisms
AT1G01920	1719	0.450844	cellular_organisms
AT1G01930	1743	0.452668	Eukaryota
AT1G01940	483	0.463768	cellular_organisms
AT1G01950	2685	0.451024	Eukaryota
AT1G01960	5253	0.450029	Eukaryota
AT1G01970	1230	0.434959	Eukaryota
AT1G01980	1626	0.509225	cellular_organisms
AT1G01990	738	0.5	Mesangiospermae
AT1G02000	1305	0.532567	cellular_organisms
AT1G02010	2022	0.446588	Eukaryota
AT1G02020	1929	0.502333	cellular_organisms
AT1G02030	804	0.475124	Streptophyta
AT1G02040	975	0.471795	Streptophyta
AT1G02050	1188	0.505892	cellular_organisms
AT1G02060	2133	0.440225	Eukaryota
AT1G02065	1002	0.55489	Viridiplantae
AT1G02067	222	0.459459	Arabidopsis_thaliana
AT1G02070	396	0.517677	Embryophyta
AT1G02080	7296	0.43051	Eukaryota
AT1G02090	783	0.472542	Eukaryota
AT1G02100	999	0.428428	Eukaryota
AT1G02110	2112	0.539773	Embryophyta
AT1G02120	1797	0.449082	Eukaryota
AT1G02130	612	0.424837	cellular_organisms
AT1G02140	453	0.461369	Eukaryota
AT1G02145	1482	0.412955	cellular_organisms
AT1G02150	1575	0.492063	Eukaryota
AT1G02160	216	0.476852	Viridiplantae
AT1G02170	1104	0.519928	cellular_organisms
AT1G02180	681	0.469897	Tracheophyta
AT1G02190	1884	0.514862	cellular_organisms
AT1G02205	1878	0.482428	cellular_organisms
AT1G02210	264	0.344697	Streptophytina
AT1G02220	1185	0.419409	Streptophytina
AT1G02230	1080	0.413889	Streptophytina
AT1G02250	1089	0.419651	Streptophytina
AT1G02260	1509	0.455268	cellular_organisms
AT1G02270	1455	0.41512	Eukaryota
AT1G02280	894	0.427293	cellular_organisms
AT1G02290	1332	0.422673	Eukaryota
AT1G02300	1140	0.422807	cellular_organisms
AT1G02305	1089	0.426997	cellular_organisms
AT1G02310	1236	0.444175	cellular_organisms
AT1G02320	147	0.367347	Arabidopsis_thaliana
AT1G02330	840	0.436905	Eukaryota
AT1G02335	660	0.459091	cellular_organisms
AT1G02340	879	0.409556	Streptophyta
AT1G02350	423	0.439716	Arabidopsis_thaliana
AT1G02360	819	0.472527	cellular_organisms
AT1G02370	1614	0.439281	Eukaryota
AT1G02380	696	0.431034	Magnoliophyta
AT1G02390	1593	0.443189	cellular_organisms
AT1G02400	990	0.459596	cellular_organisms
AT1G02405	405	0.520988	Brassicaceae
AT1G02410	864	0.425926	cellular_organisms
AT1G02420	1476	0.405827	Eukaryota
AT1G02430	573	0.438045	cellular_organisms
AT1G02440	573	0.438045	cellular_organisms
AT1G02450	429	0.41958	Pentapetalae
AT1G02460	1476	0.46206	cellular_organisms
AT1G02470	663	0.401207	cellular_organisms
AT1G02475	660	0.419697	cellular_organisms
AT1G02490	117	0.452991	Arabidopsis_thaliana
AT1G02500	1182	0.500846	cellular_organisms
AT1G02510	855	0.444444	cellular_organisms
AT1G02520	3837	0.448527	cellular_organisms
AT1G02530	3822	0.448456	cellular_organisms
AT1G02540	873	0.413517	Brassicaceae
AT1G02550	729	0.507545	Embryophyta
AT1G02560	897	0.455964	cellular_organisms
AT1G02570	837	0.445639	Mesangiospermae
AT1G02575	831	0.438026	Mesangiospermae
AT1G02580	2070	0.419807	cellular_organisms
AT1G02590	270	0.425926	cellular_organisms
AT1G02610	666	0.373874	Eukaryota
AT1G02620	369	0.433604	Eukaryota
AT1G02630	1170	0.44188	Eukaryota
AT1G02640	2307	0.494582	cellular_organisms
AT1G02650	1542	0.46952	Viridiplantae
AT1G02660	2142	0.451914	cellular_organisms
AT1G02670	2037	0.439863	cellular_organisms
AT1G02680	381	0.446194	Eukaryota
AT1G02690	1617	0.461348	Eukaryota
AT1G02700	744	0.502688	Magnoliophyta
AT1G02705	426	0.523474	Brassicaceae
AT1G02710	291	0.601375	Arabidopsis_thaliana
AT1G02720	1086	0.46593	cellular_organisms
AT1G02730	3546	0.456571	cellular_organisms
AT1G02740	984	0.429878	Eukaryota
AT1G02750	666	0.403904	Streptophyta
AT1G02770	951	0.451104	Pentapetalae
AT1G02780	645	0.500775	cellular_organisms
AT1G02790	1269	0.461781	cellular_organisms
AT1G02800	1506	0.472776	cellular_organisms
AT1G02810	1740	0.468966	cellular_organisms
AT1G02813	450	0.464444	Streptophyta
AT1G02816	501	0.443114	Streptophyta
AT1G02820	276	0.521739	Magnoliophyta
AT1G02830	384	0.432292	Eukaryota
AT1G02840	819	0.504274	cellular_organisms
AT1G02850	1413	0.441614	cellular_organisms
AT1G02860	1008	0.423611	Eukaryota
AT1G02870	582	0.463918	Eukaryota
AT1G02880	594	0.407407	cellular_organisms
AT1G02890	3741	0.442662	cellular_organisms
AT1G02900	363	0.473829	Embryophyta
AT1G02910	1362	0.468429	cellular_organisms
AT1G02920	630	0.44127	cellular_organisms
AT1G02930	627	0.443381	cellular_organisms
AT1G02940	771	0.439689	cellular_organisms
AT1G02950	732	0.422131	cellular_organisms
AT1G02960	1416	0.415254	Streptophyta
AT1G02965	489	0.441718	Brassicaceae
AT1G02970	1503	0.429807	cellular_organisms
AT1G02980	2229	0.425751	Eukaryota
AT1G02990	3717	0.40382	Streptophyta
AT1G03000	2826	0.440906	cellular_organisms
AT1G03010	1905	0.414698	Eukaryota
AT1G03020	309	0.456311	cellular_organisms
AT1G03030	906	0.434879	cellular_organisms
AT1G03040	909	0.486249	Eukaryota
