ID	len	gc	PS	Presence
mikado.1G1	1431	0.438155	Embryophyta	match
mikado.1G10	1938	0.430857	Eukaryota	match
mikado.1G100	951	0.43428	Eukaryota	no-match
mikado.1G101	1305	0.532567	cellular_organisms	match
mikado.1G102	2022	0.446588	Eukaryota	match
mikado.1G106	312	0.471154	Arabidopsis_thaliana	match
mikado.1G107	7134	0.429212	Eukaryota	match
mikado.1G108	957	0.421108	Eukaryota	match
mikado.1G109	2103	0.539705	Embryophyta	match
mikado.1G11	1164	0.414089	cellular_organisms	match
mikado.1G110	768	0.423177	Eukaryota	no-match
mikado.1G111	1521	0.415516	cellular_organisms	match
mikado.1G112	1575	0.492063	Eukaryota	match
mikado.1G113	1104	0.519928	cellular_organisms	match
mikado.1G114	1548	0.51615	cellular_organisms	match
mikado.1G116	1878	0.482428	cellular_organisms	match
mikado.1G120	480	0.454167	cellular_organisms	match
mikado.1G121	951	0.433228	cellular_organisms	no-match
mikado.1G123	1614	0.439281	Eukaryota	match
mikado.1G124	696	0.431034	Magnoliophyta	match
mikado.1G125	1593	0.443189	cellular_organisms	match
mikado.1G126	990	0.459596	cellular_organisms	match
mikado.1G127	864	0.425926	cellular_organisms	match
mikado.1G128	1461	0.408624	Eukaryota	match
mikado.1G129	1197	0.501253	cellular_organisms	match
mikado.1G13	318	0.374214	Arabidopsis_thaliana	no-match
mikado.1G130	3792	0.449103	cellular_organisms	match
mikado.1G131	1839	0.443719	cellular_organisms	match
mikado.1G132	1371	0.462436	cellular_organisms	match
mikado.1G133	897	0.455964	cellular_organisms	match
mikado.1G134	837	0.445639	Mesangiospermae	match
mikado.1G135	861	0.437863	Mesangiospermae	match
mikado.1G137	552	0.411232	Viridiplantae	match
mikado.1G138	366	0.377049	Streptophytina	no-match
mikado.1G14	882	0.431973	cellular_organisms	match
mikado.1G140	2307	0.494582	cellular_organisms	match
mikado.1G141	1542	0.46952	Viridiplantae	match
mikado.1G142	1992	0.435743	cellular_organisms	match
mikado.1G143	516	0.45155	Eukaryota	match
mikado.1G144	486	0.452675	Brassicaceae	no-match
mikado.1G145	1617	0.461348	Eukaryota	match
mikado.1G146	744	0.502688	Magnoliophyta	match
mikado.1G147	492	0.5	Brassicaceae	match
mikado.1G148	1086	0.46593	cellular_organisms	match
mikado.1G15	1431	0.480084	cellular_organisms	match
mikado.1G150	666	0.403904	Streptophyta	match
mikado.1G151	1740	0.468966	cellular_organisms	match
mikado.1G153	912	0.507675	cellular_organisms	match
mikado.1G154	1494	0.440428	cellular_organisms	match
mikado.1G155	1008	0.423611	Eukaryota	match
mikado.1G159	1503	0.429807	cellular_organisms	match
mikado.1G16	339	0.530973	Eukaryota	match
mikado.1G160	2229	0.425751	Eukaryota	match
mikado.1G161	1905	0.414698	Eukaryota	match
mikado.1G162	906	0.434879	cellular_organisms	match
mikado.1G163	675	0.472593	Eukaryota	no-match
mikado.1G164	1134	0.444444	Streptophyta	match
mikado.1G165	744	0.459677	cellular_organisms	match
mikado.1G166	2166	0.454294	cellular_organisms	match
mikado.1G167	1005	0.433831	cellular_organisms	match
mikado.1G168	549	0.537341	Streptophyta	match
mikado.1G169	525	0.415238	cellular_organisms	match
mikado.1G17	1581	0.483238	Streptophyta	match
mikado.1G170	1743	0.425703	cellular_organisms	no-match
mikado.1G171	762	0.43832	Magnoliophyta	match
mikado.1G172	798	0.433584	Viridiplantae	match
mikado.1G173	1737	0.438687	cellular_organisms	no-match
mikado.1G175	945	0.444444	cellular_organisms	match
mikado.1G176	1302	0.511521	Viridiplantae	match
mikado.1G177	1305	0.511111	Viridiplantae	match
mikado.1G178	1500	0.441333	cellular_organisms	match
mikado.1G179	1440	0.448611	cellular_organisms	match
mikado.1G18	1416	0.471045	cellular_organisms	match
mikado.1G180	1704	0.409038	Streptophyta	no-match
mikado.1G181	2649	0.423179	cellular_organisms	match
mikado.1G182	573	0.460733	Brassicaceae	match
mikado.1G183	1158	0.425734	Magnoliophyta	match
mikado.1G184	969	0.45614	cellular_organisms	match
