qseqid	mrca_name
case38a_00024809-RA	cellular_organisms
case38a_00024799-RA	cellular_organisms
case38a_00024818-RA	cellular_organisms
case38a_00024795-RA	cellular_organisms
case38a_00024797-RA	cellular_organisms
case38a_00024791-RA	cellular_organisms
case38a_00024811-RA	cellular_organisms
case38a_00024792-RA	cellular_organisms
case38a_00024814-RA	cellular_organisms
case38a_00024813-RA	cellular_organisms
case38a_00024794-RA	cellular_organisms
case38a_00024806-RA	cellular_organisms
case38a_00024793-RA	cellular_organisms
case38a_00024803-RA	cellular_organisms
case38a_00024805-RA	cellular_organisms
case38a_00024804-RA	cellular_organisms
case38a_00024815-RA	cellular_organisms
case38a_00024796-RA	cellular_organisms
case38a_00024800-RA	cellular_organisms
case38a_00024652-RA	cellular_organisms
case38a_00024660-RA	cellular_organisms
case38a_00024641-RA	cellular_organisms
case38a_00024659-RA	cellular_organisms
case38a_00024566-RA	cellular_organisms
case38a_00024576-RA	cellular_organisms
case38a_00024654-RA	cellular_organisms
case38a_00024772-RA	cellular_organisms
case38a_00024756-RA	cellular_organisms
case38a_00024726-RA	cellular_organisms
case38a_00024740-RA	cellular_organisms
case38a_00024734-RA	cellular_organisms
case38a_00024751-RA	cellular_organisms
case38a_00024605-RA	cellular_organisms
case38a_00024687-RA	cellular_organisms
case38a_00001469-RA	cellular_organisms
case38a_00001472-RA	cellular_organisms
case38a_00001478-RA	cellular_organisms
case38a_00001105-RA	cellular_organisms
case38a_00001094-RA	cellular_organisms
case38a_00001115-RA	cellular_organisms
case38a_00000068-RA	cellular_organisms
case38a_00000066-RA	cellular_organisms
case38a_00000063-RA	cellular_organisms
case38a_00000062-RA	cellular_organisms
case38a_00000072-RA	cellular_organisms
case38a_00001180-RA	cellular_organisms
case38a_00001175-RA	cellular_organisms
case38a_00001184-RA	cellular_organisms
case38a_00001189-RA	cellular_organisms
case38a_00001188-RA	cellular_organisms
case38a_00001176-RA	cellular_organisms
case38a_00001612-RA	cellular_organisms
case38a_00001625-RA	cellular_organisms
case38a_00001615-RA	cellular_organisms
case38a_00001613-RA	cellular_organisms
case38a_00001360-RA	cellular_organisms
case38a_00001355-RA	cellular_organisms
case38a_00001353-RA	cellular_organisms
case38a_00000498-RA	cellular_organisms
case38a_00000513-RA	cellular_organisms
case38a_00000511-RA	cellular_organisms
case38a_00001852-RA	cellular_organisms
case38a_00001849-RA	cellular_organisms
case38a_00001851-RA	cellular_organisms
case38a_00001850-RA	cellular_organisms
case38a_00001842-RA	cellular_organisms
case38a_00001056-RA	cellular_organisms
case38a_00001050-RA	cellular_organisms
case38a_00001051-RA	cellular_organisms
case38a_00001044-RA	cellular_organisms
case38a_00001046-RA	cellular_organisms
case38a_00001125-RA	cellular_organisms
case38a_00001154-RA	cellular_organisms
case38a_00001138-RA	cellular_organisms
case38a_00001123-RA	cellular_organisms
case38a_00001136-RA	cellular_organisms
case38a_00001124-RA	cellular_organisms
case38a_00001127-RA	cellular_organisms
case38a_00001130-RA	cellular_organisms
case38a_00001768-RA	cellular_organisms
