ID	len	gc	PS	Presence
mikado.1G10	5730	0.437696	cellular_organisms	match
mikado.1G100	975	0.414359	Eukaryota	match
mikado.1G1000	1560	0.448718	Eukaryota	match
mikado.1G10000	627	0.413078	Embryophyta	match
mikado.1G10001	462	0.383117	Pentapetalae	no-match
mikado.1G10002	2178	0.450872	cellular_organisms	match
mikado.1G10003	816	0.422794	Embryophyta	no-match
mikado.1G10005	1368	0.429825	Eukaryota	match
mikado.1G10007	1785	0.434734	cellular_organisms	match
mikado.1G10008	1914	0.42581	Eukaryota	match
mikado.1G10009	1506	0.452191	cellular_organisms	match
mikado.1G1001	3003	0.402264	Eukaryota	match
mikado.1G10010	567	0.469136	Embryophyta	match
mikado.1G10011	948	0.436709	Streptophytina	no-match
mikado.1G10013	714	0.411765	cellular_organisms	match
mikado.1G10014	351	0.48433	Arabidopsis	match
mikado.1G10015	351	0.39886	Arabidopsis_thaliana	no-match
mikado.1G10018	2289	0.456094	cellular_organisms	match
mikado.1G10019	570	0.466667	Eukaryota	match
mikado.1G1002	3528	0.419501	Eukaryota	match
mikado.1G10021	2031	0.42196	cellular_organisms	match
mikado.1G10023	318	0.399371	Magnoliophyta	match
mikado.1G10024	234	0.397436	Arabidopsis_thaliana	match
mikado.1G10025	564	0.485816	Tracheophyta	match
mikado.1G10026	210	0.457143	Arabidopsis_thaliana	no-match
mikado.1G10028	291	0.494845	Magnoliophyta	match
mikado.1G10029	903	0.421927	Eukaryota	match
mikado.1G10030	936	0.436966	Eukaryota	match
mikado.1G10031	1470	0.432653	Eukaryota	match
mikado.1G10034	684	0.429825	Embryophyta	match
mikado.1G10035	720	0.459722	Streptophyta	match
mikado.1G10036	1305	0.43908	cellular_organisms	no-match
mikado.1G1004	318	0.443396	Arabidopsis_thaliana	no-match
mikado.1G10040	957	0.525601	cellular_organisms	match
mikado.1G10041	8718	0.436224	cellular_organisms	match
mikado.1G10042	1308	0.428899	Viridiplantae	match
mikado.1G10043	630	0.436508	Eukaryota	match
mikado.1G10044	1086	0.436464	cellular_organisms	match
mikado.1G10046	231	0.467532	Mesangiospermae	match
mikado.1G10047	276	0.416667	Arabidopsis_thaliana	no-match
mikado.1G10049	618	0.425566	Embryophyta	match
mikado.1G10052	6456	0.442689	cellular_organisms	match
mikado.1G10057	1269	0.4342	cellular_organisms	match
mikado.1G10058	99	0.282828	Arabidopsis_thaliana	no-match
mikado.1G1006	825	0.506667	Eukaryota	match
mikado.1G10061	1065	0.428169	Viridiplantae	match
mikado.1G10064	1236	0.437702	Eukaryota	match
mikado.1G10065	534	0.404494	Magnoliophyta	match
mikado.1G10066	1758	0.425484	Embryophyta	match
mikado.1G10067	2055	0.423844	Embryophyta	match
mikado.1G10068	636	0.421384	Camelineae	no-match
mikado.1G10069	516	0.406977	Tracheophyta	no-match
mikado.1G10070	1383	0.438178	Embryophyta	no-match
mikado.1G10071	2037	0.430535	Embryophyta	match
mikado.1G10072	1974	0.431611	Embryophyta	match
mikado.1G10073	1728	0.436921	Magnoliophyta	match
mikado.1G10074	936	0.443376	cellular_organisms	match
mikado.1G10076	219	0.47032	Arabidopsis_thaliana	no-match
mikado.1G10077	480	0.383333	Magnoliophyta	match
mikado.1G10078	1092	0.42674	cellular_organisms	match
mikado.1G1008	1302	0.429339	Eukaryota	no-match
mikado.1G10080	1818	0.442794	Eukaryota	match
mikado.1G10081	348	0.439655	Pentapetalae	no-match
mikado.1G10082	351	0.430199	Mesangiospermae	no-match
mikado.1G10084	1932	0.447723	cellular_organisms	match
mikado.1G10086	276	0.394928	Arabidopsis_thaliana	no-match
mikado.1G10087	1173	0.439045	cellular_organisms	no-match
mikado.1G10089	312	0.378205	Arabidopsis_thaliana	no-match
mikado.1G1009	1770	0.422599	cellular_organisms	match
mikado.1G10090	555	0.410811	Magnoliophyta	match
mikado.1G10092	378	0.420635	cellular_organisms	no-match
mikado.1G10094	957	0.452456	Eukaryota	match
mikado.1G10095	798	0.424812	Viridiplantae	match
mikado.1G10096	5451	0.451293	Eukaryota	match
mikado.1G10097	2664	0.422297	cellular_organisms	no-match
mikado.1G10098	450	0.464444	Arabidopsis_thaliana	no-match
mikado.1G10099	351	0.467236	Arabidopsis_thaliana	no-match
mikado.1G101	762	0.402887	Eukaryota	match
mikado.1G1010	756	0.439153	cellular_organisms	match
mikado.1G10101	1650	0.482424	cellular_organisms	match
mikado.1G10102	1668	0.502998	cellular_organisms	match
mikado.1G10103	426	0.511737	Arabidopsis_thaliana	no-match
mikado.1G10107	1338	0.476084	cellular_organisms	match
mikado.1G1011	336	0.452381	Eukaryota	match
mikado.1G10112	1824	0.474781	Eukaryota	match
mikado.1G10113	1458	0.44513	Eukaryota	match
mikado.1G10114	423	0.349882	Brassicaceae	no-match
mikado.1G10116	3501	0.459869	cellular_organisms	match
mikado.1G10117	2379	0.449348	cellular_organisms	match
mikado.1G10119	564	0.473404	Viridiplantae	match
mikado.1G1012	1224	0.461601	Eukaryota	match
mikado.1G10120	1524	0.422572	Eukaryota	match
mikado.1G10122	1092	0.404762	Eukaryota	match
mikado.1G10123	942	0.399151	Magnoliophyta	match
mikado.1G10124	447	0.496644	Arabidopsis_thaliana	match
mikado.1G10126	303	0.372937	Arabidopsis_thaliana	no-match
mikado.1G10129	327	0.366972	Arabidopsis	match
mikado.1G1013	1548	0.5323	cellular_organisms	match
mikado.1G10130	1557	0.433526	cellular_organisms	match
mikado.1G10131	1878	0.414803	Eukaryota	match
mikado.1G10134	2040	0.430392	Embryophyta	match
mikado.1G10136	219	0.452055	Arabidopsis_thaliana	match
mikado.1G10137	2637	0.431551	cellular_organisms	match
mikado.1G10138	2304	0.445747	Viridiplantae	no-match
mikado.1G10139	216	0.444444	Arabidopsis_thaliana	match
mikado.1G1014	492	0.46748	Tracheophyta	match
mikado.1G10140	1776	0.426802	Eukaryota	match
mikado.1G10142	1557	0.461143	Eukaryota	match
mikado.1G10144	432	0.472222	Magnoliophyta	match
mikado.1G10145	2769	0.433008	Eukaryota	match
mikado.1G10146	1596	0.41416	cellular_organisms	match
mikado.1G10147	1764	0.462585	Streptophytina	match
mikado.1G10148	330	0.336364	Pentapetalae	no-match
mikado.1G10149	1482	0.416329	Eukaryota	match
mikado.1G1015	1788	0.434004	cellular_organisms	match
mikado.1G10151	978	0.416155	Eukaryota	match
mikado.1G10152	2190	0.460274	cellular_organisms	match
mikado.1G10155	645	0.364341	Arabidopsis_thaliana	no-match
mikado.1G10156	2259	0.449757	Eukaryota	match
