"qseqid"	"strata"	"MIND"	"BIND"	"DirInf"	"Maker"	"Braker"	"Araport11"
"AT1G01010.1"	"Eukaryota"	1	1	1	1	1	1
"AT1G01020.1"	"Eukaryota"	1	1	1	1	1	1
"AT1G01020.2"	"Eukaryota"	1	1	1	1	1	1
"AT1G01020.3"	"Eukaryota"	1	1	1	1	1	1
"AT1G01020.4"	"Eukaryota"	1	1	1	1	1	1
"AT1G01020.5"	"Eukaryota"	1	1	1	1	1	1
"AT1G01020.6"	"Tracheophyta"	1	1	1	1	1	1
"AT1G01030.1"	"Eukaryota"	1	1	1	1	1	1
"AT1G01030.2"	"Eukaryota"	1	1	1	1	1	1
"AT1G01040.1"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01040.2"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01050.1"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01050.2"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01060.1"	"Eukaryota"	1	1	1	1	1	1
"AT1G01060.2"	"Eukaryota"	1	1	1	1	1	1
"AT1G01060.3"	"Eukaryota"	1	1	1	1	1	1
"AT1G01060.4"	"Eukaryota"	1	1	1	1	1	1
"AT1G01060.5"	"Eukaryota"	1	1	1	1	1	1
"AT1G01060.6"	"Eukaryota"	1	1	1	1	1	1
"AT1G01060.7"	"Eukaryota"	1	1	1	1	1	1
"AT1G01060.8"	"Eukaryota"	1	1	1	1	1	1
"AT1G01070.1"	"Eukaryota"	1	1	1	1	1	1
"AT1G01070.2"	"Eukaryota"	1	1	1	1	1	1
"AT1G01080.1"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01080.2"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01080.3"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01090.1"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01100.1"	"Eukaryota"	1	1	1	1	1	1
"AT1G01100.2"	"Eukaryota"	1	1	1	1	1	1
"AT1G01100.3"	"Eukaryota"	1	1	1	1	1	1
"AT1G01100.4"	"Eukaryota"	1	1	1	1	1	1
"AT1G01110.1"	"Eukaryota"	1	1	1	1	1	1
"AT1G01110.2"	"Eukaryota"	1	1	1	1	1	1
"AT1G01120.1"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01130.1"	"Eukaryota"	1	1	1	1	1	1
"AT1G01140.1"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01140.2"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01140.3"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01150.1"	"Eukaryota"	1	1	1	1	1	1
"AT1G01150.2"	"Tracheophyta"	1	1	1	1	1	1
"AT1G01150.3"	"Eukaryota"	1	1	1	1	1	1
"AT1G01160.1"	"Eukaryota"	1	1	1	1	1	1
"AT1G01160.2"	"Eukaryota"	1	1	1	1	1	1
"AT1G01170.1"	"Eukaryota"	1	1	1	1	1	1
"AT1G01170.2"	"Eukaryota"	1	1	1	1	1	1
"AT1G01180.1"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01190.1"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01190.2"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01200.1"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01210.1"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01210.2"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01210.3"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01220.1"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01220.2"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01220.3"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01220.4"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01220.5"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01220.6"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01220.7"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01220.8"	"Cellular Organisms"	1	1	1	1	1	1
"AT1G01225.1"	"Eukaryota"	1	1	1	1	1	1
"AT1G01230.1"	"Eukaryota"	1	1	1	1	1	1
"AT1G01240.1"	"Tracheophyta"	1	1	1	1	1	1
"AT1G01240.2"	"Tracheophyta"	1	1	1	1	1	1
"AT1G01240.3"	"Tracheophyta"	1	1	1	1	1	1
"AT1G01240.4"	"Tracheophyta"	1	1	1	1	1	1
