ID	len	gc	PS	Presence
g1	1290	0.441085	Embryophyta	match
g10	1287	0.486402	cellular_organisms	match
g100	1230	0.434959	Eukaryota	match
g1000	459	0.396514	Mesangiospermae	match
g10000	2133	0.393343	Viridiplantae	no-match
g10001	978	0.411043	Streptophyta	no-match
g10002	801	0.463171	Viridiplantae	no-match
g10003	315	0.511111	Arabidopsis_thaliana	no-match
g10004	876	0.391553	Viridiplantae	no-match
g10005	1524	0.463255	Embryophyta	no-match
g10006	1017	0.477876	Magnoliophyta	no-match
g10007	345	0.44058	Magnoliophyta	no-match
g10008	618	0.444984	Magnoliophyta	no-match
g10009	402	0.405473	Magnoliophyta	no-match
g1001	618	0.509709	Viridiplantae	match
g10010	2097	0.413925	cellular_organisms	no-match
g10011	204	0.544118	Arabidopsis_thaliana	no-match
g10012	318	0.421384	Brassicaceae	no-match
g10013	627	0.507177	Brassicaceae	no-match
g10014	417	0.450839	Arabidopsis_thaliana	match
g10015	1185	0.439662	Brassicaceae	no-match
g10016	759	0.405797	Eukaryota	no-match
g10017	315	0.438095	Brassicaceae	no-match
g10018	537	0.404097	Brassicaceae	no-match
g10019	468	0.461538	Magnoliophyta	no-match
g1002	780	0.465385	cellular_organisms	match
g10020	1431	0.497554	Mesangiospermae	no-match
g10021	1398	0.433476	cellular_organisms	match
g10022	1590	0.418868	Eukaryota	no-match
g10023	321	0.454829	Arabidopsis_thaliana	match
g10024	510	0.403922	Arabidopsis_thaliana	no-match
g10025	540	0.388889	Magnoliophyta	no-match
g10026	1140	0.433333	Pentapetalae	no-match
g10027	246	0.48374	Arabidopsis_thaliana	no-match
g10028	234	0.478632	Arabidopsis_thaliana	no-match
g10029	390	0.446154	Brassicaceae	no-match
g1003	618	0.478964	Streptophyta	match
g10030	288	0.503472	Arabidopsis_thaliana	no-match
g10031	477	0.48847	Arabidopsis_thaliana	match
g10032	426	0.373239	Magnoliophyta	no-match
g10033	549	0.373406	Arabidopsis_thaliana	no-match
g10034	873	0.372279	Arabidopsis_thaliana	no-match
g10035	633	0.459716	Viridiplantae	match
g10036	567	0.467372	Streptophytina	match
g10037	711	0.448664	Mesangiospermae	no-match
g10038	606	0.534653	Arabidopsis_thaliana	no-match
g10039	657	0.508371	Arabidopsis_thaliana	no-match
g1004	3087	0.421121	cellular_organisms	match
g10040	1356	0.465339	Eukaryota	no-match
g10041	1122	0.45098	Eukaryota	no-match
g10042	522	0.477011	Magnoliophyta	no-match
g10043	780	0.508974	Brassicaceae	no-match
g10044	525	0.394286	Mesangiospermae	no-match
g10045	975	0.393846	Eukaryota	no-match
g10046	663	0.401207	Eukaryota	no-match
g10047	414	0.396135	Eukaryota	no-match
g10048	570	0.359649	Viridiplantae	no-match
g10049	642	0.4081	Eukaryota	no-match
g1005	543	0.447514	cellular_organisms	match
g10050	375	0.384	Brassicaceae	no-match
g10051	390	0.438462	Tracheophyta	no-match
g10052	606	0.440594	Embryophyta	no-match
g10053	645	0.452713	Arabidopsis_thaliana	no-match
g10054	1302	0.420123	Eukaryota	no-match
g10055	1296	0.400463	Eukaryota	no-match
g10056	726	0.421488	cellular_organisms	no-match
g10057	468	0.538462	Arabidopsis_thaliana	no-match
g10058	1095	0.458447	Magnoliophyta	no-match
g10059	357	0.501401	Arabidopsis_thaliana	no-match
g1006	1818	0.435094	cellular_organisms	match
g10060	546	0.432234	Magnoliophyta	no-match
g10061	603	0.419569	cellular_organisms	no-match
g10062	1095	0.479452	Brassicaceae	no-match
g10063	663	0.444947	Brassicaceae	no-match
g10064	297	0.410774	Arabidopsis_thaliana	no-match
g10065	888	0.415541	cellular_organisms	no-match
g10066	714	0.413165	Streptophytina	no-match
g10067	3594	0.449917	cellular_organisms	no-match
g10068	696	0.468391	Brassicaceae	no-match
g10069	696	0.45977	Brassicaceae	no-match
g1007	1590	0.449057	cellular_organisms	match
g10070	630	0.501587	Camelineae	no-match
g10071	3537	0.434266	Eukaryota	no-match
g10072	1539	0.478882	cellular_organisms	match
g10073	2562	0.432084	cellular_organisms	no-match
g10074	612	0.44281	Magnoliophyta	no-match
g10075	300	0.536667	Arabidopsis_thaliana	no-match
g10076	3363	0.400535	Viridiplantae	no-match
g10077	2238	0.433423	Magnoliophyta	no-match
g10078	675	0.499259	Mesangiospermae	no-match
g10079	3684	0.419653	Viridiplantae	no-match
g1008	531	0.457627	Magnoliophyta	match
g10080	1026	0.437622	Magnoliophyta	no-match
g10081	300	0.523333	Arabidopsis_thaliana	no-match
g10082	273	0.432234	cellular_organisms	match
g10083	645	0.497674	Mesangiospermae	no-match
g10084	522	0.544061	Brassicaceae	no-match
g10085	2667	0.401575	Viridiplantae	no-match
g10086	300	0.48	Arabidopsis_thaliana	no-match
g10087	228	0.460526	Arabidopsis_thaliana	no-match
g10088	987	0.417427	Magnoliophyta	no-match
g10089	1035	0.423188	Magnoliophyta	no-match
g1009	501	0.48503	Embryophyta	match
g10090	309	0.456311	Arabidopsis_thaliana	no-match
g10091	1602	0.473159	Brassicaceae	no-match
g10092	276	0.467391	Arabidopsis_thaliana	no-match
g10093	261	0.398467	malvids	no-match
g10094	294	0.408163	Mesangiospermae	no-match
g10095	2313	0.393861	cellular_organisms	no-match
g10096	465	0.434409	Mesangiospermae	no-match
g10097	510	0.492157	Arabidopsis_thaliana	no-match
g10098	303	0.442244	Arabidopsis_thaliana	no-match
g10099	1311	0.411899	Magnoliophyta	no-match
g101	1626	0.509225	cellular_organisms	match
g1010	273	0.388278	Viridiplantae	no-match
g10100	369	0.441734	malvids	no-match
g10101	3225	0.501085	Eukaryota	no-match
g10102	726	0.483471	Eukaryota	no-match
g10103	633	0.537125	cellular_organisms	no-match
g10104	495	0.478788	Eukaryota	no-match
g10105	360	0.455556	Mesangiospermae	no-match
g10106	2736	0.552266	cellular_organisms	no-match
g10107	465	0.522581	Arabidopsis_thaliana	no-match
g10108	927	0.518878	Arabidopsis	no-match
g10109	798	0.399749	Magnoliophyta	no-match
g1011	1620	0.431481	cellular_organisms	match
g10110	2337	0.427043	Magnoliophyta	no-match
g10111	1626	0.439729	Viridiplantae	match
g10112	258	0.449612	Arabidopsis_thaliana	match
g10113	327	0.446483	Arabidopsis_thaliana	no-match
g10114	249	0.481928	Arabidopsis_thaliana	no-match
g10115	756	0.367725	Pentapetalae	no-match
g10116	1446	0.38036	Magnoliophyta	no-match
g10117	609	0.458128	Arabidopsis	no-match
g10118	213	0.483568	Arabidopsis_thaliana	no-match
g10119	606	0.359736	Streptophytina	no-match
g1012	924	0.474026	cellular_organisms	match
g10120	402	0.460199	Brassicaceae	no-match
g10121	282	0.393617	Arabidopsis_thaliana	no-match
g10122	324	0.410494	Streptophytina	no-match
g10123	1017	0.402163	Mesangiospermae	no-match
g10124	354	0.50565	Arabidopsis_thaliana	no-match
g10125	222	0.563063	Arabidopsis_thaliana	no-match
g10126	318	0.490566	Magnoliophyta	no-match
g10127	366	0.47541	Magnoliophyta	no-match
g10128	336	0.443452	Eukaryota	no-match
g10129	306	0.496732	Arabidopsis_thaliana	no-match
g1013	2094	0.470869	Eukaryota	match
g10130	387	0.4677	Arabidopsis_thaliana	no-match
g10131	1188	0.540404	Brassicaceae	no-match
g10132	315	0.501587	Arabidopsis_thaliana	match
g10133	750	0.461333	Tracheophyta	match
