qseqid	mrca_name
case6_00025106-RA	cellular_organisms
case6_00025119-RA	cellular_organisms
case6_00025118-RA	cellular_organisms
case6_00025105-RA	cellular_organisms
case6_00025110-RA	cellular_organisms
case6_00025113-RA	cellular_organisms
case6_00025114-RA	cellular_organisms
case6_00025094-RA	cellular_organisms
case6_00025116-RA	cellular_organisms
case6_00025096-RA	cellular_organisms
case6_00025104-RA	cellular_organisms
case6_00025097-RA	cellular_organisms
case6_00025095-RA	cellular_organisms
case6_00025107-RA	cellular_organisms
case6_00025112-RA	cellular_organisms
case6_00025111-RA	cellular_organisms
case6_00025075-RA	cellular_organisms
case6_00025079-RA	cellular_organisms
case6_00025090-RA	cellular_organisms
case6_00025086-RA	cellular_organisms
case6_00025081-RA	cellular_organisms
case6_00021237-RA	cellular_organisms
case6_00021245-RA	cellular_organisms
case6_00021246-RA	cellular_organisms
case6_00021263-RA	cellular_organisms
case6_00021281-RA	cellular_organisms
case6_00021280-RA	cellular_organisms
case6_00021284-RA	cellular_organisms
case6_00021278-RA	cellular_organisms
case6_00021271-RA	cellular_organisms
case6_00021292-RA	cellular_organisms
case6_00021317-RA	cellular_organisms
case6_00021309-RA	cellular_organisms
case6_00021314-RA	cellular_organisms
case6_00021307-RA	cellular_organisms
case6_00021313-RA	cellular_organisms
case6_00021306-RA	cellular_organisms
case6_00021310-RA	cellular_organisms
case6_00021347-RA	cellular_organisms
case6_00021324-RA	cellular_organisms
case6_00021353-RA	cellular_organisms
case6_00021412-RA	cellular_organisms
case6_00021397-RA	cellular_organisms
case6_00021392-RA	cellular_organisms
case6_00021393-RA	cellular_organisms
case6_00021391-RA	cellular_organisms
case6_00021437-RA	cellular_organisms
case6_00021434-RA	cellular_organisms
case6_00021458-RA	cellular_organisms
case6_00021460-RA	cellular_organisms
case6_00021468-RA	cellular_organisms
case6_00021451-RA	cellular_organisms
case6_00021455-RA	cellular_organisms
case6_00021448-RA	cellular_organisms
case6_00021449-RA	cellular_organisms
case6_00021459-RA	cellular_organisms
case6_00021505-RA	cellular_organisms
case6_00021499-RA	cellular_organisms
case6_00021500-RA	cellular_organisms
case6_00021524-RA	cellular_organisms
case6_00021523-RA	cellular_organisms
case6_00021515-RA	cellular_organisms
case6_00021475-RA	cellular_organisms
case6_00021482-RA	cellular_organisms
case6_00021487-RA	cellular_organisms
case6_00021480-RA	cellular_organisms
case6_00021535-RA	cellular_organisms
case6_00021540-RA	cellular_organisms
case6_00021538-RA	cellular_organisms
case6_00021566-RA	cellular_organisms
case6_00021552-RA	cellular_organisms
case6_00021571-RA	cellular_organisms
case6_00021648-RA	cellular_organisms
case6_00021601-RA	cellular_organisms
case6_00021608-RA	cellular_organisms
case6_00021609-RA	cellular_organisms
case6_00021612-RA	cellular_organisms
case6_00021681-RA	cellular_organisms
case6_00021641-RA	cellular_organisms
case6_00021624-RA	cellular_organisms
case6_00021582-RA	cellular_organisms
case6_00021579-RA	cellular_organisms
case6_00021576-RA	cellular_organisms
case6_00021707-RA	cellular_organisms
case6_00021711-RA	cellular_organisms
case6_00021694-RA	cellular_organisms
case6_00021689-RA	cellular_organisms
case6_00021739-RA	cellular_organisms
case6_00021737-RA	cellular_organisms
case6_00021750-RA	cellular_organisms
case6_00021745-RA	cellular_organisms
case6_00021732-RA	cellular_organisms
case6_00021734-RA	cellular_organisms
case6_00021731-RA	cellular_organisms
case6_00021839-RA	cellular_organisms
case6_00021840-RA	cellular_organisms
case6_00021785-RA	cellular_organisms
case6_00021779-RA	cellular_organisms
case6_00021777-RA	cellular_organisms
case6_00021771-RA	cellular_organisms
case6_00021778-RA	cellular_organisms
case6_00021808-RA	cellular_organisms
case6_00021797-RA	cellular_organisms
case6_00021813-RA	cellular_organisms
case6_00021795-RA	cellular_organisms
case6_00021822-RA	cellular_organisms
case6_00021823-RA	cellular_organisms
case6_00021765-RA	cellular_organisms
case6_00021764-RA	cellular_organisms
case6_00021759-RA	cellular_organisms
case6_00021760-RA	cellular_organisms
case6_00021761-RA	cellular_organisms
case6_00021767-RA	cellular_organisms
case6_00021758-RA	cellular_organisms
case6_00021756-RA	cellular_organisms
case6_00021754-RA	cellular_organisms
case6_00021752-RA	cellular_organisms
case6_00021755-RA	cellular_organisms
case6_00021880-RA	cellular_organisms
case6_00021917-RA	cellular_organisms
case6_00021914-RA	cellular_organisms
case6_00021913-RA	cellular_organisms
case6_00021957-RA	cellular_organisms
case6_00021962-RA	cellular_organisms
case6_00021961-RA	cellular_organisms
case6_00021971-RA	cellular_organisms
case6_00021986-RA	cellular_organisms
case6_00021988-RA	cellular_organisms
case6_00021985-RA	cellular_organisms
case6_00022007-RA	cellular_organisms
case6_00021992-RA	cellular_organisms
case6_00022035-RA	cellular_organisms
case6_00022041-RA	cellular_organisms
case6_00022037-RA	cellular_organisms
case6_00022020-RA	cellular_organisms
case6_00022083-RA	cellular_organisms
