qseqid	mrca_name
mikado.1G5051.1_1	cellular_organisms
mikado.5G9535.2_1	cellular_organisms
mikado.2G5646.1_1	cellular_organisms
mikado.1G4806.1_1	cellular_organisms
mikado.3G11059.1_1	cellular_organisms
mikado.3G3330.1_1	cellular_organisms
mikado.5G10299.1_1	cellular_organisms
mikado.1G171.2_1	cellular_organisms
mikado.2G3982.1_1	cellular_organisms
mikado.4G8994.1_1	cellular_organisms
mikado.4G6033.1_1	cellular_organisms
mikado.5G109.1_1	cellular_organisms
mikado.2G6669.1_1	cellular_organisms
mikado.2G6542.1_1	cellular_organisms
mikado.5G10490.1_1	cellular_organisms
mikado.4G9157.1_1	cellular_organisms
mikado.2G6314.2_1	cellular_organisms
mikado.1G2541.3_1	cellular_organisms
mikado.4G7217.2_1	cellular_organisms
mikado.4G18.1_1	cellular_organisms
mikado.2G6391.1_1	cellular_organisms
mikado.1G3404.1_1	cellular_organisms
mikado.5G396.1_1	cellular_organisms
mikado.1G562.1_1	cellular_organisms
mikado.4G5784.1_1	cellular_organisms
mikado.1G29.1_1	cellular_organisms
mikado.1G1404.1_1	cellular_organisms
mikado.5G12496.1_1	cellular_organisms
mikado.4G8490.1_1	cellular_organisms
mikado.3G11557.1_1	cellular_organisms
mikado.5G12110.1_1	cellular_organisms
mikado.5G176.1_1	cellular_organisms
mikado.2G6437.1_1	cellular_organisms
mikado.4G6068.1_1	cellular_organisms
mikado.2G9072.1_1	cellular_organisms
mikado.5G9501.1_1	cellular_organisms
mikado.3G1654.1_1	cellular_organisms
mikado.4G621.1_1	cellular_organisms
mikado.1G10036.2_1	cellular_organisms
mikado.4G4307.1_1	cellular_organisms
mikado.5G8758.1_1	cellular_organisms
mikado.4G8420.1_1	cellular_organisms
mikado.1G2692.1_1	cellular_organisms
mikado.4G226.1_1	cellular_organisms
mikado.3G4006.1_1	cellular_organisms
mikado.5G9431.2_1	cellular_organisms
mikado.2G167.2_1	cellular_organisms
mikado.5G2466.1_1	cellular_organisms
mikado.5G3935.1_1	cellular_organisms
mikado.2G4951.1_1	cellular_organisms
mikado.2G9590.2_1	cellular_organisms
mikado.1G11279.2_1	cellular_organisms
mikado.5G4257.1_1	cellular_organisms
mikado.3G9791.1_1	cellular_organisms
mikado.5G290.2_1	cellular_organisms
mikado.4G695.1_1	cellular_organisms
mikado.3G5274.2_1	cellular_organisms
mikado.1G6784.1_1	cellular_organisms
mikado.3G3617.1_1	cellular_organisms
mikado.3G1652.1_1	cellular_organisms
mikado.1G8908.1_1	cellular_organisms
mikado.3G3433.2_1	cellular_organisms
mikado.1G14518.1_1	cellular_organisms
mikado.4G6137.1_1	cellular_organisms
mikado.4G4651.1_1	cellular_organisms
mikado.5G488.1_1	cellular_organisms
mikado.1G11970.1_1	cellular_organisms
mikado.2G7917.2_1	cellular_organisms
mikado.4G7074.1_1	cellular_organisms
mikado.3G10572.3_1	cellular_organisms
mikado.1G2533.2_1	cellular_organisms
mikado.1G364.1_1	cellular_organisms
mikado.2G4318.1_1	cellular_organisms
mikado.3G11176.1_1	cellular_organisms
mikado.2G7418.1_1	cellular_organisms
mikado.5G2239.1_1	cellular_organisms
mikado.2G5840.1_1	cellular_organisms
mikado.3G11460.2_1	cellular_organisms
mikado.1G3475.1_1	cellular_organisms
mikado.1G2127.1_1	cellular_organisms
mikado.3G2759.1_1	cellular_organisms
mikado.4G4072.1_1	cellular_organisms
mikado.5G11440.1_1	cellular_organisms
mikado.3G3179.4_1	cellular_organisms
mikado.3G1653.1_1	cellular_organisms
mikado.5G11842.1_1	cellular_organisms
mikado.3G4611.1_1	cellular_organisms
mikado.mitochondriaG107.1_1	cellular_organisms
mikado.3G11678.1_1	cellular_organisms
mikado.1G397.1_1	cellular_organisms
mikado.2G4279.1_1	cellular_organisms
mikado.2G6379.1_1	cellular_organisms
mikado.5G9563.1_1	cellular_organisms
mikado.5G9138.1_1	cellular_organisms
mikado.5G2037.1_1	cellular_organisms
mikado.5G7016.1_1	cellular_organisms
mikado.5G8291.1_1	cellular_organisms
mikado.1G10263.1_1	cellular_organisms
mikado.5G12050.1_1	cellular_organisms
mikado.4G8051.1_1	cellular_organisms
mikado.5G13053.1_1	cellular_organisms
mikado.5G4324.1_1	cellular_organisms
mikado.1G10803.1_1	cellular_organisms
mikado.5G7978.1_1	cellular_organisms
mikado.3G10953.1_1	cellular_organisms
mikado.5G7411.1_1	cellular_organisms
mikado.3G10840.1_1	cellular_organisms
mikado.2G8898.1_1	cellular_organisms
mikado.4G3017.1_1	cellular_organisms
mikado.5G1540.1_1	cellular_organisms
