"qseqid"	"strata"	"MIND"	"BIND"	"DirInf"	"Maker"	"Braker"	"Araport11"
"AT1G01335.1"	"Arabidopsis thaliana"	0	0	0	0	0	1
"AT1G02067.1"	"Arabidopsis thaliana"	1	0	0	1	0	1
"AT1G02320.1"	"Arabidopsis thaliana"	1	1	1	0	0	1
"AT1G02350.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G02490.1"	"Arabidopsis thaliana"	1	0	0	1	0	1
"AT1G03106.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G03165.1"	"Arabidopsis thaliana"	0	0	0	1	0	1
"AT1G03200.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G03240.1"	"Arabidopsis thaliana"	1	1	1	0	1	1
"AT1G03325.1"	"Arabidopsis thaliana"	0	0	0	0	0	1
"AT1G03395.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G04105.1"	"Arabidopsis thaliana"	0	0	0	0	0	1
"AT1G04895.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G05035.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G05085.1"	"Arabidopsis thaliana"	1	1	0	1	1	1
"AT1G05450.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G05783.1"	"Arabidopsis thaliana"	1	0	0	1	0	1
"AT1G06045.1"	"Arabidopsis thaliana"	1	1	1	0	0	1
"AT1G06148.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G06148.2"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G07885.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G07885.2"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G07901.1"	"Arabidopsis thaliana"	1	0	0	1	0	1
"AT1G07902.1"	"Arabidopsis thaliana"	1	1	1	0	0	1
"AT1G08165.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G09995.2"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G09995.4"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G10395.1"	"Arabidopsis thaliana"	1	0	0	1	0	1
"AT1G10990.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G10990.2"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G11684.1"	"Arabidopsis thaliana"	0	0	0	0	0	1
"AT1G11785.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G12211.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G12411.1"	"Arabidopsis thaliana"	0	0	0	0	0	1
"AT1G13143.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
