qseqid	mrca_name
g7094.t1	cellular_organisms
g26333.t1	cellular_organisms
g15228.t1	cellular_organisms
g21045.t1	cellular_organisms
g21069.t1	cellular_organisms
g5148.t1	cellular_organisms
g234.t1	cellular_organisms
g7496.t1	cellular_organisms
g7241.t1	cellular_organisms
g23347.t1	cellular_organisms
g13089.t1	cellular_organisms
g32560.t1	cellular_organisms
g22152.t2	cellular_organisms
g25946.t1	cellular_organisms
g8396.t1	cellular_organisms
g15648.t1	cellular_organisms
g14229.t2	cellular_organisms
g23336.t1	cellular_organisms
g853.t1	cellular_organisms
g12542.t1	cellular_organisms
g28171.t1	cellular_organisms
g23514.t1	cellular_organisms
g16905.t1	cellular_organisms
g33030.t1	cellular_organisms
g20347.t1	cellular_organisms
g2208.t1	cellular_organisms
g19639.t1	cellular_organisms
g16567.t1	cellular_organisms
g21730.t1	cellular_organisms
g2382.t1	cellular_organisms
g28472.t1	cellular_organisms
g7097.t1	cellular_organisms
g7034.t1	cellular_organisms
g19926.t1	cellular_organisms
g29020.t1	cellular_organisms
g32637.t1	cellular_organisms
g33151.t1	cellular_organisms
g11395.t1	cellular_organisms
g19952.t1	cellular_organisms
g5882.t1	cellular_organisms
g6698.t1	cellular_organisms
g2141.t1	cellular_organisms
g1847.t1	cellular_organisms
g22356.t1	cellular_organisms
g23204.t1	cellular_organisms
g15823.t1	cellular_organisms
g32527.t1	cellular_organisms
g8637.t1	cellular_organisms
g28213.t1	cellular_organisms
g7202.t1	cellular_organisms
g8817.t1	cellular_organisms
g1867.t1	cellular_organisms
g11936.t1	cellular_organisms
g30637.t1	cellular_organisms
g15679.t1	cellular_organisms
g23220.t1	cellular_organisms
g15793.t1	cellular_organisms
g15607.t1	cellular_organisms
g22228.t1	cellular_organisms
g15939.t1	cellular_organisms
g2678.t1	cellular_organisms
g19097.t1	cellular_organisms
g18.t1	cellular_organisms
g14711.t1	cellular_organisms
g31106.t1	cellular_organisms
g29798.t2	cellular_organisms
g1694.t1	cellular_organisms
g16523.t1	cellular_organisms
g15293.t1	cellular_organisms
g33230.t1	cellular_organisms
g13038.t1	cellular_organisms
g6235.t1	cellular_organisms
g26418.t1	cellular_organisms
g1908.t1	cellular_organisms
g500.t1	cellular_organisms
g31920.t1	cellular_organisms
g19017.t1	cellular_organisms
g13741.t1	cellular_organisms
g14898.t1	cellular_organisms
g4987.t1	cellular_organisms
g27556.t1	cellular_organisms
g23273.t1	cellular_organisms
g28425.t1	cellular_organisms
g13144.t1	cellular_organisms
g32441.t1	cellular_organisms
g13944.t1	cellular_organisms
g28904.t1	cellular_organisms
g5764.t1	cellular_organisms
g30671.t1	cellular_organisms
g21776.t1	cellular_organisms
g13482.t1	cellular_organisms
g7529.t1	cellular_organisms
g11933.t2	cellular_organisms
g14128.t1	cellular_organisms
g24572.t1	cellular_organisms
g27139.t1	cellular_organisms
g27364.t1	cellular_organisms
g23011.t1	cellular_organisms
g22160.t1	cellular_organisms
g12058.t1	cellular_organisms
g22314.t1	cellular_organisms
g1600.t1	cellular_organisms
g11820.t1	cellular_organisms
g25117.t1	cellular_organisms
g562.t1	cellular_organisms
g33395.t1	cellular_organisms
g32142.t1	cellular_organisms
g3294.t1	cellular_organisms
g25011.t1	cellular_organisms
g20611.t1	cellular_organisms
g19541.t1	cellular_organisms
g19748.t1	cellular_organisms
g8117.t1	cellular_organisms
g6156.t1	cellular_organisms
g23146.t1	cellular_organisms
g5154.t1	cellular_organisms
g12495.t1	cellular_organisms
g13277.t1	cellular_organisms
g27640.t1	cellular_organisms
g26169.t1	cellular_organisms
g319.t1	cellular_organisms
g5514.t1	cellular_organisms
g819.t1	cellular_organisms
g33552.t1	cellular_organisms
g13096.t1	cellular_organisms
g6234.t1	cellular_organisms
g21370.t1	cellular_organisms
g10475.t1	cellular_organisms
g7113.t1	cellular_organisms
g31153.t1	cellular_organisms
g7093.t1	cellular_organisms
g2379.t1	cellular_organisms
g8004.t1	cellular_organisms
g229.t1	cellular_organisms
g22459.t1	cellular_organisms
g6328.t1	cellular_organisms
g28311.t1	cellular_organisms
g21731.t1	cellular_organisms
g10895.t1	cellular_organisms
g32345.t1	cellular_organisms
g13011.t1	cellular_organisms
g20334.t1	cellular_organisms
g802.t1	cellular_organisms
g17014.t1	cellular_organisms
g11752.t1	cellular_organisms
g7895.t1	cellular_organisms
g3607.t1	cellular_organisms
g19707.t1	cellular_organisms
g32331.t1	cellular_organisms
g589.t1	cellular_organisms
g7723.t1	cellular_organisms
g26335.t1	cellular_organisms
g15665.t1	cellular_organisms
g33073.t1	cellular_organisms
g30438.t1	cellular_organisms
g16375.t1	cellular_organisms
g11171.t1	cellular_organisms
g15905.t2	cellular_organisms
g25227.t1	cellular_organisms
g7368.t1	cellular_organisms
g11955.t1	cellular_organisms
g25778.t2	cellular_organisms
g32566.t1	cellular_organisms
g21165.t1	cellular_organisms
g683.t1	cellular_organisms
g31837.t1	cellular_organisms
g26843.t1	cellular_organisms
g31983.t1	cellular_organisms
g8021.t1	cellular_organisms
g7671.t1	cellular_organisms
g27964.t1	cellular_organisms
g22442.t1	cellular_organisms
g26295.t1	cellular_organisms
g18735.t1	cellular_organisms
g26677.t1	cellular_organisms
g16049.t1	cellular_organisms
g21454.t1	cellular_organisms
g20709.t1	cellular_organisms
g1324.t1	cellular_organisms
g31643.t1	cellular_organisms
g16045.t1	cellular_organisms
g11953.t1	cellular_organisms
g6251.t1	cellular_organisms
g3577.t1	cellular_organisms
g33481.t1	cellular_organisms
g1240.t1	cellular_organisms
g7809.t1	cellular_organisms
g7112.t1	cellular_organisms
g14101.t1	cellular_organisms
g15069.t2	cellular_organisms
g11030.t1	cellular_organisms
g8531.t1	cellular_organisms
g10658.t1	cellular_organisms
g19330.t1	cellular_organisms
