qseqid	mrca_name
g5.t1	cellular_organisms
g6.t1	cellular_organisms
g9.t1	cellular_organisms
g12.t1	cellular_organisms
g14.t1	cellular_organisms
g30.t1	cellular_organisms
g46.t1	cellular_organisms
g49.t1	cellular_organisms
g50.t1	cellular_organisms
g53.t1	cellular_organisms
g56.t1	cellular_organisms
g58.t1	cellular_organisms
g60.t1	cellular_organisms
g61.t1	cellular_organisms
g64.t1	cellular_organisms
g81.t1	cellular_organisms
g83.t1	cellular_organisms
g84.t1	cellular_organisms
g89.t1	cellular_organisms
g91.t1	cellular_organisms
g95.t1	cellular_organisms
g99.t1	cellular_organisms
g101.t1	cellular_organisms
g106.t1	cellular_organisms
g149.t1	cellular_organisms
g152.t1	cellular_organisms
g154.t1	cellular_organisms
g155.t1	cellular_organisms
g158.t1	cellular_organisms
g165.t1	cellular_organisms
g181.t1	cellular_organisms
g192.t1	cellular_organisms
g193.t1	cellular_organisms
g202.t1	cellular_organisms
g204.t1	cellular_organisms
g214.t1	cellular_organisms
g226.t1	cellular_organisms
g232.t1	cellular_organisms
g236.t1	cellular_organisms
g250.t1	cellular_organisms
g254.t1	cellular_organisms
g270.t1	cellular_organisms
g273.t1	cellular_organisms
g274.t1	cellular_organisms
g280.t1	cellular_organisms
g293.t1	cellular_organisms
g297.t1	cellular_organisms
g299.t1	cellular_organisms
g300.t1	cellular_organisms
g307.t1	cellular_organisms
g307.t2	cellular_organisms
g318.t1	cellular_organisms
g319.t1	cellular_organisms
g324.t1	cellular_organisms
g325.t1	cellular_organisms
g326.t1	cellular_organisms
g328.t1	cellular_organisms
g329.t1	cellular_organisms
g334.t1	cellular_organisms
g338.t1	cellular_organisms
g347.t1	cellular_organisms
g348.t1	cellular_organisms
g350.t1	cellular_organisms
g353.t1	cellular_organisms
g354.t1	cellular_organisms
g368.t1	cellular_organisms
g372.t1	cellular_organisms
g378.t1	cellular_organisms
g379.t1	cellular_organisms
g380.t1	cellular_organisms
g400.t1	cellular_organisms
g406.t1	cellular_organisms
g413.t1	cellular_organisms
g422.t1	cellular_organisms
g425.t1	cellular_organisms
g426.t2	cellular_organisms
g429.t1	cellular_organisms
g430.t1	cellular_organisms
g449.t1	cellular_organisms
g461.t1	cellular_organisms
g474.t1	cellular_organisms
g477.t1	cellular_organisms
g481.t1	cellular_organisms
g482.t1	cellular_organisms
g483.t1	cellular_organisms
g489.t1	cellular_organisms
g513.t1	cellular_organisms
g514.t1	cellular_organisms
g518.t1	cellular_organisms
g525.t1	cellular_organisms
g526.t1	cellular_organisms
g534.t1	cellular_organisms
g536.t1	cellular_organisms
g548.t1	cellular_organisms
g555.t1	cellular_organisms
g556.t1	cellular_organisms
g564.t1	cellular_organisms
g568.t1	cellular_organisms
g571.t1	cellular_organisms
g580.t1	cellular_organisms
g581.t1	cellular_organisms
g593.t1	cellular_organisms
g594.t1	cellular_organisms
g597.t1	cellular_organisms
g605.t1	cellular_organisms
g607.t1	cellular_organisms
g611.t1	cellular_organisms
g619.t1	cellular_organisms
g637.t1	cellular_organisms
g641.t1	cellular_organisms
g643.t1	cellular_organisms
g644.t1	cellular_organisms
g655.t1	cellular_organisms
g657.t1	cellular_organisms
g661.t1	cellular_organisms
g662.t1	cellular_organisms
g663.t1	cellular_organisms
g667.t1	cellular_organisms
g668.t1	cellular_organisms
g676.t1	cellular_organisms
g680.t1	cellular_organisms
g681.t1	cellular_organisms
g681.t2	cellular_organisms
g682.t1	cellular_organisms
g684.t1	cellular_organisms
g687.t1	cellular_organisms
g690.t1	cellular_organisms
g696.t1	cellular_organisms
g697.t1	cellular_organisms
g703.t1	cellular_organisms
g704.t1	cellular_organisms
g708.t1	cellular_organisms
g714.t1	cellular_organisms
g715.t1	cellular_organisms
g716.t1	cellular_organisms
g719.t1	cellular_organisms
g720.t1	cellular_organisms
g721.t1	cellular_organisms
g723.t1	cellular_organisms
g738.t1	cellular_organisms
g739.t1	cellular_organisms
g739.t2	cellular_organisms
g744.t1	cellular_organisms
g745.t1	cellular_organisms
g747.t1	cellular_organisms
g752.t1	cellular_organisms
g756.t1	cellular_organisms
g771.t1	cellular_organisms
g773.t1	cellular_organisms
g780.t1	cellular_organisms
g782.t1	cellular_organisms
g783.t1	cellular_organisms
g785.t1	cellular_organisms
g790.t1	cellular_organisms
g795.t1	cellular_organisms
g797.t1	cellular_organisms
g803.t1	cellular_organisms
g816.t1	cellular_organisms
g817.t1	cellular_organisms
g821.t1	cellular_organisms
g822.t1	cellular_organisms
g824.t1	cellular_organisms
g825.t1	cellular_organisms
g829.t1	cellular_organisms
g831.t1	cellular_organisms
g832.t1	cellular_organisms
g839.t1	cellular_organisms
g841.t1	cellular_organisms
g842.t1	cellular_organisms
g851.t1	cellular_organisms
g860.t1	cellular_organisms
g862.t1	cellular_organisms
g866.t1	cellular_organisms
g872.t1	cellular_organisms
g876.t1	cellular_organisms
g877.t1	cellular_organisms
g881.t1	cellular_organisms
g885.t1	cellular_organisms
g886.t1	cellular_organisms
g886.t2	cellular_organisms
g887.t1	cellular_organisms
g893.t1	cellular_organisms
g897.t1	cellular_organisms
g899.t1	cellular_organisms
g912.t1	cellular_organisms
g916.t1	cellular_organisms
g918.t1	cellular_organisms
g919.t1	cellular_organisms
g924.t1	cellular_organisms
g925.t1	cellular_organisms
g937.t1	cellular_organisms
g940.t1	cellular_organisms
g949.t1	cellular_organisms
g950.t1	cellular_organisms
g957.t1	cellular_organisms
g967.t1	cellular_organisms
g976.t3	cellular_organisms
g977.t1	cellular_organisms
g981.t1	cellular_organisms
g996.t1	cellular_organisms
g999.t1	cellular_organisms
g1001.t1	cellular_organisms
g1016.t1	cellular_organisms
g1016.t2	cellular_organisms
g1018.t1	cellular_organisms
g1021.t1	cellular_organisms
g1022.t1	cellular_organisms
g1024.t1	cellular_organisms
g1031.t1	cellular_organisms
g1036.t1	cellular_organisms
g1040.t1	cellular_organisms
g1051.t1	cellular_organisms
g1052.t1	cellular_organisms
g1060.t1	cellular_organisms
g1061.t1	cellular_organisms
g1071.t1	cellular_organisms
g1077.t1	cellular_organisms
