ID	PS	Len	GC
AT1G01010	Embryophyta	1290	0.441085
AT1G01020	Eukaryota	738	0.387534
AT1G01030	Viridiplantae	1077	0.457753
AT1G01040	cellular_organisms	5730	0.437696
AT1G01050	cellular_organisms	639	0.446009
AT1G01060	Eukaryota	1938	0.430857
AT1G01070	Viridiplantae	1098	0.418033
AT1G01080	cellular_organisms	882	0.431973
AT1G01090	cellular_organisms	1287	0.486402
AT1G01100	Eukaryota	339	0.530973
AT1G01110	Streptophyta	1584	0.482955
AT1G01120	cellular_organisms	1587	0.468809
AT1G01130	Streptophyta	375	0.482667
AT1G01140	cellular_organisms	1344	0.447173
AT1G01150	Embryophyta	1038	0.421002
AT1G01160	Eukaryota	588	0.508503
AT1G01170	Viridiplantae	252	0.456349
AT1G01180	cellular_organisms	924	0.512987
AT1G01190	cellular_organisms	1608	0.478856
AT1G01200	cellular_organisms	714	0.502801
AT1G01210	cellular_organisms	321	0.445483
AT1G01220	cellular_organisms	3168	0.444129
AT1G01225	Eukaryota	783	0.445722
AT1G01230	Eukaryota	474	0.447257
AT1G01240	Embryophyta	996	0.432731
AT1G01250	Viridiplantae	579	0.52677
AT1G01260	Streptophyta	1773	0.44106
AT1G01280	cellular_organisms	1533	0.470972
AT1G01290	cellular_organisms	813	0.426814
AT1G01300	Eukaryota	1458	0.518519
AT1G01305	Arabidopsis	426	0.420188
AT1G01310	cellular_organisms	726	0.502755
AT1G01320	cellular_organisms	5394	0.446237
AT1G01335	Arabidopsis_thaliana	123	0.373984
AT1G01340	cellular_organisms	2121	0.434701
AT1G01350	Eukaryota	1032	0.431202
AT1G01355	Tracheophyta	687	0.502183
AT1G01360	Embryophyta	564	0.441489
AT1G01370	Eukaryota	537	0.489758
AT1G01380	Viridiplantae	252	0.428571
AT1G01390	cellular_organisms	1443	0.474705
AT1G01400	Arabidopsis	615	0.484553
AT1G01410	Eukaryota	1086	0.417127
AT1G01420	cellular_organisms	1446	0.47787
AT1G01430	Streptophyta	1371	0.450766
AT1G01440	Streptophyta	1995	0.455639
AT1G01450	cellular_organisms	1413	0.422505
AT1G01453	Embryophyta	804	0.507463
AT1G01460	Eukaryota	1284	0.406542
AT1G01470	cellular_organisms	456	0.484649
AT1G01480	cellular_organisms	1491	0.452716
AT1G01490	Tracheophyta	534	0.451311
AT1G01500	Streptophyta	984	0.505081
AT1G01510	cellular_organisms	1911	0.478807
AT1G01520	Eukaryota	864	0.409722
AT1G01530	Eukaryota	744	0.40457
AT1G01540	cellular_organisms	1161	0.468562
AT1G01550	Embryophyta	1050	0.44381
AT1G01560	cellular_organisms	828	0.419082
AT1G01570	Streptophyta	1437	0.476688
AT1G01580	cellular_organisms	2178	0.443067
AT1G01590	cellular_organisms	2115	0.437352
AT1G01600	cellular_organisms	1665	0.502703
AT1G01610	Embryophyta	1512	0.493386
AT1G01620	cellular_organisms	861	0.521487
AT1G01630	Eukaryota	768	0.46224
AT1G01640	Eukaryota	624	0.464744
AT1G01650	cellular_organisms	1623	0.45533
AT1G01660	Eukaryota	1707	0.454599
AT1G01670	Eukaryota	1098	0.437158
AT1G01680	Eukaryota	927	0.412082
AT1G01690	Magnoliophyta	1356	0.438791
AT1G01695	Magnoliophyta	1302	0.393241
AT1G01700	Viridiplantae	1458	0.421125
AT1G01710	cellular_organisms	1284	0.451713
AT1G01715	Mesangiospermae	420	0.442857
AT1G01720	Streptophytina	870	0.508046
AT1G01725	Magnoliophyta	189	0.465608
AT1G01730	Mesangiospermae	675	0.494815
AT1G01740	cellular_organisms	1452	0.428375
AT1G01750	Eukaryota	423	0.437352
AT1G01760	Eukaryota	1263	0.437055
AT1G01770	cellular_organisms	1899	0.45445
AT1G01780	Eukaryota	618	0.475728
AT1G01790	cellular_organisms	3582	0.44249
AT1G01800	cellular_organisms	888	0.443694
AT1G01810	Brassicaceae	483	0.449275
AT1G01820	Eukaryota	708	0.45339
AT1G01830	Eukaryota	1725	0.481739
AT1G01840	Mesangiospermae	459	0.509804
AT1G01860	cellular_organisms	1032	0.447674
AT1G01880	cellular_organisms	1800	0.429444
AT1G01900	cellular_organisms	2325	0.502796
AT1G01910	cellular_organisms	1062	0.457627
AT1G01920	cellular_organisms	1719	0.450844
