ID	len	gc	PS	Presence
case4_00031092-RA	927	0.430421	cellular_organisms	no-match
case4_00031088-RA	2121	0.375766	cellular_organisms	no-match
case4_00031034-RA	1467	0.332652	cellular_organisms	no-match
case4_00031033-RA	1461	0.44011	cellular_organisms	no-match
case4_00031087-RA	444	0.445946	cellular_organisms	no-match
case4_00031026-RA	4792	0.412771	cellular_organisms	no-match
case4_00031051-RA	2121	0.375766	cellular_organisms	no-match
case4_00031032-RA	1867	0.417247	cellular_organisms	no-match
case4_00031020-RA	3219	0.385834	cellular_organisms	no-match
case4_00031030-RA	678	0.383481	cellular_organisms	no-match
case4_00031043-RA	1215	0.368724	cellular_organisms	no-match
case4_00031047-RA	927	0.430421	cellular_organisms	no-match
case4_00031029-RA	477	0.406709	cellular_organisms	no-match
case4_00031012-RA	1524	0.404199	cellular_organisms	no-match
case4_00031018-RA	1470	0.390476	cellular_organisms	no-match
case4_00031073-RA	1209	0.369727	cellular_organisms	no-match
case4_00031016-RA	711	0.383966	cellular_organisms	no-match
case4_00031045-RA	369	0.376694	cellular_organisms	no-match
case4_00031068-RA	318	0.415094	cellular_organisms	no-match
case4_00031052-RA	444	0.445946	cellular_organisms	no-match
case4_00031040-RA	129	0.488372	cellular_organisms	no-match
case4_00031071-RA	1122	0.33779	cellular_organisms	no-match
case4_00031046-RA	735	0.333333	cellular_organisms	no-match
case4_00031028-RA	513	0.37037	cellular_organisms	no-match
case4_00031072-RA	414	0.335749	cellular_organisms	no-match
case4_00031041-RA	378	0.391534	cellular_organisms	no-match
case4_00031044-RA	339	0.362832	cellular_organisms	no-match
case4_00031039-RA	318	0.342767	cellular_organisms	no-match
case4_00030780-RA	675	0.419259	cellular_organisms	no-match
case4_00030781-RA	2295	0.43268	cellular_organisms	no-match
case4_00030794-RA	948	0.447257	cellular_organisms	no-match
case4_00030816-RA	768	0.454427	cellular_organisms	no-match
case4_00030857-RA	465	0.43871	cellular_organisms	no-match
case4_00030879-RA	516	0.428295	cellular_organisms	no-match
case4_00030863-RA	291	0.443299	cellular_organisms	no-match
case4_00030869-RA	2019	0.511144	cellular_organisms	no-match
case4_00030866-RA	981	0.430173	cellular_organisms	no-match
case4_00030868-RA	546	0.468864	cellular_organisms	no-match
case4_00030876-RA	1878	0.470714	cellular_organisms	no-match
case4_00030878-RA	1254	0.461722	cellular_organisms	no-match
case4_00030907-RA	1447	0.449896	cellular_organisms	no-match
case4_00030976-RA	447	0.42953	cellular_organisms	no-match
case4_00030997-RA	1584	0.417298	cellular_organisms	no-match
case4_00030990-RA	645	0.444961	cellular_organisms	no-match
case4_00030962-RA	1524	0.448163	cellular_organisms	no-match
case4_00030980-RA	390	0.4	cellular_organisms	no-match
case4_00030951-RA	1146	0.519197	cellular_organisms	no-match
case4_00030929-RA	705	0.504965	cellular_organisms	no-match
case4_00030931-RA	636	0.457547	cellular_organisms	no-match
case4_00030932-RA	360	0.383333	cellular_organisms	no-match
case4_00025952-RA	2303	0.48198	cellular_organisms	match
case4_00025958-RA	1313	0.512567	cellular_organisms	match
case4_00025976-RA	4336	0.454566	cellular_organisms	match
case4_00025990-RA	4921	0.459866	cellular_organisms	match
case4_00025989-RA	1518	0.423584	cellular_organisms	match
case4_00025984-RA	1897	0.429099	cellular_organisms	match
case4_00025996-RA	2227	0.434216	cellular_organisms	match
case4_00026004-RA	1269	0.472025	cellular_organisms	match
case4_00026018-RA	1664	0.448317	cellular_organisms	match
case4_00026027-RA	3021	0.409798	cellular_organisms	match
case4_00026015-RA	5467	0.42912	cellular_organisms	match
case4_00026023-RA	4213	0.437693	cellular_organisms	match
case4_00026022-RA	1824	0.408443	cellular_organisms	match
case4_00026019-RA	1008	0.452381	cellular_organisms	match
case4_00026061-RA	3448	0.406323	cellular_organisms	match
case4_00026032-RA	2627	0.432813	cellular_organisms	match
case4_00026052-RA	4529	0.412011	cellular_organisms	match
case4_00026118-RA	1023	0.395894	cellular_organisms	match
case4_00026101-RA	1820	0.401648	cellular_organisms	match
case4_00026103-RA	2208	0.42663	cellular_organisms	match
case4_00026152-RA	2842	0.449331	cellular_organisms	match
case4_00026148-RA	3175	0.423937	cellular_organisms	match
case4_00026377-RA	2245	0.407127	cellular_organisms	match
case4_00026322-RA	930	0.452688	cellular_organisms	match
case4_00026331-RA	3864	0.432971	cellular_organisms	match
case4_00026333-RA	4652	0.404987	cellular_organisms	match
case4_00026307-RA	1188	0.477273	cellular_organisms	match
case4_00026299-RA	2447	0.414794	cellular_organisms	match
case4_00026304-RA	874	0.413043	cellular_organisms	match
case4_00026511-RA	2436	0.415025	cellular_organisms	match
case4_00026506-RA	2102	0.423882	cellular_organisms	match
case4_00026203-RA	2727	0.434177	cellular_organisms	match
case4_00026208-RA	6636	0.432339	cellular_organisms	match
case4_00026214-RA	1984	0.427419	cellular_organisms	match
case4_00026206-RA	3050	0.401311	cellular_organisms	match
case4_00026275-RA	2306	0.439722	cellular_organisms	match
case4_00026285-RA	2336	0.400685	cellular_organisms	match
case4_00026290-RA	1970	0.435533	cellular_organisms	match
case4_00026485-RA	1950	0.406667	cellular_organisms	match
case4_00026723-RA	1471	0.406526	cellular_organisms	match
case4_00026724-RA	2505	0.413972	cellular_organisms	match
case4_00026268-RA	1479	0.440162	cellular_organisms	match
case4_00026264-RA	1158	0.425734	cellular_organisms	match
case4_00026266-RA	2480	0.429032	cellular_organisms	match
case4_00026932-RA	732	0.439891	cellular_organisms	no-match
case4_00026232-RA	2966	0.425152	cellular_organisms	match
case4_00026230-RA	3247	0.423776	cellular_organisms	match
case4_00026240-RA	1231	0.450041	cellular_organisms	match
case4_00026246-RA	5188	0.448921	cellular_organisms	match
case4_00026253-RA	4542	0.437032	cellular_organisms	match
case4_00026251-RA	3194	0.417032	cellular_organisms	match
case4_00026602-RA	1907	0.415312	cellular_organisms	match
case4_00026593-RA	2205	0.409977	cellular_organisms	match
case4_00026617-RA	3897	0.418784	cellular_organisms	match
case4_00026610-RA	1122	0.438503	cellular_organisms	match
case4_00026539-RA	6184	0.42044	cellular_organisms	match
case4_00026544-RA	1323	0.406652	cellular_organisms	no-match
case4_00026176-RA	1404	0.444444	cellular_organisms	match
case4_00026179-RA	1785	0.373109	cellular_organisms	match
case4_00026172-RA	1477	0.452945	cellular_organisms	match
case4_00026173-RA	6327	0.446973	cellular_organisms	match
case4_00026180-RA	559	0.348837	cellular_organisms	match
case4_00026166-RA	7405	0.441053	cellular_organisms	match
case4_00026164-RA	6853	0.441704	cellular_organisms	match
case4_00026188-RA	1043	0.405561	cellular_organisms	match
case4_00027082-RA	951	0.452156	cellular_organisms	no-match
case4_00026582-RA	2131	0.412013	cellular_organisms	match
case4_00026577-RA	2317	0.417782	cellular_organisms	match
case4_00026576-RA	2127	0.410437	cellular_organisms	match
case4_00026574-RA	2222	0.416292	cellular_organisms	match
case4_00027464-RA	2311	0.439204	cellular_organisms	match
case4_00027288-RA	1383	0.430947	cellular_organisms	match
