ID	len	gc	PS	Presence
g1	1290	0.441085	Embryophyta	match
g10	339	0.530973	Eukaryota	match
g100	1230	0.434959	Eukaryota	match
g1000	420	0.47381	cellular_organisms	match
g10000	633	0.481833	Arabidopsis_thaliana	no-match
g10001	507	0.526627	Arabidopsis_thaliana	no-match
g10002	528	0.513258	Brassicaceae	no-match
g10003	576	0.430556	Brassicaceae	match
g10004	945	0.442328	Pentapetalae	no-match
g10005	714	0.432773	Arabidopsis	no-match
g10006	1215	0.430453	Brassicaceae	no-match
g10007	486	0.432099	Arabidopsis	no-match
g10008	2688	0.453497	Eukaryota	no-match
g10009	318	0.41195	Mesangiospermae	no-match
g1001	672	0.434524	cellular_organisms	match
g10010	2298	0.427328	Eukaryota	no-match
g10011	336	0.434524	Arabidopsis_thaliana	no-match
g10012	369	0.420054	Eukaryota	match
g10013	1311	0.431732	cellular_organisms	match
g10014	669	0.42003	cellular_organisms	no-match
g10015	1080	0.405556	Eukaryota	match
g10016	435	0.445977	Mesangiospermae	match
g10017	3648	0.402961	cellular_organisms	match
g10018	954	0.373166	Mesangiospermae	no-match
g10019	684	0.422515	Magnoliophyta	match
g1002	1326	0.42006	Embryophyta	match
g10020	1692	0.451537	cellular_organisms	match
g10021	573	0.403141	Eukaryota	match
g10022	2343	0.444729	Eukaryota	match
g10023	1089	0.385675	Pentapetalae	no-match
g10024	1332	0.387387	Magnoliophyta	no-match
g10025	1113	0.380952	Eukaryota	no-match
g10026	1014	0.393491	Eukaryota	no-match
g10027	981	0.38736	Streptophytina	no-match
g10028	258	0.364341	Viridiplantae	match
g10029	1824	0.439693	cellular_organisms	match
g1003	2157	0.472879	cellular_organisms	match
g10030	213	0.56338	Arabidopsis_thaliana	no-match
g10031	681	0.461087	Magnoliophyta	no-match
g10032	612	0.465686	Brassicaceae	no-match
g10033	810	0.42716	Magnoliophyta	no-match
g10034	924	0.498918	Arabidopsis_thaliana	no-match
g10035	1410	0.5	Brassicaceae	no-match
g10036	351	0.424501	Arabidopsis_thaliana	no-match
g10037	558	0.455197	Magnoliophyta	no-match
g10038	720	0.384722	Eukaryota	no-match
g10039	987	0.401216	cellular_organisms	no-match
g1004	522	0.477011	cellular_organisms	match
g10040	261	0.45977	Camelineae	no-match
g10041	294	0.554422	Arabidopsis	no-match
g10042	705	0.394326	Eukaryota	match
g10043	3321	0.441734	Eukaryota	no-match
g10044	387	0.509044	Arabidopsis_thaliana	no-match
g10045	1140	0.47193	Mesangiospermae	no-match
g10046	471	0.509554	Mesangiospermae	no-match
g10047	312	0.503205	Brassicaceae	match
g10048	1611	0.450031	cellular_organisms	match
g10049	1143	0.442695	cellular_organisms	match
g1005	1599	0.452783	cellular_organisms	match
g10050	561	0.461676	malvids	no-match
g10051	312	0.378205	Eukaryota	no-match
g10052	741	0.453441	Brassicaceae	match
g10053	1062	0.426554	Magnoliophyta	match
g10054	1788	0.387584	cellular_organisms	no-match
g10055	756	0.37037	Eukaryota	no-match
g10056	618	0.378641	Eukaryota	no-match
g10057	459	0.3878	Brassicaceae	no-match
g10058	516	0.406977	Viridiplantae	no-match
g10059	651	0.374808	Brassicaceae	no-match
g1006	1020	0.414706	Eukaryota	match
g10060	1269	0.409771	Eukaryota	no-match
g10061	954	0.454927	Brassicaceae	no-match
g10062	261	0.444444	Brassicaceae	no-match
g10063	663	0.493213	Arabidopsis	no-match
g10064	1326	0.422323	Mesangiospermae	no-match
g10065	666	0.459459	Brassicaceae	no-match
g10066	237	0.434599	Brassicaceae	no-match
g10067	678	0.501475	Arabidopsis_thaliana	no-match
g10068	309	0.414239	Arabidopsis_thaliana	no-match
g10069	1293	0.428461	Eukaryota	no-match
g1007	963	0.43406	Eukaryota	match
g10070	1074	0.437616	Eukaryota	no-match
g10071	210	0.414286	Arabidopsis_thaliana	no-match
g10072	510	0.443137	Mesangiospermae	no-match
g10073	363	0.429752	Mesangiospermae	match
g10074	1002	0.458084	Eukaryota	no-match
g10075	1152	0.470486	Magnoliophyta	no-match
g10076	510	0.492157	Mesangiospermae	no-match
g10077	477	0.540881	Arabidopsis_thaliana	no-match
g10078	954	0.4413	Arabidopsis_thaliana	match
