ID	len	gc	PS	Presence
case38a_00000001	198	0.388889	Arabidopsis	no-match
case38a_00000002	2048	0.40625	Embryophyta	match
case38a_00000003	1310	0.40229	Eukaryota	match
case38a_00000004	1077	0.457753	Viridiplantae	match
case38a_00000005	174	0.390805	Arabidopsis_thaliana	no-match
case38a_00000006	162	0.308642	Brassicaceae	no-match
case38a_00000007	6479	0.428616	cellular_organisms	match
case38a_00000008	738	0.441734	cellular_organisms	match
case38a_00000009	2543	0.415651	Eukaryota	match
case38a_00000010	1740	0.385632	Viridiplantae	match
case38a_00000011	212	0.316038	Arabidopsis_thaliana	no-match
case38a_00000012	1817	0.391855	cellular_organisms	match
case38a_00000013	1950	0.437436	cellular_organisms	match
case38a_00000014	917	0.420938	Eukaryota	match
case38a_00000015	2130	0.43615	Streptophyta	match
case38a_00000016	141	0.404255	Arabidopsis_thaliana	no-match
case38a_00000017	1587	0.468809	cellular_organisms	match
case38a_00000018	3828	0.393939	cellular_organisms	match
case38a_00000019	2258	0.377325	Embryophyta	match
case38a_00000020	297	0.400673	Magnoliophyta	no-match
case38a_00000021	210	0.4	Arabidopsis_thaliana	no-match
case38a_00000022	588	0.508503	Eukaryota	match
case38a_00000023	234	0.461538	Viridiplantae	match
case38a_00000024	1491	0.472837	cellular_organisms	match
case38a_00000025	1832	0.316594	Arabidopsis_thaliana	no-match
case38a_00000026	246	0.300813	Arabidopsis_thaliana	no-match
case38a_00000027	1960	0.446939	cellular_organisms	match
case38a_00000028	1238	0.424071	cellular_organisms	match
case38a_00000029	6346	0.425622	cellular_organisms	match
case38a_00000030	1798	0.38376	Arabidopsis_thaliana	match
case38a_00000031	831	0.458484	Viridiplantae	match
case38a_00000032	306	0.346405	Arabidopsis_thaliana	no-match
case38a_00000033	1773	0.44106	Streptophyta	match
case38a_00000034	1914	0.42581	cellular_organisms	match
case38a_00000035	1891	0.383924	cellular_organisms	match
case38a_00000036	1458	0.518519	Eukaryota	match
case38a_00000037	7134	0.436361	cellular_organisms	match
case38a_00000038	726	0.502755	cellular_organisms	match
case38a_00000039	2854	0.41836	Eukaryota	match
case38a_00000040	2114	0.443709	Eukaryota	match
case38a_00000041	564	0.441489	Embryophyta	match
case38a_00000042	1377	0.408134	Eukaryota	match
case38a_00000043	875	0.350857	Viridiplantae	match
case38a_00000044	1443	0.474705	cellular_organisms	match
case38a_00000045	2358	0.460136	cellular_organisms	match
case38a_00000046	1413	0.426752	Eukaryota	match
case38a_00000047	255	0.568627	Arabidopsis_thaliana	no-match
case38a_00000048	2290	0.41048	Streptophyta	match
case38a_00000049	710	0.391549	Arabidopsis_thaliana	no-match
case38a_00000050	2883	0.41658	Streptophyta	match
case38a_00000051	2080	0.433173	Arabidopsis_thaliana	no-match
case38a_00000052	3096	0.460271	cellular_organisms	match
case38a_00000053	2084	0.379079	Eukaryota	match
case38a_00000054	1294	0.381762	cellular_organisms	match
case38a_00000055	2065	0.417918	cellular_organisms	match
case38a_00000056	2126	0.356538	Tracheophyta	match
case38a_00000057	285	0.34386	Arabidopsis_thaliana	no-match
case38a_00000058	5722	0.432891	Eukaryota	match
case38a_00000059	150	0.353333	Arabidopsis_thaliana	no-match
case38a_00000060	150	0.373333	Arabidopsis_thaliana	no-match
case38a_00000061	989	0.383215	Eukaryota	match
case38a_00000062	2242	0.427743	cellular_organisms	match
case38a_00000063	3436	0.397264	cellular_organisms	match
case38a_00000064	1953	0.432156	Streptophyta	match
case38a_00000065	674	0.454006	Arabidopsis_thaliana	no-match
case38a_00000066	2692	0.425706	cellular_organisms	match
case38a_00000067	261	0.429119	Arabidopsis_thaliana	no-match
case38a_00000068	2861	0.402307	cellular_organisms	match
case38a_00000069	2378	0.442389	cellular_organisms	match
case38a_00000070	2347	0.445249	Embryophyta	match
case38a_00000071	633	0.451817	Arabidopsis_thaliana	no-match
case38a_00000072	1876	0.423774	cellular_organisms	match
case38a_00000073	1435	0.412544	Eukaryota	match
case38a_00000074	4978	0.410205	cellular_organisms	match
case38a_00000075	159	0.471698	Arabidopsis_thaliana	no-match
case38a_00000076	324	0.450617	Arabidopsis_thaliana	no-match
case38a_00000077	4803	0.424526	Eukaryota	match
case38a_00000078	1018	0.386051	Arabidopsis_thaliana	no-match
case38a_00000079	1491	0.437961	Magnoliophyta	match
case38a_00000080	447	0.416107	Arabidopsis_thaliana	no-match
case38a_00000081	505	0.358416	Arabidopsis_thaliana	no-match
case38a_00000082	207	0.42029	Arabidopsis_thaliana	match
case38a_00000083	285	0.385965	Arabidopsis_thaliana	no-match
case38a_00000084	507	0.329389	Pentapetalae	no-match
case38a_00000085	2412	0.381012	Streptophyta	match
case38a_00000086	1284	0.451713	cellular_organisms	match
case38a_00000087	51	0.411765	Arabidopsis_thaliana	no-match
case38a_00000088	312	0.413462	Arabidopsis_thaliana	no-match
case38a_00000089	195	0.425641	Arabidopsis_thaliana	match
case38a_00000090	1542	0.42153	cellular_organisms	match
case38a_00000091	1302	0.436252	Eukaryota	match
case38a_00000092	8037	0.429016	Eukaryota	match
case38a_00000093	237	0.383966	Arabidopsis_thaliana	no-match
case38a_00000094	255	0.431373	Arabidopsis_thaliana	no-match
case38a_00000095	696	0.408046	Arabidopsis_thaliana	no-match
case38a_00000096	1417	0.402258	cellular_organisms	match
case38a_00000097	1580	0.393038	Eukaryota	match
case38a_00000098	1716	0.481935	Eukaryota	no-match
case38a_00000099	369	0.365854	Arabidopsis_thaliana	match
case38a_00000100	4968	0.425926	cellular_organisms	match
case38a_00000101	459	0.509804	Mesangiospermae	match
case38a_00000102	369	0.441734	Arabidopsis_thaliana	no-match
case38a_00000103	3036	0.458498	cellular_organisms	match
case38a_00000104	4155	0.457762	cellular_organisms	match
case38a_00000105	2020	0.432178	cellular_organisms	match
case38a_00000106	481	0.397089	Arabidopsis_thaliana	no-match
case38a_00000107	2198	0.433121	Eukaryota	match
case38a_00000108	102	0.421569	Arabidopsis_thaliana	match
case38a_00000109	246	0.369919	Arabidopsis_thaliana	no-match
case38a_00000110	5871	0.427695	Eukaryota	match
case38a_00000111	6024	0.439243	Eukaryota	match
case38a_00000112	1961	0.408465	Eukaryota	match
case38a_00000113	352	0.403409	Arabidopsis_thaliana	no-match
case38a_00000114	1626	0.509225	cellular_organisms	match
case38a_00000115	228	0.368421	Arabidopsis_thaliana	no-match
case38a_00000116	738	0.5	Mesangiospermae	match
case38a_00000118	237	0.350211	Arabidopsis_thaliana	match
case38a_00000119	1191	0.534845	Mesangiospermae	no-match
case38a_00000120	4717	0.453466	Eukaryota	match
case38a_00000121	2923	0.484092	cellular_organisms	match
case38a_00000122	4932	0.447689	cellular_organisms	match
case38a_00000123	150	0.426667	Arabidopsis_thaliana	no-match
case38a_00000124	2097	0.446352	Viridiplantae	match
case38a_00000125	552	0.556159	Arabidopsis_thaliana	no-match
case38a_00000126	222	0.459459	Arabidopsis_thaliana	match
case38a_00000127	1259	0.397141	Embryophyta	match
case38a_00000128	8407	0.426668	Eukaryota	match
case38a_00000129	414	0.490338	Arabidopsis_thaliana	no-match
case38a_00000130	159	0.396226	Arabidopsis_thaliana	no-match
case38a_00000131	1463	0.444293	Eukaryota	match
case38a_00000132	1206	0.529022	Arabidopsis_thaliana	match
case38a_00000133	171	0.508772	Arabidopsis_thaliana	match
case38a_00000134	1774	0.432356	cellular_organisms	match
case38a_00000135	7270	0.448831	cellular_organisms	match
case38a_00000136	609	0.479475	Tracheophyta	match
case38a_00000137	720	0.527778	Arabidopsis_thaliana	no-match
case38a_00000138	1884	0.514862	cellular_organisms	match
case38a_00000139	474	0.481013	Arabidopsis_thaliana	no-match
case38a_00000140	1878	0.482428	cellular_organisms	match
case38a_00000141	246	0.426829	Arabidopsis_thaliana	no-match
case38a_00000142	51	0.490196	Arabidopsis_thaliana	no-match
case38a_00000143	243	0.436214	Arabidopsis_thaliana	no-match
case38a_00000144	252	0.361111	Streptophytina	match
case38a_00000145	3335	0.410795	Streptophytina	match
case38a_00000146	4114	0.399125	cellular_organisms	match
case38a_00000147	294	0.435374	Arabidopsis_thaliana	no-match
case38a_00000148	3182	0.406977	cellular_organisms	match
case38a_00000149	2739	0.411099	cellular_organisms	match
case38a_00000150	1284	0.441589	cellular_organisms	match
case38a_00000151	2574	0.407925	Eukaryota	match
case38a_00000152	1389	0.382289	Streptophyta	match
case38a_00000153	1268	0.404574	Arabidopsis_thaliana	match
case38a_00000154	396	0.416667	Brassicaceae	no-match
case38a_00000155	1205	0.423237	cellular_organisms	match
case38a_00000156	1614	0.439281	Eukaryota	match
case38a_00000157	1403	0.382038	Magnoliophyta	match
case38a_00000158	2183	0.410902	cellular_organisms	match
case38a_00000159	171	0.432749	Arabidopsis_thaliana	no-match
case38a_00000160	267	0.47191	Arabidopsis_thaliana	no-match
case38a_00000161	585	0.444444	Arabidopsis_thaliana	no-match
case38a_00000162	1665	0.391592	cellular_organisms	match
case38a_00000163	405	0.520988	Brassicaceae	match
case38a_00000164	1518	0.399868	cellular_organisms	match
case38a_00000165	1761	0.405451	Eukaryota	match
case38a_00000166	3730	0.401072	cellular_organisms	match
case38a_00000167	384	0.434896	Pentapetalae	match
case38a_00000168	2094	0.420248	cellular_organisms	match
case38a_00000169	284	0.330986	Arabidopsis_thaliana	no-match
case38a_00000170	2288	0.374563	cellular_organisms	match
case38a_00000171	222	0.436937	Embryophyta	match
case38a_00000172	1804	0.447894	cellular_organisms	match
case38a_00000173	1241	0.410153	cellular_organisms	match
case38a_00000174	7955	0.441358	cellular_organisms	match
case38a_00000175	873	0.413517	Brassicaceae	match
case38a_00000176	240	0.466667	Arabidopsis_thaliana	no-match
case38a_00000177	729	0.507545	Embryophyta	match
case38a_00000178	1801	0.403109	cellular_organisms	match
case38a_00000179	1848	0.426407	Mesangiospermae	match
case38a_00000180	2783	0.380525	cellular_organisms	match
case38a_00000181	213	0.413146	Arabidopsis_thaliana	no-match
case38a_00000182	421	0.365796	cellular_organisms	match
case38a_00000183	1439	0.360667	Eukaryota	match
case38a_00000184	681	0.465492	Eukaryota	match
case38a_00000185	225	0.408889	Arabidopsis_thaliana	no-match
case38a_00000186	840	0.47381	Magnoliophyta	no-match
case38a_00000187	1671	0.406942	Eukaryota	match
case38a_00000188	224	0.4375	Arabidopsis_thaliana	no-match
case38a_00000189	2904	0.448691	cellular_organisms	match
case38a_00000190	1858	0.445102	Viridiplantae	match
case38a_00000191	204	0.583333	Arabidopsis_thaliana	no-match
case38a_00000192	2771	0.417539	cellular_organisms	match
case38a_00000193	4621	0.410084	cellular_organisms	match
case38a_00000194	381	0.427822	Arabidopsis_thaliana	no-match
case38a_00000195	264	0.401515	Arabidopsis_thaliana	no-match
case38a_00000196	186	0.424731	Arabidopsis_thaliana	no-match
case38a_00000197	171	0.403509	Arabidopsis_thaliana	no-match
case38a_00000198	222	0.441441	Brassicaceae	no-match
case38a_00000199	2153	0.437065	Eukaryota	match
case38a_00000200	2108	0.425522	Magnoliophyta	match
case38a_00000201	222	0.540541	Arabidopsis_thaliana	no-match
case38a_00000202	291	0.601375	Arabidopsis_thaliana	match
case38a_00000203	1539	0.434698	cellular_organisms	match
case38a_00000204	4046	0.442165	cellular_organisms	match
case38a_00000205	1812	0.378587	Eukaryota	match
case38a_00000206	907	0.398015	Streptophyta	match
case38a_00000207	1298	0.416795	Pentapetalae	match
case38a_00000208	1606	0.39726	cellular_organisms	match
case38a_00000209	900	0.454444	Arabidopsis_thaliana	match
case38a_00000210	2011	0.43461	cellular_organisms	match
case38a_00000211	2194	0.430264	cellular_organisms	match
case38a_00000212	345	0.478261	Arabidopsis_thaliana	match
case38a_00000213	390	0.428205	Arabidopsis_thaliana	no-match
case38a_00000214	159	0.383648	Arabidopsis_thaliana	match
case38a_00000215	1022	0.362035	Magnoliophyta	match
case38a_00000216	560	0.407143	Eukaryota	match
case38a_00000217	3284	0.4324	cellular_organisms	match
case38a_00000218	1710	0.377193	Viridiplantae	match
case38a_00000219	582	0.463918	Eukaryota	match
case38a_00000220	342	0.464912	Arabidopsis_thaliana	no-match
case38a_00000221	2126	0.383819	cellular_organisms	match
case38a_00000222	4211	0.426739	cellular_organisms	match
case38a_00000223	219	0.497717	Arabidopsis_thaliana	match
case38a_00000224	2227	0.40952	cellular_organisms	match
case38a_00000225	1029	0.388727	cellular_organisms	match
case38a_00000226	1993	0.397893	cellular_organisms	match
case38a_00000227	732	0.422131	cellular_organisms	match
case38a_00000228	1895	0.395251	Magnoliophyta	match
case38a_00000229	366	0.445355	Brassicaceae	match
case38a_00000230	1993	0.40843	cellular_organisms	match
case38a_00000231	3091	0.410547	Eukaryota	match
case38a_00000232	4554	0.397014	Streptophytina	match
case38a_00000233	3299	0.424371	cellular_organisms	match
case38a_00000234	2638	0.391964	Eukaryota	match
case38a_00000235	309	0.456311	cellular_organisms	match
case38a_00000236	906	0.434879	cellular_organisms	match
case38a_00000237	2428	0.416392	Eukaryota	match
case38a_00000238	2396	0.421119	Eukaryota	match
case38a_00000239	1742	0.416762	Viridiplantae	match
case38a_00000240	12023	0.423272	cellular_organisms	match
case38a_00000241	1221	0.420147	cellular_organisms	match
case38a_00000242	6094	0.405645	Eukaryota	match
case38a_00000243	5427	0.422149	cellular_organisms	match
case38a_00000244	2382	0.414777	Viridiplantae	match
case38a_00000245	1604	0.391521	Embryophyta	match
case38a_00000246	1196	0.394649	Arabidopsis_thaliana	match
case38a_00000247	1770	0.398305	cellular_organisms	match
case38a_00000248	359	0.395543	Arabidopsis_thaliana	no-match
case38a_00000249	4081	0.436168	Streptophyta	match
case38a_00000250	3062	0.435336	Eukaryota	match
case38a_00000251	4242	0.412777	cellular_organisms	match
case38a_00000252	723	0.449516	Magnoliophyta	match
case38a_00000253	3632	0.420705	cellular_organisms	match
case38a_00000254	222	0.400901	Arabidopsis_thaliana	no-match
case38a_00000255	1498	0.403872	cellular_organisms	match
case38a_00000256	2880	0.425694	Eukaryota	match
case38a_00000257	3507	0.431138	cellular_organisms	match
case38a_00000258	81	0.333333	Arabidopsis_thaliana	no-match
case38a_00000259	4468	0.408684	Streptophyta	match
case38a_00000260	1971	0.435312	Embryophyta	match
case38a_00000261	2649	0.423179	cellular_organisms	match
case38a_00000262	879	0.409556	Brassicaceae	match
case38a_00000263	873	0.376861	cellular_organisms	match
case38a_00000264	1575	0.39873	Magnoliophyta	match
case38a_00000265	168	0.339286	Arabidopsis_thaliana	no-match
case38a_00000266	1413	0.443029	Eukaryota	match
case38a_00000267	969	0.45614	cellular_organisms	match
case38a_00000268	180	0.377778	Arabidopsis_thaliana	no-match
case38a_00000269	438	0.415525	Arabidopsis_thaliana	no-match
case38a_00000270	165	0.333333	Arabidopsis_thaliana	no-match
case38a_00000271	3063	0.433562	Eukaryota	match
case38a_00000272	6883	0.42496	Eukaryota	match
case38a_00000273	1228	0.460912	cellular_organisms	match
case38a_00000274	2543	0.447503	cellular_organisms	match
case38a_00000275	180	0.383333	Arabidopsis_thaliana	match
case38a_00000276	78	0.333333	Arabidopsis_thaliana	no-match
case38a_00000277	1194	0.505025	cellular_organisms	match
case38a_00000278	2766	0.42227	cellular_organisms	match
case38a_00000279	211	0.298578	Arabidopsis_thaliana	no-match
case38a_00000280	1838	0.416213	cellular_organisms	match
case38a_00000281	1605	0.438629	cellular_organisms	match
case38a_00000282	423	0.468085	Embryophyta	no-match
case38a_00000283	213	0.474178	Arabidopsis_thaliana	no-match
case38a_00000284	372	0.424731	Camelineae	match
case38a_00000285	204	0.504902	Arabidopsis_thaliana	no-match
case38a_00000286	1311	0.467582	Embryophyta	match
case38a_00000287	288	0.430556	Arabidopsis_thaliana	no-match
case38a_00000288	594	0.395623	Arabidopsis_thaliana	no-match
case38a_00000289	291	0.388316	Arabidopsis_thaliana	no-match
case38a_00000290	1342	0.437407	cellular_organisms	match
case38a_00000292	90	0.3	Arabidopsis_thaliana	match
case38a_00000293	339	0.519174	Arabidopsis_thaliana	no-match
case38a_00000294	834	0.450839	Arabidopsis_thaliana	no-match
case38a_00000295	5021	0.385581	Eukaryota	match
case38a_00000296	1830	0.45847	Eukaryota	match
case38a_00000297	817	0.424725	Arabidopsis_thaliana	no-match
case38a_00000298	1983	0.415532	cellular_organisms	match
case38a_00000299	1195	0.423431	Eukaryota	no-match
case38a_00000300	3416	0.413056	cellular_organisms	match
case38a_00000301	285	0.438596	Arabidopsis_thaliana	no-match
case38a_00000302	525	0.521905	Viridiplantae	match
case38a_00000303	1839	0.39913	Viridiplantae	match
case38a_00000304	3316	0.416164	Eukaryota	match
case38a_00000305	1927	0.427608	cellular_organisms	match
case38a_00000306	2146	0.39329	cellular_organisms	match
case38a_00000307	1851	0.41329	cellular_organisms	match
case38a_00000308	144	0.4375	Arabidopsis_thaliana	match
case38a_00000309	1807	0.452684	Eukaryota	match
case38a_00000310	1040	0.428846	Brassicaceae	match
case38a_00000311	1033	0.417231	cellular_organisms	match
case38a_00000312	204	0.308824	Arabidopsis_thaliana	no-match
case38a_00000313	504	0.46627	Magnoliophyta	match
case38a_00000314	3713	0.39429	cellular_organisms	match
case38a_00000315	2742	0.425237	cellular_organisms	match
case38a_00000316	1176	0.441327	Eukaryota	match
case38a_00000317	2311	0.410645	Eukaryota	match
case38a_00000318	2475	0.436768	Viridiplantae	match
case38a_00000319	1182	0.494078	Eukaryota	match
case38a_00000320	738	0.51897	Viridiplantae	match
case38a_00000321	720	0.425	cellular_organisms	match
case38a_00000322	669	0.427504	Pentapetalae	match
case38a_00000323	3746	0.422317	Eukaryota	match
case38a_00000324	1521	0.460224	Eukaryota	match
case38a_00000325	867	0.405998	Embryophyta	match
case38a_00000326	312	0.464744	Arabidopsis_thaliana	no-match
case38a_00000327	2209	0.444545	cellular_organisms	match
case38a_00000328	1875	0.453333	Streptophyta	match
case38a_00000329	1686	0.459075	Streptophyta	match
case38a_00000330	1376	0.442587	Eukaryota	match
case38a_00000331	4602	0.425467	Eukaryota	match
case38a_00000332	1710	0.42807	cellular_organisms	match
case38a_00000333	2449	0.408738	cellular_organisms	match
case38a_00000334	3540	0.408475	Eukaryota	match
case38a_00000335	555	0.394595	Arabidopsis_thaliana	no-match
case38a_00000336	1166	0.448542	Arabidopsis_thaliana	no-match
