ID	len	gc	PS	Presence
case2_00029730-RA	927	0.430421	cellular_organisms	no-match
case2_00029679-RA	2904	0.387397	cellular_organisms	no-match
case2_00029723-RA	468	0.410256	cellular_organisms	no-match
case2_00029721-RA	315	0.434921	cellular_organisms	no-match
case2_00029664-RA	1695	0.39056	cellular_organisms	no-match
case2_00029663-RA	1461	0.44011	cellular_organisms	no-match
case2_00029670-RA	3868	0.351861	cellular_organisms	no-match
case2_00029662-RA	1827	0.421456	cellular_organisms	no-match
case2_00029682-RA	468	0.410256	cellular_organisms	no-match
case2_00029648-RA	2586	0.401392	cellular_organisms	no-match
case2_00029726-RA	2904	0.387397	cellular_organisms	no-match
case2_00029684-RA	315	0.434921	cellular_organisms	no-match
case2_00029659-RA	477	0.406709	cellular_organisms	no-match
case2_00029639-RA	1524	0.404199	cellular_organisms	no-match
case2_00029660-RA	426	0.387324	cellular_organisms	no-match
case2_00029645-RA	1449	0.402346	cellular_organisms	no-match
case2_00029707-RA	1209	0.369727	cellular_organisms	no-match
case2_00029675-RA	429	0.459207	cellular_organisms	no-match
case2_00029673-RA	474	0.402954	cellular_organisms	no-match
case2_00029676-RA	402	0.410448	cellular_organisms	no-match
case2_00029671-RA	390	0.430769	cellular_organisms	no-match
case2_00029654-RA	309	0.427184	cellular_organisms	no-match
case2_00029646-RA	759	0.42029	cellular_organisms	no-match
case2_00029641-RA	246	0.45122	cellular_organisms	no-match
case2_00029643-RA	651	0.391705	cellular_organisms	no-match
case2_00029703-RA	408	0.367647	cellular_organisms	no-match
case2_00029642-RA	582	0.386598	cellular_organisms	no-match
case2_00029668-RA	129	0.488372	cellular_organisms	no-match
case2_00029644-RA	2583	0.350755	cellular_organisms	no-match
case2_00029701-RA	2244	0.306595	cellular_organisms	no-match
case2_00029724-RA	1650	0.375758	cellular_organisms	no-match
case2_00029681-RA	1650	0.375758	cellular_organisms	no-match
case2_00029674-RA	1053	0.335233	cellular_organisms	no-match
case2_00029647-RA	552	0.362319	cellular_organisms	no-match
case2_00029658-RA	513	0.37037	cellular_organisms	no-match
case2_00029705-RA	444	0.358108	cellular_organisms	no-match
case2_00029669-RA	464	0.387931	cellular_organisms	no-match
case2_00029672-RA	339	0.362832	cellular_organisms	no-match
case2_00029667-RA	318	0.342767	cellular_organisms	no-match
case2_00029452-RA	2070	0.43913	cellular_organisms	no-match
case2_00029450-RA	675	0.419259	cellular_organisms	no-match
case2_00029460-RA	948	0.447257	cellular_organisms	no-match
case2_00029479-RA	753	0.446215	cellular_organisms	no-match
case2_00029527-RA	924	0.50974	cellular_organisms	no-match
case2_00029497-RA	1122	0.396613	cellular_organisms	no-match
case2_00029511-RA	468	0.438034	cellular_organisms	no-match
case2_00029515-RA	414	0.463768	cellular_organisms	no-match
case2_00029512-RA	1146	0.525305	cellular_organisms	no-match
case2_00029521-RA	1971	0.513445	cellular_organisms	no-match
case2_00029520-RA	546	0.468864	cellular_organisms	no-match
case2_00029532-RA	714	0.448179	cellular_organisms	no-match
case2_00029530-RA	705	0.435461	cellular_organisms	no-match
case2_00029535-RA	546	0.450549	cellular_organisms	no-match
case2_00029610-RA	447	0.42953	cellular_organisms	no-match
case2_00029628-RA	1584	0.417298	cellular_organisms	no-match
case2_00029614-RA	285	0.403509	cellular_organisms	no-match
case2_00029620-RA	645	0.444961	cellular_organisms	no-match
case2_00029604-RA	1524	0.448163	cellular_organisms	no-match
case2_00029601-RA	735	0.368707	cellular_organisms	no-match
case2_00029593-RA	534	0.518727	cellular_organisms	no-match
case2_00029577-RA	1254	0.472887	cellular_organisms	no-match
case2_00029579-RA	768	0.415365	cellular_organisms	no-match
case2_00024891-RA	2240	0.484821	cellular_organisms	match
case2_00024897-RA	1293	0.515081	cellular_organisms	match
case2_00024928-RA	3176	0.451196	cellular_organisms	match
case2_00024911-RA	2452	0.468597	cellular_organisms	match
case2_00024929-RA	1688	0.44846	cellular_organisms	match
case2_00024926-RA	1436	0.435933	cellular_organisms	match
case2_00024919-RA	1654	0.431076	cellular_organisms	match
case2_00024933-RA	1599	0.446529	cellular_organisms	match
case2_00024941-RA	864	0.50463	cellular_organisms	match
case2_00025053-RA	967	0.401241	cellular_organisms	match
case2_00025417-RA	2436	0.415025	cellular_organisms	match
case2_00025413-RA	2102	0.423882	cellular_organisms	match
case2_00025079-RA	3345	0.425112	cellular_organisms	match
