ID	len	gc	PS	Presence
mikado.1G100	747	0.402945	Eukaryota	match
mikado.1G1000	549	0.471767	Magnoliophyta	match
mikado.1G10002	651	0.471582	Streptophyta	match
mikado.1G10008	1158	0.489637	cellular_organisms	no-match
mikado.1G10011	2466	0.410381	Eukaryota	no-match
mikado.1G10021	1458	0.471879	Eukaryota	match
mikado.1G10025	2838	0.435166	cellular_organisms	match
mikado.1G10026	855	0.48538	cellular_organisms	match
mikado.1G10027	2802	0.396146	cellular_organisms	match
mikado.1G10028	2808	0.392094	cellular_organisms	match
mikado.1G1003	687	0.429403	Eukaryota	match
mikado.1G10030	2700	0.390741	cellular_organisms	match
mikado.1G10032	720	0.431944	Magnoliophyta	match
mikado.1G10034	1083	0.42844	cellular_organisms	match
mikado.1G10036	1596	0.447995	cellular_organisms	match
mikado.1G10037	546	0.384615	Eukaryota	match
mikado.1G10038	534	0.400749	Mesangiospermae	match
mikado.1G1004	2490	0.485944	cellular_organisms	match
mikado.1G10041	1167	0.427592	cellular_organisms	match
mikado.1G10042	2241	0.417224	Eukaryota	match
mikado.1G10049	1833	0.430987	Eukaryota	no-match
mikado.1G1005	375	0.474667	Tracheophyta	match
mikado.1G10050	807	0.444857	Eukaryota	no-match
mikado.1G10051	5232	0.402332	cellular_organisms	match
mikado.1G10052	387	0.408269	Magnoliophyta	no-match
mikado.1G10053	1974	0.402229	cellular_organisms	match
mikado.1G10054	1356	0.390855	Eukaryota	match
mikado.1G10055	3240	0.40216	cellular_organisms	match
mikado.1G10058	351	0.367521	Arabidopsis_thaliana	no-match
mikado.1G10059	855	0.478363	cellular_organisms	match
mikado.1G10060	456	0.401316	Embryophyta	match
mikado.1G10061	4401	0.454669	Eukaryota	no-match
mikado.1G10062	351	0.367521	Arabidopsis_thaliana	no-match
mikado.1G10063	1050	0.372381	Viridiplantae	match
mikado.1G10064	1998	0.416416	Viridiplantae	match
mikado.1G10068	2481	0.401854	cellular_organisms	match
