ID	SGD	BIND	MIND	DI	maker
Q0010	1	0	0	0	0
Q0017	1	0	0	0	0
Q0142	1	0	0	0	0
Q0297	1	0	0	0	0
YAL037C-A	1	0	0	0	0
YAR030C	1	0	0	0	0
YAR069C	1	0	0	0	0
YBL048W	1	0	0	0	0
YBL053W	1	0	0	0	0
YBL071C	1	1	1	1	0
YBL100W-C	1	0	0	0	0
YBR072C-A	1	0	0	0	0
YBR090C	1	1	1	1	1
YBR109W-A	1	1	1	1	0
YBR141W-A	1	0	0	0	0
YBR182C-A	1	0	1	0	0
YBR196C-B	1	0	0	0	0
YBR200W-A	1	0	0	0	0
YBR292C	1	0	0	0	0
YCR024C-B	1	0	0	0	0
YCR085W	1	1	1	1	1
YCR087W	1	0	0	0	0
YCR095W-A	1	0	0	0	0
YDL022C-A	1	1	1	1	0
YDL114W-A	1	0	0	0	0
YDR003W-A	1	0	0	0	0
YDR024W	1	0	1	0	0
YDR118W-A	1	0	0	0	0
YDR157W	1	0	0	0	0
YDR169C-A	1	0	0	0	0
YDR220C	1	0	0	0	0
YDR246W-A	1	0	0	0	0
YDR320W-B	1	0	0	0	0
YDR344C	1	0	0	0	0
YDR406W-A	1	0	0	0	0
YDR510C-A	1	0	0	0	0
YDR524W-C	1	0	0	0	0
YDR543C	1	0	1	0	1
YER006C-A	1	1	0	1	0
YER175W-A	1	0	0	0	0
YFL010W-A	1	0	0	0	0
YFL019C	1	0	1	0	1
YFL031C-A	1	0	0	0	0
YGL041C-B	1	0	0	0	0
YGL052W	1	1	1	0	1
YGL149W	1	0	0	0	0
YGL168W	1	0	0	0	0
YGL182C	1	0	0	0	0
YGL188C	1	0	0	0	0
YGL188C-A	1	0	0	0	0
YGR025W	1	0	1	0	1
YGR051C	1	0	0	0	0
YGR174W-A	1	0	0	0	0
YGR204C-A	1	0	0	0	0
YHL048C-A	1	0	0	0	0
YHR049C-A	1	0	0	0	0
YHR095W	1	0	0	0	0
YHR175W-A	1	0	0	0	0
YHR214C-D	1	1	0	1	0
YIL025C	1	0	0	0	0
YIL058W	1	0	0	0	0
YIL086C	1	0	1	0	1
YIR020C	1	0	0	0	0
YIR036W-A	1	0	0	0	0
YJL077W-B	1	0	0	0	0
YJL127W-A	1	0	0	0	0
YKL066W	1	0	0	0	0
YKL096C-B	1	0	0	0	0
YKL102C	1	0	0	0	0
YKL145W-A	1	1	1	1	1
YKL153W	1	0	0	0	0
YKL183C-A	1	0	1	0	0
YLL044W	1	0	0	0	0
YLL059C	1	0	1	0	1
YLL066W-B	1	0	0	0	0
YLR120W-A	1	0	0	0	0
YLR124W	1	0	0	0	0
YLR149C-A	1	0	0	0	0
YLR222C-A	1	1	0	1	0
YLR279W	1	0	0	0	0
YLR285C-A	1	0	0	0	0
YLR311C	1	1	0	1	0
YLR342W-A	1	0	0	0	0
YLR364C-A	1	0	0	0	0
YLR400W	1	0	0	0	0
YML099W-A	1	1	0	1	0
YMR007W	1	1	0	1	0
YMR030W-A	1	0	1	0	0
YMR086C-A	1	0	0	0	0
YMR103C	1	0	0	0	0
YMR141C	1	0	1	0	1
YMR141W-A	1	1	0	1	0
YMR182W-A	1	0	0	0	0
YMR193C-A	1	0	0	0	0
YMR242W-A	1	0	0	0	0
YMR247W-A	1	0	0	0	0
YMR272W-B	1	0	0	0	0
YMR294W-A	1	0	0	0	0
YMR307C-A	1	0	0	0	0
YMR316C-A	1	0	0	0	0
YMR320W	1	1	1	1	0
YNL097C-B	1	0	0	0	0
YNL103W-A	1	0	0	0	0
YNL130C-A	1	0	0	0	0
YNL198C	1	0	0	0	0
YNL338W	1	0	0	0	0
YOR008C-A	1	0	0	0	0
YOR015W	1	1	1	1	1
YOR203W	1	0	0	0	0
YOR263C	1	0	0	0	0
YOR376W-A	1	0	0	0	0
YPL080C	1	0	0	0	0
YPL119C-A	1	1	0	1	0
YPR016W-A	1	0	0	0	0
YPR195C	1	0	0	0	0
YLR112W	1	0	0	0	0
Q0032	1	0	0	0	0
Q0092	1	0	0	0	0
Q0144	1	0	0	0	0
Q0182	1	0	0	0	0
YAL016C-B	1	0	0	0	0
YAL063C-A	1	0	1	0	0
YAL064W	1	0	0	0	0
YAL066W	1	0	0	0	1
YAL068W-A	1	0	0	0	1
YAL069W	1	0	0	0	1
YAR035C-A	1	0	0	0	0
YAR053W	1	0	0	0	0
YAR070C	1	0	1	0	0
YBL006W-A	1	0	0	0	0
YBL008W-A	1	0	0	0	0
YBL039C-A	1	0	0	0	0
YBL109W	1	0	0	0	0
YBR076C-A	1	0	0	0	0
YBR131C-A	1	0	0	0	0
YBR223W-A	1	0	0	0	0
YBR296C-A	1	0	0	0	0
YCL023C	1	0	0	0	0
YCL041C	1	0	0	0	0
YCR038W-A	1	0	0	0	0
YCR108C	1	0	0	0	0
YDL025W-A	1	0	0	0	0
YDL159C-B	1	0	0	0	0
YDL162C	1	0	0	0	0
YDL247W-A	1	0	0	0	0
YDR010C	1	0	0	0	0
YDR015C	1	0	0	0	0
YDR048C	1	0	0	0	0
YDR114C	1	0	0	0	0
YDR136C	1	0	0	0	0
YDR194W-A	1	0	0	0	0
YDR209C	1	0	0	0	0
YDR241W	1	1	0	1	0
YDR271C	1	0	0	0	0
YDR371C-A	1	0	0	0	0
YDR431W	1	0	0	0	0
YDR491C	1	0	0	0	0
YDR524C-A	1	0	0	0	0
YEL010W	1	1	0	1	0
YER078W-A	1	0	0	0	0
YER088W-B	1	0	0	0	0
YER090C-A	1	0	0	0	0
YER091C-A	1	0	0	0	0
YER119C-A	1	0	0	0	0
YER133W-A	1	0	0	0	0
YER135C	1	1	1	1	0
YFL063W	1	0	0	0	0
YGL006W-A	1	0	0	0	0
YGL007C-A	1	0	0	0	0
YGL132W	1	0	0	0	0
YGR039W	1	0	1	0	1
YGR050C	1	0	1	0	0
YGR064W	1	0	0	0	0
YGR121W-A	1	0	0	0	0
YGR240C-A	1	0	0	0	0
YHL015W-A	1	0	0	0	0
YHL037C	1	1	0	1	0
YHL041W	1	1	1	1	0
YHL046W-A	1	0	0	0	0
YHR022C-A	1	0	0	0	0
YHR073C-B	1	0	0	0	0
YHR086W-A	1	0	0	0	0
YHR125W	1	0	0	0	0
YHR214C-E	1	1	0	1	0
YHR217C	1	0	0	0	0
YIL032C	1	1	1	1	0
YIL046W-A	1	0	0	0	0
YIL100C-A	1	0	0	0	0
YIL134C-A	1	0	1	0	0
YIL141W	1	0	0	0	0
YIR021W-A	1	0	0	0	0
YJL028W	1	1	0	1	0
YJL032W	1	0	0	0	0
YJL136W-A	1	0	0	0	0
YJL182C	1	0	0	0	0
YJL215C	1	0	1	0	0
YJR140W-A	1	0	0	0	0
YJR151W-A	1	0	0	0	0
YJR157W	1	1	0	1	0
YJR162C	1	0	1	0	0
YKL100W-A	1	0	0	0	0
YKL115C	1	0	0	0	0
YKL156C-A	1	0	0	0	0
YKL169C	1	0	0	0	0
YKL225W	1	0	1	0	1
YLL030C	1	1	1	1	0
YLL047W	1	0	0	0	0
YLL065W	1	0	1	0	1
YLR122C	1	1	0	1	0
YLR123C	1	1	0	1	0
YLR140W	1	1	1	1	1
YLR157W-E	1	0	0	0	0
YLR163W-A	1	0	0	0	0
YLR184W	1	1	0	1	0
YLR299C-A	1	0	0	0	0
YLR302C	1	0	0	0	0
YLR365W	1	0	0	0	0
YLR366W	1	0	0	0	0
YLR406C-A	1	0	0	0	0
YLR416C	1	0	0	0	0
YLR466C-B	1	0	0	0	0
YML084W	1	0	0	0	0
YMR001C-A	1	1	0	1	0
YMR082C	1	1	1	1	0
YMR151W	1	0	1	0	0
YMR175W-A	1	0	0	0	0
YMR194C-A	1	1	1	1	0
YMR230W-A	1	0	1	0	0
YMR254C	1	1	0	1	0
YMR315W-A	1	0	0	0	0
YMR326C	1	0	1	0	1
YNL114C	1	1	1	1	0
YNL146C-A	1	0	0	0	0
YNL171C	1	0	0	0	0
YNL269W	1	0	0	0	0
YNL277W-A	1	0	0	0	0
YNL337W	1	0	0	0	0
YNR003W-A	1	0	0	0	0
YNR077C	1	0	1	0	1
YOL035C	1	0	0	0	0
YOL038C-A	1	0	0	0	0
YOL083C-A	1	0	0	0	0
YOL085C	1	1	1	1	0
YOL097W-A	1	0	0	0	0
YOL118C	1	0	0	0	0
YOL155W-A	1	0	0	0	0
YOL164W-A	1	0	0	0	0
YOL166C	1	1	0	1	0
YOL166W-A	1	0	0	0	0
YOR011W-A	1	0	1	0	0
YOR032W-A	1	0	0	0	0
YOR053W	1	0	0	0	0
YOR072W-A	1	0	0	0	0
YOR082C	1	0	0	0	0
YOR121C	1	0	0	0	0
YOR161C-C	1	0	0	0	0
YOR161W-A	1	0	0	0	0
YOR293C-A	1	0	0	0	0
YOR316C-A	1	0	0	0	0
YOR329W-A	1	0	0	0	0
YOR335W-A	1	0	0	0	0
YOR364W	1	0	0	0	0
YOR381W-A	1	0	0	0	0
YOR392W	1	0	1	0	1
YOR394C-A	1	0	1	0	1
YPL035C	1	0	0	0	0
YPL038W-A	1	0	0	0	0
YPL056C	1	0	0	0	0
YPL152W-A	1	0	0	0	0
YPL205C	1	0	1	0	1
YPR039W	1	0	0	0	0
YPR126C	1	0	0	0	0
YPR160W-A	1	0	0	0	0
BIND_orphan_mikado.IG1.1	0	1	1	1	0
BIND_orphan_mikado.IG139.1	0	1	1	1	0
BIND_orphan_mikado.IG142.1	0	1	1	1	0
BIND_orphan_mikado.IG143.1	0	1	1	1	1
BIND_orphan_mikado.IG144.1	0	1	1	1	0
BIND_orphan_mikado.IG20.1	0	1	1	1	0
BIND_orphan_mikado.IG47.1	0	1	1	1	0
BIND_orphan_mikado.IG48.1	0	1	1	1	0
BIND_orphan_mikado.IG58.1	0	1	1	1	0
BIND_orphan_mikado.IG59.1	0	1	1	1	0
BIND_orphan_mikado.IG76.1	0	1	1	1	0
BIND_orphan_mikado.IG77.1	0	1	1	1	0
BIND_orphan_mikado.IG78.1	0	1	1	1	0
BIND_orphan_mikado.IG79.1	0	1	1	1	0
BIND_orphan_mikado.IG80.1	0	1	1	1	0
BIND_orphan_mikado.IG81.1	0	1	1	1	1
BIND_orphan_mikado.IIG145.1	0	1	1	1	0
BIND_orphan_mikado.IIG209.1	0	1	1	1	0
BIND_orphan_mikado.IIG216.1	0	1	1	1	0
BIND_orphan_mikado.IIG306.1	0	1	1	1	1
BIND_orphan_mikado.IIG325.1	0	1	1	1	1
BIND_orphan_mikado.IIG349.1	0	1	1	1	1
BIND_orphan_mikado.IIG400.1	0	1	1	1	0
BIND_orphan_mikado.IIIG144.1	0	1	1	1	0
BIND_orphan_mikado.IIIG149.1	0	1	1	1	0
BIND_orphan_mikado.IIIG160.1	0	1	1	1	0
BIND_orphan_mikado.IIIG162.1	0	1	1	1	1
BIND_orphan_mikado.IIIG179.1	0	1	1	1	0
BIND_orphan_mikado.IIIG191.1	0	1	1	1	1
BIND_orphan_mikado.IIIG194.1	0	1	1	1	0
BIND_orphan_mikado.IIIG195.1	0	1	1	1	1
BIND_orphan_mikado.IIIG196.1	0	1	1	1	0
BIND_orphan_mikado.IIIG200.1	0	1	1	1	1
BIND_orphan_mikado.IIIG21.1	0	1	1	1	0
BIND_orphan_mikado.IIIG23.1	0	1	1	1	0
BIND_orphan_mikado.IIIG3.1	0	1	1	1	0
BIND_orphan_mikado.IIIG37.1	0	1	1	1	1
BIND_orphan_mikado.IIIG45.1	0	1	1	1	1
BIND_orphan_mikado.IIIG47.1	0	1	1	1	0
BIND_orphan_mikado.IIIG48.1	0	1	1	1	0
BIND_orphan_mikado.IVG162.1	0	1	1	1	0
BIND_orphan_mikado.IVG194.1	0	1	1	1	0
BIND_orphan_mikado.IVG271.1	0	1	1	1	0
BIND_orphan_mikado.IVG352.1	0	1	1	1	0
BIND_orphan_mikado.IVG358.1	0	1	1	1	1
BIND_orphan_mikado.IVG359.1	0	1	1	1	0
BIND_orphan_mikado.IVG378.1	0	1	1	1	0
BIND_orphan_mikado.IVG542.1	0	1	1	1	0
BIND_orphan_mikado.IVG559.1	0	1	1	1	1
BIND_orphan_mikado.IVG575.1	0	1	1	1	0
BIND_orphan_mikado.IVG621.1	0	1	1	1	0
BIND_orphan_mikado.IVG749.1	0	1	1	1	0
BIND_orphan_mikado.IVG94.1	0	1	1	1	0
BIND_orphan_mikado.IXG128.1	0	1	1	1	1
BIND_orphan_mikado.IXG134.1	0	1	1	1	0
BIND_orphan_mikado.IXG142.1	0	1	1	1	1
BIND_orphan_mikado.IXG172.1	0	1	1	1	0
BIND_orphan_mikado.IXG272.1	0	1	1	1	0
BIND_orphan_mikado.IXG285.1	0	1	1	1	0
BIND_orphan_mikado.IXG290.1	0	1	1	1	0
BIND_orphan_mikado.IXG291.1	0	1	1	1	0
BIND_orphan_mikado.IXG30.1	0	1	1	1	1
BIND_orphan_mikado.IXG32.1	0	1	1	1	1
BIND_orphan_mikado.IXG35.1	0	1	1	1	0
BIND_orphan_mikado.IXG65.1	0	1	1	1	1
BIND_orphan_mikado.MitoG22.1	0	1	1	1	0
BIND_orphan_mikado.VG125.1	0	1	1	1	0
BIND_orphan_mikado.VG149.1	0	1	1	1	0
BIND_orphan_mikado.VG174.1	0	1	1	1	1
BIND_orphan_mikado.VG176.1	0	1	1	1	0
BIND_orphan_mikado.VG193.1	0	1	1	1	1
BIND_orphan_mikado.VG203.1	0	1	1	1	0
BIND_orphan_mikado.VG243.1	0	1	1	1	0
BIND_orphan_mikado.VG252.1	0	1	1	1	0
BIND_orphan_mikado.VG253.1	0	1	1	1	0
BIND_orphan_mikado.VG282.1	0	1	1	1	1
BIND_orphan_mikado.VIG122.1	0	1	1	1	0
BIND_orphan_mikado.VIG124.1	0	1	1	1	1
BIND_orphan_mikado.VIG130.1	0	1	1	1	1
BIND_orphan_mikado.VIG145.1	0	1	1	1	1
BIND_orphan_mikado.VIG171.1	0	1	1	1	0
BIND_orphan_mikado.VIG57.1	0	1	1	1	1
BIND_orphan_mikado.VIG84.1	0	1	1	1	0
BIND_orphan_mikado.VIG85.1	0	1	1	1	0
BIND_orphan_mikado.VIIG118.1	0	1	1	1	0
BIND_orphan_mikado.VIIG157.1	0	1	1	1	0
BIND_orphan_mikado.VIIG187.1	0	1	1	1	1
BIND_orphan_mikado.VIIG205.1	0	1	1	1	0
BIND_orphan_mikado.VIIG215.1	0	1	1	1	0
BIND_orphan_mikado.VIIG253.1	0	1	1	1	1
BIND_orphan_mikado.VIIG273.1	0	1	1	1	0
BIND_orphan_mikado.VIIG297.1	0	1	1	1	1
BIND_orphan_mikado.VIIG310.1	0	1	1	1	1
BIND_orphan_mikado.VIIG340.1	0	1	1	1	0
BIND_orphan_mikado.VIIG357.1	0	1	1	1	1
BIND_orphan_mikado.VIIG365.1	0	1	1	1	0
BIND_orphan_mikado.VIIG414.1	0	1	1	1	0
BIND_orphan_mikado.VIIG87.1	0	1	1	1	0
BIND_orphan_mikado.VIIIG102.1	0	1	1	1	0
BIND_orphan_mikado.VIIIG146.1	0	1	1	1	0
BIND_orphan_mikado.VIIIG147.1	0	1	1	1	0
BIND_orphan_mikado.VIIIG170.1	0	1	1	1	0
BIND_orphan_mikado.VIIIG17.1	0	1	1	1	1
BIND_orphan_mikado.VIIIG187.1	0	1	1	1	1
BIND_orphan_mikado.VIIIG215.1	0	1	1	1	0
BIND_orphan_mikado.VIIIG246.1	0	1	1	1	1
BIND_orphan_mikado.VIIIG256.1	0	1	1	1	1
BIND_orphan_mikado.VIIIG272.1	0	1	1	1	0
BIND_orphan_mikado.VIIIG282.1	0	1	1	1	0
BIND_orphan_mikado.VIIIG288.1	0	1	1	1	0
BIND_orphan_mikado.VIIIG289.1	0	1	1	1	1
BIND_orphan_mikado.VIIIG290.1	0	1	1	1	0
BIND_orphan_mikado.VIIIG5.1	0	1	1	1	0
BIND_orphan_mikado.VIIIG71.1	0	1	1	1	0
BIND_orphan_mikado.XG107.1	0	1	1	1	1
BIND_orphan_mikado.XG149.1	0	1	1	1	1
BIND_orphan_mikado.XG160.1	0	1	1	1	0
